House of Representatives - 2001 Election: New South Wales							
Swing to ALP							
By Division by Polling Place							
							
Banks							
							
Polling Place	Formal	MELHAM		WATZLAFF		Swing	
Harcourt	2766	2028	73.32	738	26.68	-4.33	
Harcourt Central	1663	1315	79.07	348	20.93	1.43	
Harcourt North	1007	679	67.43	328	32.57	3.53	
Hurstville	2184	1474	67.49	710	32.51	-3.30	
Hurstville East	1657	1088	65.66	569	34.34	-3.25	
Hurstville North	2057	1211	58.87	846	41.13	0.62	
Kingsgrove	2002	1237	61.79	765	38.21	-0.01	
Kingsgrove North	794	501	63.10	293	36.90	-1.32	
Kingsgrove South	993	661	66.57	332	33.43	4.41	
Lakemba	1855	1519	81.89	336	18.11	1.43	
Lakemba Central	1789	1320	73.78	469	26.22	-2.06	
Lakemba North	1678	1428	85.10	250	14.90	0.02	
Mccallums Hill	3363	2092	62.21	1271	37.79	-2.20	
Ponyara Road	1290	679	52.64	611	47.36	-5.76	
Special Hospital Team 1	60	26	43.33	34	56.67	-6.67	
Sutton Park	1273	746	58.60	527	41.40	-4.95	
Sydney (Watson)	185	138	74.59	47	25.41	0.91	
Undercliffe	1715	1003	58.48	712	41.52	-0.79	
Wiley Park East	878	721	82.12	157	17.88	0.95	
Wiley Park West (Watson)	542	441	81.37	101	18.63	-3.84	
ABSENT	4978	3223	64.74	1755	35.26	-	
POSTAL	2087	1118	53.57	969	46.43	-	
PRE POLL	2318	1500	64.71	818	35.29	-	
PROVISIONAL	588	469	79.76	119	20.24	-	
Division Total	70377	47374	67.31	23003	32.69	-0.31	
							
							
Wentworth							
							
Polling Place	Formal	NEILSON		KING		Swing	
	Votes	(ALP)	%	(LP)	%	%	
Bellevue Hill	3527	1122	31.81	2405	68.19	-0.30	
Bondi	3009	1524	50.65	1485	49.35	-1.96	
Bondi Beach	4220	2448	58.01	1772	41.99	-1.51	
Bondi Junction	2847	1333	46.82	1514	53.18	-5.37	
Bondi North	1810	823	45.47	987	54.53	-2.24	
Bondi Surf	1148	586	51.05	562	48.95	-8.51	
Bronte	1987	1078	54.25	909	45.75	2.37	
Castlefield	754	414	54.91	340	45.09	-1.74	
Charing Cross	588	309	52.55	279	47.45	-2.51	
Clovelly	1649	890	53.97	759	46.03	0.16	
Clovelly Beach (Wentworth)	701	404	57.63	297	42.37	3.38	
Clovelly North (Wentworth)	1534	800	52.15	734	47.85	-2.77	
Cooper Park	818	241	29.46	577	70.54	7.01	
Darling Point	1970	476	24.16	1494	75.84	3.27	
Diamond Bay	2408	746	30.98	1662	69.02	-1.47	
Double Bay	3317	914	27.56	2403	72.44	-0.37	
Dover Heights	2344	567	24.19	1777	75.81	-2.78	
Edgecliff	820	248	30.24	572	69.76	5.55	
Glenmore	2400	1223	50.96	1177	49.04	-0.07	
Holdsworth	883	368	41.68	515	58.32	3.03	
Paddington	1089	535	49.13	554	50.87	-1.62	
Paddington South (Wentworth)	836	447	53.47	389	46.53	9.15	
Parsley Bay	501	76	15.17	425	84.83	0.02	
Peters Corner (Wentworth)	1205	666	55.27	539	44.73	-0.36	
Randwick	1386	702	50.65	684	49.35	-3.61	
Randwick East	1043	475	45.54	568	54.46	-7.66	
Randwick North	2410	1153	47.84	1257	52.16	-5.40	
Rose Bay	2194	673	30.67	1521	69.33	-1.78	
Rose Bay Central	1060	283	26.70	777	73.30	-0.56	
Special Hospital Team 1	36	10	27.78	26	72.22	-22.22	
Special Hospital Team 2	124	47	37.90	77	62.10	-	
Special Hospital Team 3	71	34	47.89	37	52.11	-	
Sydney (Wentworth)	207	99	47.83	108	52.17	-14.32	
Vaucluse	979	206	21.04	773	78.96	3.51	
Watsons Bay	922	293	31.78	629	68.22	4.41	
Waverley	1666	864	51.86	802	48.14	1.53	
Waverley College	1132	526	46.47	606	53.53	1.38	
Woollahra	1746	662	37.92	1084	62.08	3.65	
Woollahra East	1119	436	38.96	683	61.04	-3.86	
ABSENT	5737	2755	48.02	2982	51.98	-	
POSTAL	4080	1255	30.76	2825	69.24	-	
PRE POLL	6580	2801	42.57	3779	57.43	-	
PROVISIONAL	603	288	47.76	315	52.24	-	
Division Total	75460	31800	42.14	43660	57.86	-0.49	
							
							
Werriwa							
							
Polling Place	Formal	LATHAM		MASINA		Swing	
	Votes	(ALP)	%	(LP)	%	%	
Austral (Werriwa)	1326	560	42.23	766	57.77	-1.16	
Campbellfield	1206	816	67.66	390	32.34	-5.56	
Cartwright (Werriwa)	555	405	72.97	150	27.03	-5.62	
Casula	3385	2011	59.41	1374	40.59	-5.15	
Casula South	1534	800	52.15	734	47.85	-3.18	
Cecil Hills	2737	1576	57.58	1161	42.42	-1.74	
Curran	1243	871	70.07	372	29.93	-6.39	
Glenfield	2170	1273	58.66	897	41.34	-5.47	
Glenfield East	1374	776	56.48	598	43.52	-6.74	
Green Valley	3322	2102	63.28	1220	36.72	-5.59	
Greenway Park	1425	796	55.86	629	44.14	10.62	
Guise	1105	841	76.11	264	23.89	-4.57	
Hinchinbrook	3328	2112	63.46	1216	36.54	-5.17	
Hoxton Park	2215	1444	65.19	771	34.81	-4.32	
Ingleburn	3558	1917	53.88	1641	46.12	-5.35	
Ingleburn High	1157	628	54.28	529	45.72	-1.45	
Ingleburn North	640	206	32.19	434	67.81	-4.20	
James Busby (Werriwa)	1433	1035	72.23	398	27.77	-6.39	
Kemps Creek (Werriwa)	674	229	33.98	445	66.02	-4.77	
Leumeah (Werriwa)	198	89	44.95	109	55.05	-10.90	
Leumeah North (Werriwa)	1161	542	46.68	619	53.32	-9.06	
Liverpool West (Werriwa)	594	379	63.80	215	36.20	-3.39	
Lurnea	2103	1386	65.91	717	34.09	-8.16	
Macquarie Fields	2540	1539	60.59	1001	39.41	0.25	
Macquarie Fields North	1044	569	54.50	475	45.50	-12.40	
Miller (Werriwa)	1363	1000	73.37	363	26.63	-5.29	
Minto	2109	1326	62.87	783	37.13	-4.07	
Prestons	3599	2148	59.68	1451	40.32	-0.49	
Prestons West	1538	801	52.08	737	47.92	-7.68	
Robert Townson (Werriwa)	2745	1508	54.94	1237	45.06	-8.56	
Sackville Street	2288	1142	49.91	1146	50.09	-8.95	
Special Hospital Team 1	70	45	64.29	25	35.71	14.29	
St Andrews	2575	1440	55.92	1135	44.08	-4.81	
St Andrews South	1197	707	59.06	490	40.94	-4.21	
Sydney (Werriwa)	94	61	64.89	33	35.11	3.88	
The Grange	1281	838	65.42	443	34.58	-7.64	
West Hoxton	554	222	40.07	332	59.93	-4.22	
Whiddon Homes	183	89	48.63	94	51.37	-5.53	
ABSENT	5592	3161	56.53	2431	43.47	-	
POSTAL	1562	886	56.72	676	43.28	-	
PRE POLL	2191	1204	54.95	987	45.05	-	
PROVISIONAL	519	330	63.58	189	36.42	-	
Division Total	71487	41810	58.49	29677	41.51	-4.14	
							
