Senate - 1996 Election: South Australia																																																	
First Preference Votes by Group																																																	
By Polling Place																																																	


Adelaide (81751)																																																	
	   		Group Total ASP			Group Total GRY			Group Total GRN			Group Total ALP			Group Total CTA			Group Total - Unendorsed Group F			Group Total AFI			Group Total EFF			Group Total AWP			Group Total - Unendorsed Group J			Group Total LP			Group Total DEM			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Semaphore		                                  	10	0.49	 	35	1.72	 	92	4.53	 	848	41.71	 	3	0.15	 	2	0.1	 	16	0.79	 	5	0.25	 	39	1.92	 	22	1.08	 	629	30.94	 	331	16.28	 	1	0.05	 	2033	95.9	 	87	4.1	 	2120	2.68
Semaphore Park		                             	8	0.64	 	20	1.6	 	27	2.17	 	548	43.95	 	11	0.88	 	2	0.16	 	17	1.36	 	6	0.48	 	5	0.4	 	15	1.2	 	458	36.73	 	130	10.43	 	0	0	 	1247	96.74	 	42	3.26	 	1289	1.63
Semaphore Park South		                       	10	0.77	 	42	3.24	 	27	2.08	 	570	43.98	 	14	1.08	 	1	0.08	 	8	0.62	 	4	0.31	 	3	0.23	 	32	2.47	 	405	31.25	 	180	13.89	 	0	0	 	1296	96.93	 	41	3.07	 	1337	1.69
Semaphore South		                            	14	1.37	 	18	1.76	 	23	2.25	 	436	42.75	 	2	0.2	 	1	0.1	 	8	0.78	 	4	0.39	 	5	0.49	 	13	1.27	 	365	35.78	 	130	12.75	 	1	0.1	 	1020	95.24	 	51	4.76	 	1071	1.36
Taperoo		                                    	25	0.91	 	63	2.3	 	55	2.01	 	1355	49.56	 	11	0.4	 	3	0.11	 	33	1.21	 	4	0.15	 	11	0.4	 	28	1.02	 	772	28.24	 	373	13.64	 	1	0.04	 	2734	95.86	 	118	4.14	 	2852	3.61
Taperoo East		                               	11	0.85	 	15	1.16	 	35	2.7	 	758	58.58	 	5	0.39	 	2	0.15	 	17	1.31	 	2	0.15	 	8	0.62	 	15	1.16	 	275	21.25	 	150	11.59	 	1	0.08	 	1294	95.43	 	62	4.57	 	1356	1.72
West Croydon (Port Adelaide)		               	7	0.73	 	9	0.94	 	23	2.41	 	474	49.69	 	7	0.73	 	1	0.1	 	3	0.31	 	2	0.21	 	6	0.63	 	10	1.05	 	281	29.45	 	131	13.73	 	0	0	 	954	94.55	 	55	5.45	 	1009	1.28
West Lakes Shore		                           	19	0.41	 	22	0.48	 	58	1.26	 	1210	26.34	 	10	0.22	 	1	0.02	 	17	0.37	 	10	0.22	 	18	0.39	 	54	1.18	 	2593	56.46	 	580	12.63	 	1	0.02	 	4593	96.76	 	154	3.24	 	4747	6.01
Woodville		                                  	17	0.93	 	13	0.71	 	42	2.29	 	725	39.51	 	7	0.38	 	1	0.05	 	28	1.53	 	2	0.11	 	11	0.6	 	13	0.71	 	685	37.33	 	288	15.69	 	3	0.16	 	1835	94.78	 	101	5.22	 	1936	2.45
Woodville Gardens		                          	17	0.69	 	37	1.49	 	43	1.73	 	1613	65.07	 	10	0.4	 	6	0.24	 	30	1.21	 	10	0.4	 	14	0.56	 	16	0.65	 	463	18.68	 	218	8.79	 	2	0.08	 	2479	94.12	 	155	5.88	 	2634	3.34
Woodville North		                            	12	0.94	 	19	1.49	 	17	1.33	 	590	46.24	 	9	0.71	 	2	0.16	 	15	1.18	 	2	0.16	 	6	0.47	 	16	1.25	 	451	35.34	 	137	10.74	 	0	0	 	1276	94.17	 	79	5.83	 	1355	1.72
Woodville South		                            	10	0.56	 	10	0.56	 	38	2.14	 	717	40.39	 	8	0.45	 	2	0.11	 	13	0.73	 	11	0.62	 	8	0.45	 	26	1.46	 	701	39.49	 	229	12.9	 	2	0.11	 	1775	95.95	 	75	4.05	 	1850	2.34
Woodville West		                             	17	0.97	 	35	1.99	 	31	1.77	 	730	41.57	 	14	0.8	 	4	0.23	 	8	0.46	 	8	0.46	 	14	0.8	 	19	1.08	 	641	36.5	 	234	13.33	 	1	0.06	 	1756	94	 	112	6	 	1868	2.37
Special Hospitals		                          	6	2.42	 	5	2.02	 	2	0.81	 	125	50.4	 	2	0.81	 	1	0.4	 	6	2.42	 	4	1.61	 	2	0.81	 	0	0	 	77	31.05	 	18	7.26	 	0	0	 	248	99.2	 	2	0.8	 	250	0.32
Total Ordinary		                             	573	0.87	 	882	1.34	 	1329	2.01	 	29870	45.27	 	329	0.5	 	97	0.15	 	606	0.92	 	192	0.29	 	401	0.61	 	623	0.94	 	22419	33.98	 	8624	13.07	 	34	0.05	 	65979	95.48	 	3126	4.52	 	69105	87.5
ABSENT		                                     	55	1.42	 	33	0.85	 	143	3.7	 	1640	42.47	 	18	0.47	 	3	0.08	 	63	1.63	 	9	0.23	 	36	0.93	 	19	0.49	 	1303	33.74	 	535	13.85	 	5	0.13	 	3862	97.65	 	93	2.35	 	3955	5.01
POSTAL		                                     	8	0.31	 	78	3	 	39	1.5	 	1207	46.42	 	19	0.73	 	1	0.04	 	27	1.04	 	13	0.5	 	25	0.96	 	23	0.88	 	902	34.69	 	258	9.92	 	0	0	 	2600	98.41	 	42	1.59	 	2642	3.35
PRE_POLL		                                   	30	1.4	 	28	1.31	 	69	3.23	 	890	41.67	 	8	0.37	 	2	0.09	 	21	0.98	 	11	0.51	 	22	1.03	 	7	0.33	 	803	37.59	 	243	11.38	 	2	0.09	 	2136	98.43	 	34	1.57	 	2170	2.75
PROVISIONAL		                                	11	1.04	 	6	0.57	 	27	2.54	 	590	55.61	 	5	0.47	 	2	0.19	 	11	1.04	 	6	0.57	 	9	0.85	 	3	0.28	 	268	25.26	 	122	11.5	 	1	0.09	 	1061	96.19	 	42	3.81	 	1103	1.4
ADJUSTMENT		                                 	0		       	0		       	-1		       	0		       	0		       	0		       	-1		       	1		       	2		       	0		       	0		       	0		       	-1		       	0		       	0		       	0	
Division Summary		                           	677	0.9	 	1027	1.36	 	1606	2.12	 	34197	45.21	 	379	0.5	 	105	0.14	 	727	0.96	 	232	0.31	 	495	0.65	 	675	0.89	 	25695	33.97	 	9782	12.93	 	41	0.05	 	75638	95.77	 	3337	4.23	 	78975	96.11
 																																																	


Sturt (78400)																																																	
	   		Group Total ASP			Group Total GRY			Group Total GRN			Group Total ALP			Group Total CTA			Group Total - Unendorsed Group F			Group Total AFI			Group Total EFF			Group Total AWP			Group Total - Unendorsed Group J			Group Total LP			Group Total DEM			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Adelaide (Sturt)		                           	3	2.26	 	1	0.75	 	9	6.77	 	44	33.08	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	1	0.75	 	46	34.59	 	29	21.8	 	0	0	 	133	95.68	 	6	4.32	 	139	0.18
Beaumont		                                   	2	0.09	 	9	0.42	 	27	1.26	 	247	11.49	 	8	0.37	 	1	0.05	 	13	0.6	 	0	0	 	6	0.28	 	16	0.74	 	1548	72.03	 	270	12.56	 	2	0.09	 	2149	97.86	 	47	2.14	 	2196	2.92
Beulah Park		                                	10	0.66	 	3	0.2	 	38	2.52	 	486	32.29	 	2	0.13	 	5	0.33	 	10	0.66	 	1	0.07	 	11	0.73	 	1	0.07	 	636	42.26	 	301	20	 	1	0.07	 	1505	95.49	 	71	4.51	 	1576	2.09
Burnside		                                   	9	0.27	 	8	0.24	 	56	1.7	 	475	14.39	 	20	0.61	 	3	0.09	 	25	0.76	 	1	0.03	 	13	0.39	 	18	0.55	 	2282	69.15	 	388	11.76	 	2	0.06	 	3300	97.09	 	99	2.91	 	3399	4.52
Campbelltown		                               	25	0.87	 	15	0.52	 	50	1.73	 	1097	37.97	 	26	0.9	 	4	0.14	 	21	0.73	 	3	0.1	 	18	0.62	 	9	0.31	 	1202	41.61	 	417	14.43	 	2	0.07	 	2889	94.72	 	161	5.28	 	3050	4.05
FELIXSTOW		                                  	9	1.61	 	7	1.25	 	5	0.89	 	189	33.75	 	4	0.71	 	0	0	 	5	0.89	 	3	0.54	 	5	0.89	 	1	0.18	 	243	43.39	 	89	15.89	 	0	0	 	560	96.55	 	20	3.45	 	580	0.77
Gilles Plains		                              	2	0.62	 	6	1.85	 	3	0.93	 	124	38.27	 	6	1.85	 	0	0	 	3	0.93	 	0	0	 	5	1.54	 	0	0	 	121	37.35	 	54	16.67	 	0	0	 	324	95.01	 	17	4.99	 	341	0.45
Gilles Plains East		                         	15	1.03	 	18	1.24	 	29	2	 	608	41.84	 	15	1.03	 	0	0	 	19	1.31	 	3	0.21	 	8	0.55	 	9	0.62	 	476	32.76	 	253	17.41	 	0	0	 	1453	96.93	 	46	3.07	 	1499	1.99
Glen Osmond		                                	4	0.47	 	2	0.23	 	10	1.17	 	132	15.44	 	3	0.35	 	0	0	 	6	0.7	 	0	0	 	3	0.35	 	4	0.47	 	586	68.54	 	105	12.28	 	0	0	 	855	97.83	 	19	2.17	 	874	1.16
Glenunga		                                   	2	0.18	 	5	0.44	 	19	1.69	 	177	15.71	 	9	0.8	 	2	0.18	 	5	0.44	 	0	0	 	4	0.35	 	2	0.18	 	733	65.04	 	167	14.82	 	2	0.18	 	1127	97.16	 	33	2.84	 	1160	1.54
Glenunga North		                             	3	0.23	 	1	0.08	 	24	1.82	 	287	21.76	 	2	0.15	 	1	0.08	 	11	0.83	 	0	0	 	4	0.3	 	8	0.61	 	773	58.61	 	204	15.47	 	1	0.08	 	1319	96.84	 	43	3.16	 	1362	1.81
Glynde		                                     	18	1.2	 	16	1.07	 	18	1.2	 	529	35.27	 	15	1	 	2	0.13	 	14	0.93	 	5	0.33	 	6	0.4	 	16	1.07	 	693	46.2	 	168	11.2	 	0	0	 	1500	92.99	 	113	7.01	 	1613	2.14
Greenacres		                                 	13	0.89	 	35	2.4	 	23	1.58	 	565	38.7	 	23	1.58	 	2	0.14	 	21	1.44	 	10	0.68	 	10	0.68	 	21	1.44	 	501	34.32	 	231	15.82	 	5	0.34	 	1460	96.56	 	52	3.44	 	1512	2.01
Hampstead Gardens		                          	5	0.56	 	4	0.45	 	11	1.23	 	321	35.79	 	8	0.89	 	0	0	 	3	0.33	 	1	0.11	 	5	0.56	 	14	1.56	 	383	42.7	 	141	15.72	 	1	0.11	 	897	96.04	 	37	3.96	 	934	1.24
Hectorville North		                          	27	1.19	 	14	0.62	 	30	1.32	 	936	41.25	 	30	1.32	 	2	0.09	 	20	0.88	 	5	0.22	 	7	0.31	 	9	0.4	 	885	39	 	303	13.35	 	1	0.04	 	2269	93.26	 	164	6.74	 	2433	3.23
Hillcrest		                                  	15	1.04	 	24	1.66	 	33	2.28	 	621	42.86	 	17	1.17	 	1	0.07	 	10	0.69	 	2	0.14	 	12	0.83	 	9	0.62	 	449	30.99	 	255	17.6	 	1	0.07	 	1449	95.58	 	67	4.42	 	1516	2.01
Holden Hill (Sturt)		                        	13	0.88	 	19	1.29	 	22	1.49	 	642	43.61	 	22	1.49	 	3	0.2	 	36	2.45	 	2	0.14	 	14	0.95	 	11	0.75	 	455	30.91	 	233	15.83	 	0	0	 	1472	95.83	 	64	4.17	 	1536	2.04
Kensington Gardens		                         	5	0.33	 	2	0.13	 	23	1.53	 	272	18.05	 	11	0.73	 	3	0.2	 	11	0.73	 	2	0.13	 	1	0.07	 	10	0.66	 	952	63.17	 	215	14.27	 	0	0	 	1507	96.54	 	54	3.46	 	1561	2.07
Kensington Park		                            	3	0.26	 	5	0.43	 	16	1.38	 	213	18.35	 	4	0.34	 	2	0.17	 	6	0.52	 	2	0.17	 	7	0.6	 	6	0.52	 	689	59.35	 	207	17.83	 	1	0.09	 	1161	96.83	 	38	3.17	 	1199	1.59
Kent Town		                                  	7	1.02	 	3	0.44	 	17	2.49	 	191	27.96	 	1	0.15	 	0	0	 	4	0.59	 	1	0.15	 	8	1.17	 	2	0.29	 	332	48.61	 	116	16.98	 	1	0.15	 	683	96.47	 	25	3.53	 	708	0.94
Klemzig		                                    	11	0.44	 	25	1	 	48	1.92	 	1021	40.76	 	20	0.8	 	4	0.16	 	31	1.24	 	5	0.2	 	12	0.48	 	16	0.64	 	928	37.05	 	382	15.25	 	2	0.08	 	2505	95.36	 	122	4.64	 	2627	3.49
Linden Park		                                	8	0.55	 	7	0.48	 	17	1.17	 	257	17.69	 	5	0.34	 	2	0.14	 	8	0.55	 	2	0.14	 	2	0.14	 	5	0.34	 	953	65.59	 	184	12.66	 	3	0.21	 	1453	97.65	 	35	2.35	 	1488	1.98
Magill (Sturt)		                             	17	0.69	 	9	0.36	 	34	1.37	 	652	26.35	 	16	0.65	 	6	0.24	 	20	0.81	 	3	0.12	 	8	0.32	 	18	0.73	 	1300	52.55	 	386	15.6	 	5	0.2	 	2474	96.94	 	78	3.06	 	2552	3.39
Magill North		                               	15	0.75	 	20	1	 	47	2.35	 	724	36.16	 	8	0.4	 	6	0.3	 	18	0.9	 	3	0.15	 	6	0.3	 	12	0.6	 	803	40.11	 	338	16.88	 	2	0.1	 	2002	95.06	 	104	4.94	 	2106	2.8
Marden		                                     	6	1.19	 	3	0.6	 	8	1.59	 	189	37.5	 	3	0.6	 	0	0	 	3	0.6	 	0	0	 	3	0.6	 	8	1.59	 	198	39.29	 	82	16.27	 	1	0.2	 	504	94.56	 	29	5.44	 	533	0.71
Marden West (Sturt)		                        	20	1.1	 	9	0.49	 	45	2.47	 	671	36.81	 	12	0.66	 	2	0.11	 	10	0.55	 	6	0.33	 	21	1.15	 	13	0.71	 	761	41.74	 	252	13.82	 	1	0.05	 	1823	93.73	 	122	6.27	 	1945	2.58
Marryatville		                               	5	0.54	 	5	0.54	 	18	1.94	 	186	20.06	 	8	0.86	 	3	0.32	 	9	0.97	 	1	0.11	 	5	0.54	 	2	0.22	 	515	55.56	 	169	18.23	 	1	0.11	 	927	97.58	 	23	2.42	 	950	1.26
Maylands		                                   	17	1.13	 	3	0.2	 	52	3.44	 	541	35.8	 	12	0.79	 	2	0.13	 	12	0.79	 	0	0	 	10	0.66	 	10	0.66	 	572	37.86	 	279	18.46	 	1	0.07	 	1511	94.56	 	87	5.44	 	1598	2.12
Northfield		                                 	11	1.28	 	11	1.28	 	16	1.86	 	416	48.48	 	4	0.47	 	0	0	 	8	0.93	 	2	0.23	 	5	0.58	 	7	0.82	 	264	30.77	 	113	13.17	 	1	0.12	 	858	96.08	 	35	3.92	 	893	1.19
Northfield South (Sturt)		                   	7	1.52	 	9	1.96	 	6	1.3	 	176	38.26	 	1	0.22	 	0	0	 	11	2.39	 	3	0.65	 	2	0.43	 	4	0.87	 	168	36.52	 	73	15.87	 	0	0	 	460	95.83	 	20	4.17	 	480	0.64
Norwood		                                    	10	0.51	 	8	0.41	 	57	2.9	 	658	33.45	 	6	0.31	 	3	0.15	 	3	0.15	 	0	0	 	28	1.42	 	10	0.51	 	831	42.25	 	351	17.84	 	2	0.1	 	1967	95.21	 	99	4.79	 	2066	2.75
Norwood West		                               	10	0.66	 	6	0.39	 	60	3.94	 	502	32.94	 	3	0.2	 	2	0.13	 	9	0.59	 	2	0.13	 	10	0.66	 	4	0.26	 	605	39.7	 	310	20.34	 	1	0.07	 	1524	96.09	 	62	3.91	 	1586	2.11
Parkside East (Sturt)		                      	2	0.97	 	3	1.46	 	6	2.91	 	67	32.52	 	0	0	 	0	0	 	2	0.97	 	0	0	 	1	0.49	 	1	0.49	 	79	38.35	 	45	21.84	 	0	0	 	206	96.26	 	8	3.74	 	214	0.28
Rose Park		                                  	1	0.18	 	1	0.18	 	6	1.09	 	136	24.77	 	1	0.18	 	0	0	 	2	0.36	 	0	0	 	5	0.91	 	3	0.55	 	307	55.92	 	87	15.85	 	0	0	 	549	94.33	 	33	5.67	 	582	0.77
St Morris		                                  	12	0.95	 	6	0.48	 	24	1.91	 	449	35.66	 	0	0	 	1	0.08	 	7	0.56	 	4	0.32	 	9	0.71	 	9	0.71	 	529	42.02	 	206	16.36	 	3	0.24	 	1259	95.45	 	60	4.55	 	1319	1.75
Stonyfell		                                  	3	0.14	 	4	0.19	 	22	1.02	 	260	12.09	 	7	0.33	 	5	0.23	 	8	0.37	 	3	0.14	 	3	0.14	 	11	0.51	 	1567	72.85	 	256	11.9	 	2	0.09	 	2151	97.29	 	60	2.71	 	2211	2.94
Toorak Gardens		                             	3	0.14	 	5	0.23	 	42	1.97	 	366	17.18	 	12	0.56	 	2	0.09	 	6	0.28	 	5	0.23	 	10	0.47	 	7	0.33	 	1281	60.14	 	389	18.26	 	2	0.09	 	2130	97.53	 	54	2.47	 	2184	2.9
Tranmere		                                   	8	0.6	 	5	0.38	 	25	1.89	 	334	25.23	 	2	0.15	 	7	0.53	 	12	0.91	 	4	0.3	 	4	0.3	 	7	0.53	 	683	51.59	 	230	17.37	 	3	0.23	 	1324	96.43	 	49	3.57	 	1373	1.82
Trinity Gardens		                            	19	1.07	 	6	0.34	 	34	1.91	 	690	38.74	 	15	0.84	 	2	0.11	 	10	0.56	 	4	0.22	 	16	0.9	 	14	0.79	 	701	39.36	 	268	15.05	 	2	0.11	 	1781	95.19	 	90	4.81	 	1871	2.49
Tusmore		                                    	5	0.26	 	7	0.36	 	36	1.87	 	313	16.26	 	16	0.83	 	3	0.16	 	20	1.04	 	2	0.1	 	11	0.57	 	9	0.47	 	1220	63.38	 	281	14.6	 	2	0.1	 	1925	97.27	 	54	2.73	 	1979	2.63
Vale Park		                                  	10	0.52	 	22	1.15	 	26	1.36	 	500	26.14	 	11	0.58	 	2	0.1	 	20	1.05	 	0	0	 	5	0.26	 	12	0.63	 	1029	53.79	 	274	14.32	 	2	0.1	 	1913	97.4	 	51	2.6	 	1964	2.61
Windsor Gardens East		                       	8	0.87	 	14	1.53	 	16	1.74	 	385	41.94	 	12	1.31	 	6	0.65	 	10	1.09	 	4	0.44	 	13	1.42	 	13	1.42	 	277	30.17	 	159	17.32	 	1	0.11	 	918	96.63	 	32	3.37	 	950	1.26
Windsor Gardens West		                       	8	0.68	 	17	1.45	 	26	2.22	 	420	35.93	 	9	0.77	 	3	0.26	 	14	1.2	 	2	0.17	 	9	0.77	 	9	0.77	 	452	38.67	 	199	17.02	 	1	0.09	 	1169	97.34	 	32	2.66	 	1201	1.6
Special Hospitals		                          	0	0	 	5	0.93	 	1	0.19	 	138	25.7	 	3	0.56	 	0	0	 	0	0	 	3	0.56	 	3	0.56	 	0	0	 	361	67.23	 	23	4.28	 	0	0	 	537	98.9	 	6	1.1	 	543	0.72
Total Ordinary		                             	406	0.66	 	407	0.66	 	1135	1.83	 	18207	29.42	 	412	0.67	 	92	0.15	 	496	0.8	 	99	0.16	 	348	0.56	 	371	0.6	 	30369	49.08	 	9482	15.32	 	58	0.09	 	61882	96.09	 	2521	3.91	 	64403	85.59
ABSENT		                                     	36	0.83	 	30	0.7	 	181	4.2	 	1335	30.95	 	25	0.58	 	4	0.09	 	40	0.93	 	7	0.16	 	39	0.9	 	15	0.35	 	1878	43.54	 	717	16.62	 	6	0.14	 	4313	97.84	 	95	2.16	 	4408	5.86
POSTAL		                                     	10	0.36	 	45	1.6	 	35	1.24	 	706	25.1	 	15	0.53	 	3	0.11	 	16	0.57	 	10	0.36	 	19	0.68	 	17	0.6	 	1626	57.8	 	309	10.98	 	2	0.07	 	2813	98.49	 	43	1.51	 	2856	3.8
PRE_POLL		                                   	21	0.82	 	12	0.47	 	109	4.24	 	700	27.21	 	16	0.62	 	1	0.04	 	16	0.62	 	4	0.16	 	22	0.86	 	5	0.19	 	1321	51.34	 	343	13.33	 	3	0.12	 	2573	98.32	 	44	1.68	 	2617	3.48
PROVISIONAL		                                	10	1.07	 	4	0.43	 	44	4.73	 	330	35.45	 	7	0.75	 	0	0	 	11	1.18	 	1	0.11	 	13	1.4	 	4	0.43	 	369	39.63	 	137	14.72	 	1	0.11	 	931	96.58	 	33	3.42	 	964	1.28
ADJUSTMENT		                                 	1		       	-1		       	1		       	-1		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	-1		       	0		       	-1		       	1		       	0	
Division Summary		                           	484	0.67	 	497	0.69	 	1505	2.08	 	21277	29.34	 	475	0.66	 	100	0.14	 	579	0.8	 	121	0.17	 	441	0.61	 	412	0.57	 	35563	49.04	 	10987	15.15	 	70	0.1	 	72511	96.36	 	2737	3.64	 	75248	95.98
 																																																	


Wakefield (86487)																																																	
	   		Group Total ASP			Group Total GRY			Group Total GRN			Group Total ALP			Group Total CTA			Group Total - Unendorsed Group F			Group Total AFI			Group Total EFF			Group Total AWP			Group Total - Unendorsed Group J			Group Total LP			Group Total DEM			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Alford		                                     	4	2.74	 	2	1.37	 	1	0.68	 	13	8.9	 	0	0	 	0	0	 	2	1.37	 	2	1.37	 	2	1.37	 	3	2.05	 	104	71.23	 	13	8.9	 	0	0	 	146	97.33	 	4	2.67	 	150	0.18
Angaston		                                   	12	0.81	 	18	1.21	 	27	1.81	 	348	23.36	 	6	0.4	 	1	0.07	 	13	0.87	 	3	0.2	 	11	0.74	 	10	0.67	 	844	56.64	 	194	13.02	 	3	0.2	 	1490	95.82	 	65	4.18	 	1555	1.85
Ardrossan		                                  	7	0.67	 	80	7.66	 	5	0.48	 	235	22.51	 	8	0.77	 	2	0.19	 	4	0.38	 	2	0.19	 	9	0.86	 	6	0.57	 	585	56.03	 	101	9.67	 	0	0	 	1044	94.65	 	59	5.35	 	1103	1.31
Arthurton		                                  	3	1.42	 	2	0.94	 	4	1.89	 	9	4.25	 	1	0.47	 	0	0	 	2	0.94	 	1	0.47	 	0	0	 	0	0	 	183	86.32	 	7	3.3	 	0	0	 	212	96.8	 	7	3.2	 	219	0.26
Auburn		                                     	7	1.95	 	7	1.95	 	6	1.67	 	57	15.88	 	2	0.56	 	1	0.28	 	2	0.56	 	2	0.56	 	1	0.28	 	4	1.11	 	231	64.35	 	39	10.86	 	0	0	 	359	95.48	 	17	4.52	 	376	0.45
Balaklava		                                  	15	1.1	 	11	0.81	 	12	0.88	 	192	14.12	 	22	1.62	 	2	0.15	 	14	1.03	 	1	0.07	 	6	0.44	 	20	1.47	 	936	68.82	 	129	9.49	 	0	0	 	1360	96.87	 	44	3.13	 	1404	1.67
Barmera		                                    	41	1.94	 	14	0.66	 	32	1.52	 	482	22.84	 	12	0.57	 	3	0.14	 	22	1.04	 	8	0.38	 	18	0.85	 	9	0.43	 	1242	58.86	 	227	10.76	 	0	0	 	2110	95.48	 	100	4.52	 	2210	2.63
Berri		                                      	53	2.02	 	20	0.76	 	32	1.22	 	706	26.9	 	32	1.22	 	7	0.27	 	40	1.52	 	10	0.38	 	29	1.1	 	20	0.76	 	1462	55.7	 	212	8.08	 	2	0.08	 	2625	96.19	 	104	3.81	 	2729	3.25
Birdwood		                                   	9	1.3	 	6	0.87	 	10	1.45	 	113	16.38	 	8	1.16	 	1	0.14	 	8	1.16	 	0	0	 	7	1.01	 	3	0.43	 	381	55.22	 	144	20.87	 	0	0	 	690	96.91	 	22	3.09	 	712	0.85
Blanchetown		                                	5	1.79	 	8	2.86	 	2	0.71	 	61	21.79	 	0	0	 	0	0	 	1	0.36	 	0	0	 	2	0.71	 	3	1.07	 	159	56.79	 	39	13.93	 	0	0	 	280	96.89	 	9	3.11	 	289	0.34
Brentwood		                                  	0	0	 	3	2.54	 	1	0.85	 	19	16.1	 	1	0.85	 	1	0.85	 	0	0	 	1	0.85	 	0	0	 	3	2.54	 	80	67.8	 	9	7.63	 	0	0	 	118	97.52	 	3	2.48	 	121	0.14
Bute		                                       	7	2.02	 	4	1.15	 	3	0.86	 	54	15.56	 	0	0	 	0	0	 	0	0	 	1	0.29	 	4	1.15	 	2	0.58	 	241	69.45	 	31	8.93	 	0	0	 	347	96.12	 	14	3.88	 	361	0.43
Cadell		                                     	5	1.84	 	3	1.1	 	3	1.1	 	62	22.79	 	0	0	 	0	0	 	2	0.74	 	0	0	 	2	0.74	 	3	1.1	 	173	63.6	 	19	6.99	 	0	0	 	272	97.14	 	8	2.86	 	280	0.33
Cobdogla		                                   	20	4.65	 	1	0.23	 	6	1.4	 	77	17.91	 	1	0.23	 	0	0	 	4	0.93	 	0	0	 	4	0.93	 	0	0	 	279	64.88	 	38	8.84	 	0	0	 	430	95.98	 	18	4.02	 	448	0.53
Coobowie		                                   	1	0.38	 	5	1.89	 	2	0.75	 	79	29.81	 	1	0.38	 	0	0	 	2	0.75	 	1	0.38	 	0	0	 	3	1.13	 	135	50.94	 	36	13.58	 	0	0	 	265	95.67	 	12	4.33	 	277	0.33
Corny Point		                                	3	2.05	 	3	2.05	 	2	1.37	 	35	23.97	 	0	0	 	1	0.68	 	4	2.74	 	0	0	 	0	0	 	2	1.37	 	80	54.79	 	16	10.96	 	0	0	 	146	97.99	 	3	2.01	 	149	0.18
Curramulka		                                 	3	1.42	 	3	1.42	 	4	1.89	 	13	6.13	 	0	0	 	1	0.47	 	1	0.47	 	2	0.94	 	0	0	 	9	4.25	 	162	76.42	 	13	6.13	 	1	0.47	 	212	97.25	 	6	2.75	 	218	0.26
Dublin		                                     	9	1.87	 	8	1.66	 	17	3.53	 	106	21.99	 	3	0.62	 	0	0	 	8	1.66	 	3	0.62	 	5	1.04	 	2	0.41	 	264	54.77	 	57	11.83	 	0	0	 	482	96.4	 	18	3.6	 	500	0.6
Eden Valley		                                	3	1.44	 	2	0.96	 	6	2.88	 	21	10.1	 	0	0	 	0	0	 	2	0.96	 	0	0	 	1	0.48	 	1	0.48	 	137	65.87	 	35	16.83	 	0	0	 	208	95.41	 	10	4.59	 	218	0.26
Edithburgh		                                 	10	2.43	 	11	2.68	 	14	3.41	 	122	29.68	 	4	0.97	 	0	0	 	4	0.97	 	1	0.24	 	0	0	 	2	0.49	 	199	48.42	 	44	10.71	 	0	0	 	411	96.25	 	16	3.75	 	427	0.51
Eudunda		                                    	8	1.05	 	4	0.53	 	7	0.92	 	106	13.97	 	7	0.92	 	2	0.26	 	15	1.98	 	1	0.13	 	4	0.53	 	12	1.58	 	500	65.88	 	93	12.25	 	0	0	 	759	94.88	 	41	5.13	 	800	0.95
Evanston		                                   	11	1.05	 	10	0.96	 	29	2.78	 	379	36.3	 	10	0.96	 	5	0.48	 	20	1.92	 	6	0.57	 	9	0.86	 	12	1.15	 	408	39.08	 	145	13.89	 	0	0	 	1044	97.12	 	31	2.88	 	1075	1.28
Evanston Gardens		                           	12	1.09	 	20	1.82	 	16	1.46	 	360	32.79	 	15	1.37	 	3	0.27	 	14	1.28	 	0	0	 	4	0.36	 	7	0.64	 	446	40.62	 	201	18.31	 	0	0	 	1098	94.74	 	61	5.26	 	1159	1.38
Forreston		                                  	2	1.01	 	0	0	 	5	2.53	 	31	15.66	 	0	0	 	0	0	 	5	2.53	 	0	0	 	1	0.51	 	3	1.52	 	118	59.6	 	33	16.67	 	0	0	 	198	98.02	 	4	1.98	 	202	0.24
Freeling		                                   	10	1.25	 	9	1.12	 	11	1.37	 	183	22.79	 	7	0.87	 	0	0	 	13	1.62	 	2	0.25	 	6	0.75	 	8	1	 	444	55.29	 	110	13.7	 	0	0	 	803	95.94	 	34	4.06	 	837	1
