Senate - 1996 Election: Western Australia																																								
First Preference Votes by Group																																								
By Polling Place																																								


Brand (92099)																																								
	   		Group Total AWP			Group Total LP			Group Total - Unendorsed Group C			Group Total CTA			Group Total NP			Group Total AFI			Group Total ALP			Group Total GWA			Group Total DEM			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Katanning		                                  	28	1.61	 	764	44.03	 	1	0.06	 	16	0.92	 	258	14.87	 	23	1.33	 	529	30.49	 	40	2.31	 	73	4.21	 	3	0.17	 	1735	95.7	 	78	4.3	 	1813	2.53
Katanning District Hospital		                	3	1.06	 	110	38.87	 	0	0	 	1	0.35	 	35	12.37	 	1	0.35	 	98	34.63	 	19	6.71	 	14	4.95	 	2	0.71	 	283	94.02	 	18	5.98	 	301	0.42
Kellerberrin		                               	6	1.13	 	270	50.85	 	0	0	 	2	0.38	 	113	21.28	 	7	1.32	 	105	19.77	 	8	1.51	 	18	3.39	 	2	0.38	 	531	95.85	 	23	4.15	 	554	0.77
Kendenup		                                   	2	0.7	 	148	51.57	 	1	0.35	 	2	0.7	 	59	20.56	 	0	0	 	42	14.63	 	6	2.09	 	25	8.71	 	2	0.7	 	287	95.67	 	13	4.33	 	300	0.42
Kojonup		                                    	5	0.59	 	487	57.7	 	6	0.71	 	5	0.59	 	202	23.93	 	2	0.24	 	80	9.48	 	17	2.01	 	39	4.62	 	1	0.12	 	844	95.37	 	41	4.63	 	885	1.24
Kondinin		                                   	4	1.65	 	118	48.56	 	0	0	 	0	0	 	60	24.69	 	2	0.82	 	38	15.64	 	3	1.23	 	18	7.41	 	0	0	 	243	97.2	 	7	2.8	 	250	0.35
Koorda		                                     	3	1.08	 	160	57.55	 	0	0	 	0	0	 	69	24.82	 	8	2.88	 	29	10.43	 	4	1.44	 	4	1.44	 	1	0.36	 	278	98.23	 	5	1.77	 	283	0.4
Kukerin		                                    	0	0	 	71	59.66	 	0	0	 	0	0	 	42	35.29	 	0	0	 	3	2.52	 	0	0	 	3	2.52	 	0	0	 	119	95.2	 	6	4.8	 	125	0.17
Kulin		                                      	1	0.32	 	161	50.95	 	0	0	 	1	0.32	 	100	31.65	 	6	1.9	 	34	10.76	 	3	0.95	 	10	3.16	 	0	0	 	316	96.93	 	10	3.07	 	326	0.46
Kununoppin		                                 	1	1.3	 	34	44.16	 	0	0	 	0	0	 	33	42.86	 	0	0	 	4	5.19	 	1	1.3	 	4	5.19	 	0	0	 	77	97.47	 	2	2.53	 	79	0.11
Lake Grace		                                 	4	1.01	 	242	60.96	 	0	0	 	1	0.25	 	107	26.95	 	1	0.25	 	24	6.05	 	5	1.26	 	13	3.27	 	0	0	 	397	97.54	 	10	2.46	 	407	0.57
Lake King		                                  	1	0.84	 	79	66.39	 	0	0	 	2	1.68	 	30	25.21	 	1	0.84	 	1	0.84	 	0	0	 	5	4.2	 	0	0	 	119	100	 	0	0	 	119	0.17
Lancelin		                                   	9	1.76	 	320	62.62	 	1	0.2	 	1	0.2	 	18	3.52	 	9	1.76	 	93	18.2	 	28	5.48	 	28	5.48	 	4	0.78	 	511	96.23	 	20	3.77	 	531	0.74
Latham		                                     	0	0	 	52	75.36	 	0	0	 	0	0	 	13	18.84	 	1	1.45	 	1	1.45	 	0	0	 	2	2.9	 	0	0	 	69	98.57	 	1	1.43	 	70	0.1
Ledge Point		                                	0	0	 	76	69.72	 	0	0	 	0	0	 	2	1.83	 	1	0.92	 	16	14.68	 	4	3.67	 	10	9.17	 	0	0	 	109	94.78	 	6	5.22	 	115	0.16
Leeman		                                     	4	0.85	 	264	56.29	 	0	0	 	3	0.64	 	41	8.74	 	5	1.07	 	118	25.16	 	9	1.92	 	25	5.33	 	0	0	 	469	96.5	 	17	3.5	 	486	0.68
Mandurah Central (O'Connor)		                	0	0	 	61	64.89	 	0	0	 	0	0	 	19	20.21	 	0	0	 	8	8.51	 	2	2.13	 	4	4.26	 	0	0	 	94	97.92	 	2	2.08	 	96	0.13
Margaret River (O'Connor)		                  	1	1.79	 	28	50	 	0	0	 	0	0	 	7	12.5	 	4	7.14	 	6	10.71	 	4	7.14	 	6	10.71	 	0	0	 	56	96.55	 	2	3.45	 	58	0.08
Meckering		                                  	0	0	 	79	62.7	 	0	0	 	2	1.59	 	23	18.25	 	2	1.59	 	14	11.11	 	1	0.79	 	5	3.97	 	0	0	 	126	97.67	 	3	2.33	 	129	0.18
Merredin		                                   	10	1.36	 	347	47.28	 	4	0.54	 	2	0.27	 	100	13.62	 	6	0.82	 	214	29.16	 	15	2.04	 	36	4.9	 	0	0	 	734	94.83	 	40	5.17	 	774	1.08
Merredin District Hospital		                 	4	1.49	 	111	41.42	 	1	0.37	 	0	0	 	32	11.94	 	0	0	 	104	38.81	 	8	2.99	 	8	2.99	 	0	0	 	268	93.38	 	19	6.62	 	287	0.4
Merredin South		                             	8	1.94	 	191	46.36	 	1	0.24	 	6	1.46	 	40	9.71	 	3	0.73	 	113	27.43	 	24	5.83	 	25	6.07	 	1	0.24	 	412	93.64	 	28	6.36	 	440	0.61
Miling		                                     	0	0	 	60	68.97	 	0	0	 	1	1.15	 	18	20.69	 	1	1.15	 	3	3.45	 	2	2.3	 	2	2.3	 	0	0	 	87	97.75	 	2	2.25	 	89	0.12
Mingenew		                                   	5	1.91	 	153	58.4	 	0	0	 	1	0.38	 	30	11.45	 	0	0	 	57	21.76	 	6	2.29	 	10	3.82	 	0	0	 	262	93.24	 	19	6.76	 	281	0.39
Mogumber		                                   	0	0	 	51	82.26	 	0	0	 	0	0	 	7	11.29	 	0	0	 	4	6.45	 	0	0	 	0	0	 	0	0	 	62	96.88	 	2	3.13	 	64	0.09
Moonyoonooka		                               	3	1.56	 	122	63.54	 	0	0	 	1	0.52	 	26	13.54	 	0	0	 	32	16.67	 	3	1.56	 	5	2.6	 	0	0	 	192	97.46	 	5	2.54	 	197	0.28
Moora		                                      	18	2.1	 	467	54.56	 	0	0	 	14	1.64	 	94	10.98	 	14	1.64	 	194	22.66	 	20	2.34	 	33	3.86	 	2	0.23	 	856	94.69	 	48	5.31	 	904	1.26
Morawa		                                     	5	1.27	 	227	57.61	 	1	0.25	 	1	0.25	 	44	11.17	 	8	2.03	 	64	16.24	 	20	5.08	 	24	6.09	 	0	0	 	394	95.63	 	18	4.37	 	412	0.58
Mount Barker		                               	18	1.58	 	549	48.16	 	2	0.18	 	7	0.61	 	177	15.53	 	18	1.58	 	250	21.93	 	48	4.21	 	69	6.05	 	2	0.18	 	1140	94.21	 	70	5.79	 	1210	1.69
Mount Tarcoola		                             	12	0.8	 	874	58.23	 	1	0.07	 	4	0.27	 	104	6.93	 	9	0.6	 	352	23.45	 	43	2.86	 	102	6.8	 	0	0	 	1501	97.4	 	40	2.6	 	1541	2.15
Mount Walker		                               	1	1.45	 	32	46.38	 	0	0	 	1	1.45	 	29	42.03	 	1	1.45	 	1	1.45	 	1	1.45	 	3	4.35	 	0	0	 	69	94.52	 	4	5.48	 	73	0.1
Mukinbudin		                                 	5	1.52	 	197	60.06	 	0	0	 	10	3.05	 	65	19.82	 	10	3.05	 	28	8.54	 	3	0.91	 	10	3.05	 	0	0	 	328	97.04	 	10	2.96	 	338	0.47
Mullewa		                                    	1	0.32	 	184	58.23	 	0	0	 	1	0.32	 	41	12.97	 	3	0.95	 	71	22.47	 	2	0.63	 	13	4.11	 	0	0	 	316	94.05	 	20	5.95	 	336	0.47
Munglinup (O'Connor)		                       	0	0	 	38	88.37	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	1	2.33	 	4	9.3	 	0	0	 	43	95.56	 	2	4.44	 	45	0.06
Muntadgin		                                  	0	0	 	60	74.07	 	0	0	 	0	0	 	17	20.99	 	1	1.23	 	2	2.47	 	1	1.23	 	0	0	 	0	0	 	81	91.01	 	8	8.99	 	89	0.12
Muradup		                                    	0	0	 	102	64.56	 	0	0	 	1	0.63	 	45	28.48	 	1	0.63	 	6	3.8	 	3	1.9	 	0	0	 	0	0	 	158	98.14	 	3	1.86	 	161	0.22
Nabawa		                                     	0	0	 	92	64.79	 	0	0	 	0	0	 	18	12.68	 	4	2.82	 	17	11.97	 	6	4.23	 	4	2.82	 	1	0.7	 	142	95.95	 	6	4.05	 	148	0.21
Nannup (O'Connor)		                          	0	0	 	3	50	 	0	0	 	0	0	 	1	16.67	 	0	0	 	0	0	 	0	0	 	2	33.33	 	0	0	 	6	100	 	0	0	 	6	0.01
Narembeen		                                  	2	0.67	 	139	46.64	 	1	0.34	 	1	0.34	 	100	33.56	 	5	1.68	 	37	12.42	 	6	2.01	 	7	2.35	 	0	0	 	298	94.6	 	17	5.4	 	315	0.44
Narrikup		                                   	3	1.27	 	124	52.54	 	1	0.42	 	7	2.97	 	59	25	 	2	0.85	 	15	6.36	 	7	2.97	 	17	7.2	 	1	0.42	 	236	98.33	 	4	1.67	 	240	0.34
Narrogin		                                   	39	1.85	 	1096	51.94	 	1	0.05	 	15	0.71	 	271	12.84	 	20	0.95	 	501	23.74	 	65	3.08	 	98	4.64	 	4	0.19	 	2110	95.35	 	103	4.65	 	2213	3.09
Narrogin Regional Hospital		                 	0	0	 	123	49.2	 	0	0	 	3	1.2	 	51	20.4	 	2	0.8	 	44	17.6	 	7	2.8	 	20	8	 	0	0	 	250	94.34	 	15	5.66	 	265	0.37
Newdegate		                                  	0	0	 	119	65.03	 	0	0	 	0	0	 	41	22.4	 	5	2.73	 	8	4.37	 	3	1.64	 	7	3.83	 	0	0	 	183	96.83	 	6	3.17	 	189	0.26
New Norcia		                                 	0	0	 	70	55.12	 	0	0	 	0	0	 	17	13.39	 	2	1.57	 	25	19.69	 	5	3.94	 	8	6.3	 	0	0	 	127	94.78	 	7	5.22	 	134	0.19
Northampton		                                	7	0.9	 	449	57.71	 	0	0	 	3	0.39	 	108	13.88	 	17	2.19	 	154	19.79	 	9	1.16	 	31	3.98	 	0	0	 	778	95.11	 	40	4.89	 	818	1.14
Nungarin		                                   	0	0	 	49	41.18	 	0	0	 	1	0.84	 	52	43.7	 	1	0.84	 	12	10.08	 	0	0	 	4	3.36	 	0	0	 	119	98.35	 	2	1.65	 	121	0.17
Nyabing		                                    	1	0.63	 	89	55.62	 	0	0	 	0	0	 	58	36.25	 	0	0	 	3	1.88	 	3	1.88	 	6	3.75	 	0	0	 	160	96.97	 	5	3.03	 	165	0.23
Ongerup		                                    	2	1.13	 	87	49.15	 	0	0	 	1	0.56	 	56	31.64	 	4	2.26	 	11	6.21	 	9	5.08	 	7	3.95	 	0	0	 	177	97.25	 	5	2.75	 	182	0.25
Perenjori		                                  	2	1.07	 	135	72.19	 	0	0	 	0	0	 	20	10.7	 	4	2.14	 	16	8.56	 	6	3.21	 	4	2.14	 	0	0	 	187	97.91	 	4	2.09	 	191	0.27
Perth (O'Connor)		                           	1	0.76	 	89	67.42	 	0	0	 	1	0.76	 	13	9.85	 	1	0.76	 	12	9.09	 	7	5.3	 	8	6.06	 	0	0	 	132	99.25	 	1	0.75	 	133	0.19
Pingaring		                                  	0	0	 	18	20.69	 	0	0	 	0	0	 	63	72.41	 	0	0	 	2	2.3	 	0	0	 	4	4.6	 	0	0	 	87	94.57	 	5	5.43	 	92	0.13
Pingelly		                                   	3	0.52	 	340	58.82	 	1	0.17	 	4	0.69	 	106	18.34	 	4	0.69	 	93	16.09	 	7	1.21	 	18	3.11	 	2	0.35	 	578	96.33	 	22	3.67	 	600	0.84
Pingrup		                                    	0	0	 	75	56.82	 	0	0	 	0	0	 	44	33.33	 	0	0	 	8	6.06	 	0	0	 	5	3.79	 	0	0	 	132	97.78	 	3	2.22	 	135	0.19
Pithara		                                    	1	1.22	 	47	57.32	 	0	0	 	1	1.22	 	18	21.95	 	1	1.22	 	9	10.98	 	1	1.22	 	4	4.88	 	0	0	 	82	94.25	 	5	5.75	 	87	0.12
Popanyinning		                               	1	0.79	 	85	67.46	 	0	0	 	0	0	 	19	15.08	 	1	0.79	 	13	10.32	 	1	0.79	 	6	4.76	 	0	0	 	126	99.21	 	1	0.79	 	127	0.18
Porongurup		                                 	2	1.74	 	45	39.13	 	3	2.61	 	4	3.48	 	35	30.43	 	1	0.87	 	7	6.09	 	8	6.96	 	10	8.7	 	0	0	 	115	97.46	 	3	2.54	 	118	0.16
Quairading		                                 	4	0.79	 	316	62.33	 	0	0	 	9	1.78	 	95	18.74	 	10	1.97	 	49	9.66	 	9	1.78	 	15	2.96	 	0	0	 	507	95.84	 	22	4.16	 	529	0.74
Quindanning		                                	0	0	 	54	62.79	 	0	0	 	0	0	 	13	15.12	 	0	0	 	5	5.81	 	7	8.14	 	7	8.14	 	0	0	 	86	97.73	 	2	2.27	 	88	0.12
Rangeway		                                   	40	2.24	 	683	38.2	 	6	0.34	 	17	0.95	 	124	6.94	 	18	1.01	 	738	41.28	 	58	3.24	 	102	5.7	 	2	0.11	 	1788	94.15	 	111	5.85	 	1899	2.65
Ravensthorpe		                               	2	0.61	 	177	54.29	 	0	0	 	5	1.53	 	59	18.1	 	7	2.15	 	55	16.87	 	9	2.76	 	11	3.37	 	1	0.31	 	326	97.02	 	10	2.98	 	336	0.47
Rocky Gully		                                	0	0	 	45	50.56	 	0	0	 	3	3.37	 	25	28.09	 	0	0	 	9	10.11	 	1	1.12	 	6	6.74	 	0	0	 	89	95.7	 	4	4.3	 	93	0.13
Rottnest (O'Connor)		                        	0	0	 	28	68.29	 	0	0	 	0	0	 	5	12.2	 	0	0	 	5	12.2	 	1	2.44	 	2	4.88	 	0	0	 	41	97.62	 	1	2.38	 	42	0.06
Seabird		                                    	0	0	 	22	61.11	 	0	0	 	0	0	 	0	0	 	0	0	 	10	27.78	 	2	5.56	 	2	5.56	 	0	0	 	36	94.74	 	2	5.26	 	38	0.05
Shackleton		                                 	0	0	 	30	58.82	 	0	0	 	0	0	 	14	27.45	 	1	1.96	 	3	5.88	 	0	0	 	3	5.88	 	0	0	 	51	98.08	 	1	1.92	 	52	0.07
Spalding		                                   	13	1.92	 	317	46.82	 	1	0.15	 	1	0.15	 	33	4.87	 	6	0.89	 	246	36.34	 	11	1.62	 	49	7.24	 	0	0	 	677	96.71	 	23	3.29	 	700	0.98
Tambellup		                                  	0	0	 	177	53.96	 	2	0.61	 	1	0.3	 	87	26.52	 	3	0.91	 	47	14.33	 	2	0.61	 	9	2.74	 	0	0	 	328	96.47	 	12	3.53	 	340	0.47
Tammin		                                     	4	2.31	 	72	41.62	 	0	0	 	0	0	 	62	35.84	 	0	0	 	28	16.18	 	4	2.31	 	3	1.73	 	0	0	 	173	95.58	 	8	4.42	 	181	0.25
Tardun		                                     	0	0	 	31	54.39	 	0	0	 	1	1.75	 	20	35.09	 	0	0	 	5	8.77	 	0	0	 	0	0	 	0	0	 	57	96.61	 	2	3.39	 	59	0.08
Three Springs		                              	6	1.62	 	257	69.46	 	1	0.27	 	8	2.16	 	23	6.22	 	6	1.62	 	44	11.89	 	14	3.78	 	11	2.97	 	0	0	 	370	96.86	 	12	3.14	 	382	0.53
Tincurrin		                                  	0	0	 	36	45.57	 	0	0	 	0	0	 	35	44.3	 	0	0	 	6	7.59	 	1	1.27	 	0	0	 	1	1.27	 	79	96.34	 	3	3.66	 	82	0.11
Trayning		                                   	1	0.64	 	102	65.38	 	0	0	 	0	0	 	29	18.59	 	0	0	 	17	10.9	 	0	0	 	7	4.49	 	0	0	 	156	96.3	 	6	3.7	 	162	0.23
Varley		                                     	1	1.23	 	64	79.01	 	0	0	 	0	0	 	14	17.28	 	0	0	 	1	1.23	 	0	0	 	1	1.23	 	0	0	 	81	98.78	 	1	1.22	 	82	0.11
Waggrakine		                                 	16	1.19	 	711	52.82	 	1	0.07	 	14	1.04	 	101	7.5	 	23	1.71	 	362	26.89	 	46	3.42	 	71	5.27	 	1	0.07	 	1346	96.42	 	50	3.58	 	1396	1.95
Wagin		                                      	15	1.69	 	465	52.42	 	3	0.34	 	4	0.45	 	185	20.86	 	8	0.9	 	147	16.57	 	16	1.8	 	41	4.62	 	3	0.34	 	887	94.87	 	48	5.13	 	935	1.31
Walkaway		                                   	4	1.44	 	169	61.01	 	0	0	 	2	0.72	 	36	13	 	2	0.72	 	37	13.36	 	10	3.61	 	17	6.14	 	0	0	 	277	95.52	 	13	4.48	 	290	0.4
Wandering		                                  	2	1.15	 	102	58.62	 	0	0	 	0	0	 	40	22.99	 	3	1.72	 	12	6.9	 	4	2.3	 	11	6.32	 	0	0	 	174	98.86	 	2	1.14	 	176	0.25
Watheroo		                                   	1	0.8	 	69	55.2	 	1	0.8	 	1	0.8	 	35	28	 	1	0.8	 	11	8.8	 	0	0	 	6	4.8	 	0	0	 	125	98.43	 	2	1.57	 	127	0.18
Wickepin		                                   	1	0.4	 	161	64.66	 	1	0.4	 	0	0	 	64	25.7	 	0	0	 	9	3.61	 	5	2.01	 	7	2.81	 	1	0.4	 	249	94.68	 	14	5.32	 	263	0.37
Williams		                                   	6	1.33	 	248	54.87	 	0	0	 	1	0.22	 	115	25.44	 	6	1.33	 	53	11.73	 	4	0.88	 	19	4.2	 	0	0	 	452	96.17	 	18	3.83	 	470	0.66
Wongan Hills		                               	6	1.07	 	358	64.04	 	1	0.18	 	4	0.72	 	80	14.31	 	2	0.36	 	58	10.38	 	13	2.33	 	35	6.26	 	2	0.36	 	559	95.07	 	29	4.93	 	588	0.82
Wonthella		                                  	23	1.45	 	832	52.43	 	0	0	 	15	0.95	 	96	6.05	 	22	1.39	 	452	28.48	 	54	3.4	 	89	5.61	 	4	0.25	 	1587	94.58	 	91	5.42	 	1678	2.34
Woodanilling		                               	3	2.36	 	43	33.86	 	0	0	 	1	0.79	 	49	38.58	 	0	0	 	21	16.54	 	2	1.57	 	8	6.3	 	0	0	 	127	95.49	 	6	4.51	 	133	0.19
Woodridge		                                  	4	1.45	 	135	48.91	 	0	0	 	0	0	 	14	5.07	 	5	1.81	 	85	30.8	 	8	2.9	 	25	9.06	 	0	0	 	276	98.57	 	4	1.43	 	280	0.39
Woogenellup		                                	0	0	 	22	33.85	 	0	0	 	0	0	 	39	60	 	0	0	 	4	6.15	 	0	0	 	0	0	 	0	0	 	65	100	 	0	0	 	65	0.09
Wubin		                                      	2	2.13	 	56	59.57	 	0	0	 	0	0	 	24	25.53	 	1	1.06	 	7	7.45	 	1	1.06	 	3	3.19	 	0	0	 	94	97.92	 	2	2.08	 	96	0.13
Wyalkatchem		                                	2	0.59	 	166	48.82	 	0	0	 	1	0.29	 	80	23.53	 	3	0.88	 	52	15.29	 	13	3.82	 	23	6.76	 	0	0	 	340	97.98	 	7	2.02	 	347	0.48
Yallingup (O'Connor)		                       	0	0	 	16	55.17	 	0	0	 	0	0	 	7	24.14	 	0	0	 	3	10.34	 	2	6.9	 	1	3.45	 	0	0	 	29	96.67	 	1	3.33	 	30	0.04
Yealering		                                  	1	0.78	 	74	57.36	 	0	0	 	0	0	 	27	20.93	 	2	1.55	 	14	10.85	 	1	0.78	 	10	7.75	 	0	0	 	129	98.47	 	2	1.53	 	131	0.18
Yerecoin		                                   	1	1.28	 	53	67.95	 	0	0	 	0	0	 	13	16.67	 	4	5.13	 	2	2.56	 	0	0	 	5	6.41	 	0	0	 	78	97.5	 	2	2.5	 	80	0.11
York		                                       	13	0.94	 	686	49.6	 	1	0.07	 	9	0.65	 	146	10.56	 	34	2.46	 	305	22.05	 	89	6.44	 	97	7.01	 	3	0.22	 	1383	95.98	 	58	4.02	 	1441	2.01
Yorkrakine		                                 	0	0	 	9	20.45	 	0	0	 	1	2.27	 	30	68.18	 	0	0	 	0	0	 	1	2.27	 	3	6.82	 	0	0	 	44	95.65	 	2	4.35	 	46	0.06
Yuna		                                       	0	0	 	49	87.5	 	0	0	 	0	0	 	3	5.36	 	1	1.79	 	2	3.57	 	0	0	 	1	1.79	 	0	0	 	56	96.55	 	2	3.45	 	58	0.08
Special Hospitals		                          	3	3.57	 	45	53.57	 	0	0	 	1	1.19	 	13	15.48	 	0	0	 	21	25	 	0	0	 	1	1.19	 	0	0	 	84	91.3	 	8	8.7	 	92	0.13
Total Ordinary		                             	649	1.17	 	30109	54.32	 	67	0.12	 	359	0.65	 	8582	15.48	 	698	1.26	 	10591	19.11	 	1517	2.74	 	2762	4.98	 	93	0.17	 	55427	95.94	 	2343	4.06	 	57770	80.68
ABSENT		                                     	87	1	 	4721	54.36	 	12	0.14	 	76	0.88	 	1191	13.71	 	127	1.46	 	1606	18.49	 	360	4.15	 	490	5.64	 	14	0.16	 	8684	98.17	 	162	1.83	 	8846	12.35
POSTAL		                                     	22	0.97	 	1386	61.41	 	1	0.04	 	5	0.22	 	341	15.11	 	44	1.95	 	290	12.85	 	68	3.01	 	93	4.12	 	7	0.31	 	2257	98.9	 	25	1.1	 	2282	3.19
PRE_POLL		                                   	9	0.51	 	954	54.55	 	3	0.17	 	9	0.51	 	215	12.29	 	29	1.66	 	349	19.95	 	73	4.17	 	105	6	 	3	0.17	 	1749	98.7	 	23	1.3	 	1772	2.47
PROVISIONAL		                                	19	2.09	 	407	44.68	 	4	0.44	 	8	0.88	 	75	8.23	 	14	1.54	 	288	31.61	 	42	4.61	 	52	5.71	 	2	0.22	 	911	97.75	 	21	2.25	 	932	1.3
ADJUSTMENT		                                 	2		       	14		       	3		       	2		       	7		       	0		       	0		       	3		       	3		       	0		       	34		       	-28		       	6	
Division Summary		                           	788	1.14	 	37591	54.43	 	90	0.13	 	459	0.66	 	10411	15.07	 	912	1.32	 	13124	19	 	2063	2.99	 	3505	5.08	 	119	0.17	 	69062	96.44	 	2546	3.56	 	71608	95.75
 																																								


Pearce (75614)																																								
	   		Group Total AWP			Group Total LP			Group Total - Unendorsed Group C			Group Total CTA			Group Total NP			Group Total AFI			Group Total ALP			Group Total GWA			Group Total DEM			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Bakers Hill		                                	5	1.05	 	234	49.37	 	1	0.21	 	2	0.42	 	13	2.74	 	5	1.05	 	126	26.58	 	29	6.12	 	58	12.24	 	1	0.21	 	474	95.37	 	23	4.63	 	497	0.68
Bellevue (Pearce)		                          	1	0.65	 	69	44.81	 	0	0	 	5	3.25	 	3	1.95	 	1	0.65	 	48	31.17	 	8	5.19	 	19	12.34	 	0	0	 	154	96.86	 	5	3.14	 	159	0.22
Bindoon		                                    	4	0.73	 	343	62.71	 	1	0.18	 	7	1.28	 	12	2.19	 	2	0.37	 	92	16.82	 	20	3.66	 	66	12.07	 	0	0	 	547	97.16	 	16	2.84	 	563	0.77
Boya		                                       	5	0.56	 	453	50.56	 	1	0.11	 	3	0.33	 	4	0.45	 	14	1.56	 	216	24.11	 	78	8.71	 	121	13.5	 	1	0.11	 	896	97.39	 	24	2.61	 	920	1.26
Bullsbrook		                                 	13	0.99	 	738	56.38	 	5	0.38	 	8	0.61	 	19	1.45	 	26	1.99	 	277	21.16	 	58	4.43	 	165	12.61	 	0	0	 	1309	95.9	 	56	4.1	 	1365	1.87
Bunbury Central (Pearce)		                   	0	0	 	22	31.88	 	0	0	 	1	1.45	 	1	1.45	 	1	1.45	 	27	39.13	 	6	8.7	 	11	15.94	 	0	0	 	69	98.57	 	1	1.43	 	70	0.1
Busselton (Pearce)		                         	1	0.68	 	71	48.63	 	0	0	 	6	4.11	 	0	0	 	2	1.37	 	40	27.4	 	10	6.85	 	16	10.96	 	0	0	 	146	97.99	 	3	2.01	 	149	0.2
Busselton West (Pearce)		                    	1	2.33	 	21	48.84	 	0	0	 	0	0	 	0	0	 	0	0	 	14	32.56	 	4	9.3	 	3	6.98	 	0	0	 	43	100	 	0	0	 	43	0.06
Carmel		                                     	4	1.19	 	210	62.69	 	0	0	 	2	0.6	 	7	2.09	 	3	0.9	 	57	17.01	 	17	5.07	 	35	10.45	 	0	0	 	335	98.24	 	6	1.76	 	341	0.47
Chidlow		                                    	8	0.97	 	366	44.31	 	0	0	 	15	1.82	 	10	1.21	 	19	2.3	 	198	23.97	 	95	11.5	 	109	13.2	 	6	0.73	 	826	96.16	 	33	3.84	 	859	1.18
Darlington		                                 	13	0.68	 	902	47.13	 	1	0.05	 	14	0.73	 	8	0.42	 	20	1.04	 	422	22.05	 	197	10.29	 	332	17.35	 	5	0.26	 	1914	97.01	 	59	2.99	 	1973	2.7
Dunsborough (Pearce)		                       	2	2.53	 	40	50.63	 	0	0	 	3	3.8	 	0	0	 	0	0	 	12	15.19	 	5	6.33	 	17	21.52	 	0	0	 	79	100	 	0	0	 	79	0.11
Falcon (Pearce)		                            	1	0.76	 	77	58.78	 	0	0	 	5	3.82	 	2	1.53	 	0	0	 	31	23.66	 	3	2.29	 	12	9.16	 	0	0	 	131	98.5	 	2	1.5	 	133	0.18
Forrestfield		                               	29	1.09	 	1081	40.46	 	9	0.34	 	25	0.94	 	39	1.46	 	35	1.31	 	1000	37.43	 	145	5.43	 	299	11.19	 	10	0.37	 	2672	95.94	 	113	4.06	 	2785	3.82
Forrestfield North		                         	30	0.95	 	1383	43.59	 	5	0.16	 	42	1.32	 	43	1.36	 	27	0.85	 	1119	35.27	 	126	3.97	 	392	12.35	 	6	0.19	 	3173	96.3	 	122	3.7	 	3295	4.52
Gidgegannup		                                	8	1.04	 	422	54.88	 	0	0	 	8	1.04	 	20	2.6	 	19	2.47	 	146	18.99	 	46	5.98	 	97	12.61	 	3	0.39	 	769	97.59	 	19	2.41	 	788	1.08
Glen Forrest		                               	8	0.52	 	721	47	 	2	0.13	 	6	0.39	 	39	2.54	 	15	0.98	 	364	23.73	 	138	9	 	235	15.32	 	6	0.39	 	1534	97.27	 	43	2.73	 	1577	2.16
Gooseberry Hill		                            	12	0.91	 	793	60.26	 	0	0	 	8	0.61	 	12	0.91	 	15	1.14	 	222	16.87	 	80	6.08	 	169	12.84	 	5	0.38	 	1316	97.7	 	31	2.3	 	1347	1.85
Grass Valley		                               	3	2.16	 	85	61.15	 	0	0	 	0	0	 	15	10.79	 	2	1.44	 	15	10.79	 	4	2.88	 	14	10.07	 	1	0.72	 	139	95.86	 	6	4.14	 	145	0.2
Greenmount		                                 	14	0.82	 	788	46.43	 	3	0.18	 	15	0.88	 	10	0.59	 	13	0.77	 	492	28.99	 	109	6.42	 	245	14.44	 	8	0.47	 	1697	95.82	 	74	4.18	 	1771	2.43
Henley Brook		                               	6	0.66	 	546	60.26	 	0	0	 	7	0.77	 	12	1.32	 	11	1.21	 	188	20.75	 	43	4.75	 	92	10.15	 	1	0.11	 	906	96.18	 	36	3.82	 	942	1.29
Herne Hill		                                 	10	0.93	 	533	49.67	 	3	0.28	 	4	0.37	 	12	1.12	 	4	0.37	 	333	31.03	 	64	5.96	 	109	10.16	 	1	0.09	 	1073	94.54	 	62	5.46	 	1135	1.56
High Wycombe		                               	23	0.76	 	1250	41.27	 	9	0.3	 	38	1.25	 	14	0.46	 	29	0.96	 	1146	37.83	 	170	5.61	 	346	11.42	 	4	0.13	 	3029	95.22	 	152	4.78	 	3181	4.36
High Wycombe South		                         	18	1.3	 	594	42.92	 	1	0.07	 	9	0.65	 	11	0.79	 	23	1.66	 	502	36.27	 	49	3.54	 	173	12.5	 	4	0.29	 	1384	96.99	 	43	3.01	 	1427	1.96
Kalamunda		                                  	29	0.74	 	2134	54.77	 	1	0.03	 	41	1.05	 	31	0.8	 	48	1.23	 	820	21.05	 	273	7.01	 	509	13.06	 	10	0.26	 	3896	96.39	 	146	3.61	 	4042	5.54
