Senate -  1998 Election: New South Wales																																																																															
First Preference Votes by Group																																																																															
By Polling Place																																																																															


Banks (80108)																																																																															

	   		Group Total FST			Group Total NAN			Group Total NDP			Group Total - Unendorsed Group D			Group Total NLP			Group Total ACS			Group Total - Unendorsed Group G			Group Total ALP			Group Total CEC			Group Total - Unendorsed Group J			Group Total HAN			Group Total LNP			Group Total DEM			Group Total DSL			Group Total RAR			Group Total - Unendorsed Group P			Group Total SEP			Group Total - Unendorsed Group R			Group Total - Unendorsed Group S			Group Total CDP			Group Total GRN			Group Total UNI			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Ilford		                                     	2	1.1	  	0	0	  	1	0.55	  	0	0	  	0	0	  	1	0.55	  	0	0	  	35	19.23	  	0	0	  	0	0	  	58	31.87	  	73	40.11	  	7	3.85	  	0	0	  	1	0.55	  	0	0	  	0	0	  	0	0	  	0	0	  	2	1.1	  	1	0.55	  	1	0.55	  	0	0	  	182	96.81	  	6	3.19	  	188	0.25
Jenolan Caves		                              	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	5	17.86	  	0	0	  	0	0	  	1	3.57	  	15	53.57	  	5	17.86	  	1	3.57	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	1	3.57	  	0	0	  	0	0	  	28	100	  	0	0	  	28	0.04
Kandos		                                     	19	1.97	  	1	0.1	  	3	0.31	  	1	0.1	  	2	0.21	  	3	0.31	  	0	0	  	517	53.69	  	2	0.21	  	0	0	  	165	17.13	  	164	17.03	  	49	5.09	  	3	0.31	  	8	0.83	  	0	0	  	1	0.1	  	0	0	  	1	0.1	  	4	0.42	  	14	1.45	  	4	0.42	  	2	0.21	  	963	95.25	  	48	4.75	  	1011	1.34
Kelso		                                      	18	0.76	  	1	0.04	  	5	0.21	  	0	0	  	6	0.25	  	4	0.17	  	0	0	  	894	37.83	  	3	0.13	  	1	0.04	  	294	12.44	  	833	35.25	  	184	7.79	  	7	0.3	  	2	0.08	  	0	0	  	2	0.08	  	0	0	  	0	0	  	33	1.4	  	49	2.07	  	23	0.97	  	4	0.17	  	2363	97.2	  	68	2.8	  	2431	3.22
Kirkconnell		                                	3	2	  	0	0	  	1	0.67	  	0	0	  	0	0	  	0	0	  	0	0	  	48	32	  	1	0.67	  	0	0	  	28	18.67	  	44	29.33	  	16	10.67	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	5	3.33	  	3	2	  	0	0	  	1	0.67	  	150	96.15	  	6	3.85	  	156	0.21
Lithgow		                                    	15	0.94	  	6	0.37	  	4	0.25	  	0	0	  	2	0.12	  	3	0.19	  	0	0	  	902	56.27	  	3	0.19	  	0	0	  	193	12.04	  	299	18.65	  	105	6.55	  	3	0.19	  	6	0.37	  	0	0	  	1	0.06	  	1	0.06	  	0	0	  	29	1.81	  	25	1.56	  	4	0.25	  	2	0.12	  	1603	95.87	  	69	4.13	  	1672	2.22
Lithgow Hospital		                           	1	1	  	0	0	  	0	0	  	0	0	  	0	0	  	1	1	  	0	0	  	52	52	  	0	0	  	0	0	  	10	10	  	25	25	  	10	10	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	1	1	  	0	0	  	0	0	  	0	0	  	100	98.04	  	2	1.96	  	102	0.14
Littleton		                                  	6	1.29	  	0	0	  	1	0.22	  	0	0	  	0	0	  	0	0	  	0	0	  	260	56.03	  	0	0	  	0	0	  	58	12.5	  	92	19.83	  	35	7.54	  	0	0	  	1	0.22	  	0	0	  	0	0	  	0	0	  	0	0	  	8	1.72	  	2	0.43	  	1	0.22	  	0	0	  	464	96.47	  	17	3.53	  	481	0.64
Lucknow		                                    	2	0.75	  	0	0	  	1	0.37	  	1	0.37	  	1	0.37	  	1	0.37	  	0	0	  	63	23.51	  	0	0	  	0	0	  	35	13.06	  	131	48.88	  	16	5.97	  	1	0.37	  	1	0.37	  	0	0	  	0	0	  	0	0	  	0	0	  	6	2.24	  	7	2.61	  	1	0.37	  	1	0.37	  	268	98.53	  	4	1.47	  	272	0.36
Lyndhurst		                                  	3	1.38	  	1	0.46	  	2	0.92	  	1	0.46	  	2	0.92	  	0	0	  	1	0.46	  	56	25.69	  	0	0	  	0	0	  	51	23.39	  	82	37.61	  	11	5.05	  	0	0	  	1	0.46	  	0	0	  	0	0	  	0	0	  	0	0	  	1	0.46	  	5	2.29	  	1	0.46	  	0	0	  	218	95.61	  	10	4.39	  	228	0.3
Mandurama		                                  	1	0.48	  	0	0	  	1	0.48	  	0	0	  	1	0.48	  	0	0	  	0	0	  	60	28.57	  	1	0.48	  	0	0	  	46	21.9	  	89	42.38	  	5	2.38	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	2	0.95	  	4	1.9	  	0	0	  	0	0	  	210	98.13	  	4	1.87	  	214	0.28
Manildra		                                   	2	0.39	  	0	0	  	1	0.19	  	0	0	  	2	0.39	  	1	0.19	  	0	0	  	195	37.79	  	1	0.19	  	0	0	  	77	14.92	  	204	39.53	  	13	2.52	  	3	0.58	  	3	0.58	  	0	0	  	0	0	  	0	0	  	0	0	  	6	1.16	  	4	0.78	  	4	0.78	  	0	0	  	516	96.27	  	20	3.73	  	536	0.71
March		                                      	2	0.96	  	0	0	  	1	0.48	  	0	0	  	0	0	  	0	0	  	0	0	  	41	19.71	  	0	0	  	0	0	  	35	16.83	  	107	51.44	  	13	6.25	  	0	0	  	1	0.48	  	0	0	  	0	0	  	0	0	  	0	0	  	5	2.4	  	3	1.44	  	0	0	  	0	0	  	208	99.52	  	1	0.48	  	209	0.28
Meadow Flat		                                	0	0	  	0	0	  	0	0	  	0	0	  	1	0.63	  	0	0	  	0	0	  	51	32.08	  	0	0	  	0	0	  	29	18.24	  	57	35.85	  	15	9.43	  	1	0.63	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	1	0.63	  	4	2.52	  	0	0	  	0	0	  	159	98.15	  	3	1.85	  	162	0.21
Millthorpe		                                 	4	0.63	  	0	0	  	0	0	  	1	0.16	  	2	0.31	  	3	0.47	  	0	0	  	157	24.53	  	1	0.16	  	0	0	  	97	15.16	  	301	47.03	  	40	6.25	  	4	0.63	  	0	0	  	1	0.16	  	0	0	  	0	0	  	0	0	  	9	1.41	  	17	2.66	  	3	0.47	  	0	0	  	640	96.68	  	22	3.32	  	662	0.88
Mitchell Campus		                            	1	1.37	  	0	0	  	1	1.37	  	0	0	  	0	0	  	0	0	  	0	0	  	35	47.95	  	0	0	  	0	0	  	4	5.48	  	15	20.55	  	14	19.18	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	3	4.11	  	0	0	  	0	0	  	73	97.33	  	2	2.67	  	75	0.1
Molong		                                     	14	1.2	  	0	0	  	0	0	  	1	0.09	  	3	0.26	  	0	0	  	0	0	  	362	30.94	  	1	0.09	  	1	0.09	  	176	15.04	  	470	40.17	  	60	5.13	  	5	0.43	  	2	0.17	  	1	0.09	  	3	0.26	  	0	0	  	0	0	  	61	5.21	  	7	0.6	  	3	0.26	  	0	0	  	1170	96.85	  	38	3.15	  	1208	1.6
Morts Estate		                               	5	1.19	  	0	0	  	1	0.24	  	0	0	  	1	0.24	  	2	0.48	  	0	0	  	243	57.86	  	0	0	  	0	0	  	62	14.76	  	62	14.76	  	34	8.1	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	3	0.71	  	6	1.43	  	0	0	  	1	0.24	  	420	99.53	  	2	0.47	  	422	0.56
Mullion Creek		                              	2	0.75	  	0	0	  	0	0	  	0	0	  	1	0.38	  	0	0	  	0	0	  	59	22.18	  	0	0	  	0	0	  	59	22.18	  	115	43.23	  	24	9.02	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	5	1.88	  	0	0	  	1	0.38	  	0	0	  	266	97.08	  	8	2.92	  	274	0.36
Mumbil		                                     	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	53	32.12	  	1	0.61	  	0	0	  	36	21.82	  	60	36.36	  	8	4.85	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	6	3.64	  	0	0	  	1	0.61	  	0	0	  	165	93.22	  	12	6.78	  	177	0.23
Nashdale		                                   	2	0.75	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	43	16.1	  	0	0	  	0	0	  	42	15.73	  	136	50.94	  	30	11.24	  	1	0.37	  	1	0.37	  	0	0	  	0	0	  	0	0	  	0	0	  	7	2.62	  	4	1.5	  	1	0.37	  	0	0	  	267	98.89	  	3	1.11	  	270	0.36
Neurea		                                     	0	0	  	0	0	  	1	1.3	  	0	0	  	0	0	  	0	0	  	0	0	  	9	11.69	  	0	0	  	0	0	  	9	11.69	  	47	61.04	  	8	10.39	  	2	2.6	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	1	1.3	  	77	98.72	  	1	1.28	  	78	0.1
Neville		                                    	3	2.61	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	22	19.13	  	0	0	  	0	0	  	21	18.26	  	65	56.52	  	3	2.61	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	1	0.87	  	0	0	  	0	0	  	115	98.29	  	2	1.71	  	117	0.16
Newbridge		                                  	1	0.7	  	0	0	  	3	2.11	  	0	0	  	0	0	  	0	0	  	0	0	  	37	26.06	  	0	0	  	0	0	  	20	14.08	  	67	47.18	  	8	5.63	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	3	2.11	  	2	1.41	  	1	0.7	  	0	0	  	142	99.3	  	1	0.7	  	143	0.19
O'Connell		                                  	0	0	  	0	0	  	0	0	  	0	0	  	1	0.41	  	1	0.41	  	0	0	  	44	18.11	  	0	0	  	0	0	  	40	16.46	  	104	42.8	  	35	14.4	  	1	0.41	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	10	4.12	  	6	2.47	  	1	0.41	  	0	0	  	243	98.78	  	3	1.22	  	246	0.33
Oakey Park		                                 	2	0.89	  	0	0	  	1	0.45	  	0	0	  	0	0	  	0	0	  	0	0	  	141	62.95	  	0	0	  	0	0	  	41	18.3	  	23	10.27	  	7	3.13	  	1	0.45	  	1	0.45	  	0	0	  	0	0	  	0	0	  	0	0	  	3	1.34	  	4	1.79	  	0	0	  	0	0	  	224	96.97	  	7	3.03	  	231	0.31
Oberon		                                     	16	0.91	  	0	0	  	6	0.34	  	3	0.17	  	7	0.4	  	7	0.4	  	2	0.11	  	543	30.78	  	4	0.23	  	0	0	  	312	17.69	  	719	40.76	  	69	3.91	  	7	0.4	  	7	0.4	  	1	0.06	  	0	0	  	0	0	  	0	0	  	31	1.76	  	23	1.3	  	7	0.4	  	0	0	  	1764	97.62	  	43	2.38	  	1807	2.4
Orange		                                     	22	1.03	  	1	0.05	  	7	0.33	  	2	0.09	  	4	0.19	  	2	0.09	  	0	0	  	677	31.71	  	4	0.19	  	2	0.09	  	197	9.23	  	933	43.7	  	160	7.49	  	6	0.28	  	6	0.28	  	0	0	  	1	0.05	  	0	0	  	0	0	  	66	3.09	  	35	1.64	  	8	0.37	  	2	0.09	  	2135	95.91	  	91	4.09	  	2226	2.95
Orange East		                                	20	1.5	  	1	0.07	  	5	0.37	  	0	0	  	4	0.3	  	2	0.15	  	0	0	  	510	38.2	  	3	0.22	  	0	0	  	179	13.41	  	447	33.48	  	95	7.12	  	4	0.3	  	4	0.3	  	0	0	  	3	0.22	  	0	0	  	1	0.07	  	26	1.95	  	21	1.57	  	8	0.6	  	2	0.15	  	1335	96.25	  	52	3.75	  	1387	1.84
Orange Hospital		                            	2	0.56	  	0	0	  	0	0	  	0	0	  	3	0.84	  	1	0.28	  	0	0	  	113	31.56	  	1	0.28	  	0	0	  	34	9.5	  	150	41.9	  	37	10.34	  	2	0.56	  	1	0.28	  	0	0	  	0	0	  	0	0	  	0	0	  	5	1.4	  	8	2.23	  	1	0.28	  	0	0	  	358	95.98	  	15	4.02	  	373	0.49
Orange North		                               	2	0.28	  	2	0.28	  	3	0.42	  	0	0	  	3	0.42	  	1	0.14	  	0	0	  	225	31.16	  	0	0	  	0	0	  	72	9.97	  	344	47.65	  	39	5.4	  	0	0	  	3	0.42	  	0	0	  	2	0.28	  	0	0	  	0	0	  	11	1.52	  	12	1.66	  	2	0.28	  	1	0.14	  	722	96.91	  	23	3.09	  	745	0.99
Orange South		                               	7	0.5	  	1	0.07	  	1	0.07	  	3	0.22	  	1	0.07	  	1	0.07	  	1	0.07	  	438	31.4	  	1	0.07	  	1	0.07	  	190	13.62	  	596	42.72	  	94	6.74	  	4	0.29	  	5	0.36	  	0	0	  	1	0.07	  	0	0	  	0	0	  	25	1.79	  	20	1.43	  	4	0.29	  	1	0.07	  	1395	97.96	  	29	2.04	  	1424	1.89
Orange West		                                	21	0.66	  	0	0	  	8	0.25	  	0	0	  	10	0.31	  	4	0.13	  	3	0.09	  	858	26.97	  	1	0.03	  	3	0.09	  	354	11.13	  	1548	48.66	  	196	6.16	  	11	0.35	  	10	0.31	  	0	0	  	0	0	  	1	0.03	  	1	0.03	  	77	2.42	  	50	1.57	  	22	0.69	  	3	0.09	  	3181	97.58	  	79	2.42	  	3260	4.32
Peel		                                       	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	1	1	  	0	0	  	13	13	  	0	0	  	0	0	  	16	16	  	48	48	  	14	14	  	0	0	  	0	0	  	1	1	  	0	0	  	0	0	  	0	0	  	0	0	  	6	6	  	1	1	  	0	0	  	100	97.09	  	3	2.91	  	103	0.14
Perthville		                                 	5	1.18	  	0	0	  	1	0.24	  	1	0.24	  	2	0.47	  	3	0.71	  	0	0	  	87	20.47	  	0	0	  	0	0	  	71	16.71	  	206	48.47	  	27	6.35	  	3	0.71	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	12	2.82	  	6	1.41	  	0	0	  	1	0.24	  	425	97.93	  	9	2.07	  	434	0.58
Portland		                                   	18	1.62	  	0	0	  	4	0.36	  	0	0	  	1	0.09	  	2	0.18	  	0	0	  	740	66.73	  	2	0.18	  	0	0	  	126	11.36	  	153	13.8	  	47	4.24	  	1	0.09	  	1	0.09	  	0	0	  	1	0.09	  	0	0	  	0	0	  	5	0.45	  	4	0.36	  	4	0.36	  	0	0	  	1109	97.88	  	24	2.12	  	1133	1.5
Raglan		                                     	3	0.48	  	0	0	  	0	0	  	0	0	  	0	0	  	4	0.64	  	1	0.16	  	234	37.26	  	5	0.8	  	0	0	  	107	17.04	  	198	31.53	  	43	6.85	  	4	0.64	  	2	0.32	  	0	0	  	1	0.16	  	0	0	  	0	0	  	17	2.71	  	8	1.27	  	0	0	  	1	0.16	  	628	97.82	  	14	2.18	  	642	0.85
Rockley		                                    	0	0	  	0	0	  	0	0	  	0	0	  	1	0.43	  	0	0	  	0	0	  	57	24.68	  	0	0	  	0	0	  	53	22.94	  	101	43.72	  	14	6.06	  	1	0.43	  	1	0.43	  	0	0	  	0	0	  	0	0	  	1	0.43	  	0	0	  	1	0.43	  	1	0.43	  	0	0	  	231	97.88	  	5	2.12	  	236	0.31
Rydal		                                      	1	1.15	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	1	1.15	  	23	26.44	  	0	0	  	0	0	  	18	20.69	  	37	42.53	  	4	4.6	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	3	3.45	  	0	0	  	0	0	  	87	97.75	  	2	2.25	  	89	0.12
Rylstone		                                   	4	0.54	  	1	0.13	  	1	0.13	  	1	0.13	  	1	0.13	  	1	0.13	  	0	0	  	293	39.22	  	1	0.13	  	0	0	  	151	20.21	  	231	30.92	  	39	5.22	  	2	0.27	  	1	0.13	  	0	0	  	0	0	  	0	0	  	0	0	  	9	1.2	  	10	1.34	  	1	0.13	  	0	0	  	747	96.76	  	25	3.24	  	772	1.02
Sofala		                                     	1	0.94	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	23	21.7	  	1	0.94	  	0	0	  	30	28.3	  	35	33.02	  	13	12.26	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	3	2.83	  	0	0	  	0	0	  	106	95.5	  	5	4.5	  	111	0.15
Spring Hill		                                	0	0	  	0	0	  	0	0	  	0	0	  	1	0.53	  	2	1.06	  	0	0	  	39	20.63	  	0	0	  	0	0	  	32	16.93	  	98	51.85	  	10	5.29	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	1	0.53	  	2	1.06	  	3	1.59	  	1	0.53	  	0	0	  	189	97.93	  	4	2.07	  	193	0.26
Spring Terrace		                             	3	1.44	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	39	18.75	  	0	0	  	0	0	  	31	14.9	  	106	50.96	  	22	10.58	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	4	1.92	  	3	1.44	  	0	0	  	0	0	  	208	96.74	  	7	3.26	  	215	0.29
Stuart Town		                                	1	0.41	  	0	0	  	2	0.82	  	0	0	  	1	0.41	  	1	0.41	  	0	0	  	111	45.49	  	0	0	  	0	0	  	44	18.03	  	64	26.23	  	8	3.28	  	2	0.82	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	7	2.87	  	2	0.82	  	1	0.41	  	0	0	  	244	96.44	  	9	3.56	  	253	0.34
Sydney (Calare)		                            	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	8	21.05	  	0	0	  	0	0	  	3	7.89	  	15	39.47	  	6	15.79	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	2	5.26	  	2	5.26	  	0	0	  	2	5.26	  	38	100	  	0	0	  	38	0.05
Tarana		                                     	0	0	  	0	0	  	0	0	  	1	1.32	  	0	0	  	0	0	  	0	0	  	19	25	  	0	0	  	0	0	  	18	23.68	  	28	36.84	  	5	6.58	  	1	1.32	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	1	1.32	  	2	2.63	  	1	1.32	  	0	0	  	76	96.2	  	3	3.8	  	79	0.1
The Lagoon		                                 	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	1	0.96	  	25	24.04	  	0	0	  	0	0	  	11	10.58	  	55	52.88	  	6	5.77	  	0	0	  	3	2.88	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	1	0.96	  	2	1.92	  	0	0	  	104	96.3	  	4	3.7	  	108	0.14
Towri Aboriginal Centre		                    	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	62	41.33	  	0	0	  	0	0	  	18	12	  	48	32	  	11	7.33	  	0	0	  	1	0.67	  	0	0	  	0	0	  	0	0	  	0	0	  	4	2.67	  	6	4	  	0	0	  	0	0	  	150	97.4	  	4	2.6	  	154	0.2
Trunkey Creek		                              	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	1	0.87	  	1	0.87	  	19	16.52	  	0	0	  	0	0	  	23	20	  	57	49.57	  	8	6.96	  	1	0.87	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	2	1.74	  	2	1.74	  	1	0.87	  	0	0	  	115	95.83	  	5	4.17	  	120	0.16
Tweed Mills		                                	15	1.83	  	0	0	  	3	0.37	  	0	0	  	1	0.12	  	2	0.24	  	1	0.12	  	537	65.65	  	1	0.12	  	0	0	  	69	8.44	  	125	15.28	  	32	3.91	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	21	2.57	  	8	0.98	  	2	0.24	  	1	0.12	  	818	96.92	  	26	3.08	  	844	1.12
Vale Of Clwydd		                             	7	1.53	  	2	0.44	  	0	0	  	0	0	  	0	0	  	3	0.66	  	0	0	  	288	62.88	  	1	0.22	  	0	0	  	44	9.61	  	79	17.25	  	22	4.8	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	7	1.53	  	3	0.66	  	2	0.44	  	0	0	  	458	96.22	  	18	3.78	  	476	0.63
Wallerawang		                                	11	1.03	  	0	0	  	5	0.47	  	1	0.09	  	4	0.37	  	2	0.19	  	1	0.09	  	609	56.81	  	2	0.19	  	0	0	  	131	12.22	  	207	19.31	  	56	5.22	  	4	0.37	  	5	0.47	  	0	0	  	0	0	  	0	0	  	0	0	  	17	1.59	  	8	0.75	  	9	0.84	  	0	0	  	1072	98.08	  	21	1.92	  	1093	1.45
Wattle Flat		                                	3	2.54	  	0	0	  	0	0	  	0	0	  	0	0	  	1	0.85	  	0	0	  	39	33.05	  	1	0.85	  	0	0	  	19	16.1	  	38	32.2	  	10	8.47	  	3	2.54	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	2	1.69	  	1	0.85	  	0	0	  	1	0.85	  	118	95.93	  	5	4.07	  	123	0.16
Yeoval		                                     	1	0.2	  	0	0	  	0	0	  	1	0.2	  	0	0	  	0	0	  	0	0	  	111	22.52	  	1	0.2	  	0	0	  	89	18.05	  	253	51.32	  	18	3.65	  	1	0.2	  	2	0.41	  	0	0	  	0	0	  	0	0	  	0	0	  	14	2.84	  	0	0	  	0	0	  	2	0.41	  	493	97.62	  	12	2.38	  	505	0.67
Special Hospitals		                          	8	1.61	  	0	0	  	1	0.2	  	2	0.4	  	1	0.2	  	0	0	  	0	0	  	203	40.76	  	1	0.2	  	1	0.2	  	27	5.42	  	231	46.39	  	11	2.21	  	1	0.2	  	1	0.2	  	0	0	  	2	0.4	  	0	0	  	0	0	  	8	1.61	  	0	0	  	0	0	  	0	0	  	498	95.95	  	21	4.05	  	519	0.69
Prison Mobiles		                             	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0
Total Ordinary		                             	533	0.92	  	37	0.06	  	122	0.21	  	29	0.05	  	124	0.21	  	134	0.23	  	25	0.04	  	22332	38.43	  	90	0.15	  	44	0.08	  	7858	13.52	  	20371	35.05	  	3760	6.47	  	188	0.32	  	164	0.28	  	7	0.01	  	30	0.05	  	6	0.01	  	11	0.02	  	1092	1.88	  	844	1.45	  	271	0.47	  	43	0.07	  	58115	97.12	  	1724	2.88	  	59839	79.36
ABSENT		                                     	30	0.56	  	3	0.06	  	13	0.24	  	2	0.04	  	12	0.23	  	17	0.32	  	5	0.09	  	1907	35.89	  	7	0.13	  	1	0.02	  	616	11.59	  	1906	35.87	  	419	7.89	  	7	0.13	  	12	0.23	  	1	0.02	  	4	0.08	  	2	0.04	  	1	0.02	  	135	2.54	  	160	3.01	  	44	0.83	  	9	0.17	  	5313	98.44	  	84	1.56	  	5397	7.16
POSTAL		                                     	11	0.32	  	0	0	  	4	0.11	  	2	0.06	  	0	0	  	5	0.14	  	4	0.11	  	1262	36.26	  	2	0.06	  	1	0.03	  	465	13.36	  	1203	34.57	  	304	8.74	  	3	0.09	  	23	0.66	  	1	0.03	  	0	0	  	0	0	  	0	0	  	118	3.39	  	49	1.41	  	13	0.37	  	10	0.29	  	3480	99.46	  	19	0.54	  	3499	4.64
PRE_POLL		                                   	47	0.84	  	0	0	  	23	0.41	  	2	0.04	  	8	0.14	  	10	0.18	  	1	0.02	  	2077	37.17	  	5	0.09	  	2	0.04	  	728	13.03	  	1972	35.29	  	385	6.89	  	22	0.39	  	21	0.38	  	1	0.02	  	3	0.05	  	0	0	  	1	0.02	  	123	2.2	  	112	2	  	34	0.61	  	11	0.2	  	5588	98.82	  	67	1.18	  	5655	7.5
PROVISIONAL		                                	14	1.41	  	1	0.1	  	4	0.4	  	1	0.1	  	3	0.3	  	5	0.5	  	0	0	  	471	47.53	  	3	0.3	  	0	0	  	146	14.73	  	222	22.4	  	49	4.94	  	2	0.2	  	7	0.71	  	0	0	  	0	0	  	0	0	  	0	0	  	18	1.82	  	35	3.53	  	9	0.91	  	1	0.1	  	991	97.92	  	21	2.08	  	1012	1.34
Division Summary		                           	635	0.86	  	41	0.06	  	166	0.23	  	36	0.05	  	147	0.2	  	171	0.23	  	35	0.05	  	28049	38.17	  	107	0.15	  	48	0.07	  	9813	13.35	  	25674	34.94	  	4917	6.69	  	222	0.3	  	227	0.31	  	10	0.01	  	37	0.05	  	8	0.01	  	13	0.02	  	1486	2.02	  	1200	1.63	  	371	0.5	  	74	0.1	  	73487	97.46	  	1915	2.54	  	75402	96.25


Charlton (86091)																																																																															

	   		Group Total FST			Group Total NAN			Group Total NDP			Group Total - Unendorsed Group D			Group Total NLP			Group Total ACS			Group Total - Unendorsed Group G			Group Total ALP			Group Total CEC			Group Total - Unendorsed Group J			Group Total HAN			Group Total LNP			Group Total DEM			Group Total DSL			Group Total RAR			Group Total - Unendorsed Group P			Group Total SEP			Group Total - Unendorsed Group R			Group Total - Unendorsed Group S			Group Total CDP			Group Total GRN			Group Total UNI			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Ambleside		                                  	1	0.28	  	0	0	  	0	0	  	1	0.28	  	0	0	  	2	0.56	  	0	0	  	119	33.33	  	0	0	  	0	0	  	24	6.72	  	153	42.86	  	40	11.2	  	2	0.56	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	8	2.24	  	5	1.4	  	2	0.56	  	0	0	  	357	98.35	  	6	1.65	  	363	0.44
Arcadia Vale		                               	2	0.28	  	0	0	  	0	0	  	0	0	  	0	0	  	2	0.28	  	0	0	  	358	49.65	  	0	0	  	0	0	  	109	15.12	  	178	24.69	  	43	5.96	  	1	0.14	  	1	0.14	  	0	0	  	0	0	  	0	0	  	0	0	  	8	1.11	  	17	2.36	  	2	0.28	  	0	0	  	721	96.78	  	24	3.22	  	745	0.9
Argenton		                                   	11	1.38	  	0	0	  	2	0.25	  	0	0	  	1	0.13	  	1	0.13	  	1	0.13	  	523	65.62	  	0	0	  	0	0	  	92	11.54	  	99	12.42	  	30	3.76	  	0	0	  	3	0.38	  	0	0	  	0	0	  	1	0.13	  	1	0.13	  	22	2.76	  	8	1	  	1	0.13	  	1	0.13	  	797	94.99	  	42	5.01	  	839	1.01
Awaba		                                      	0	0	  	1	0.47	  	0	0	  	0	0	  	0	0	  	1	0.47	  	0	0	  	133	61.86	  	0	0	  	1	0.47	  	33	15.35	  	22	10.23	  	21	9.77	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	3	1.4	  	0	0	  	0	0	  	215	95.56	  	10	4.44	  	225	0.27
