Senate -  1998 Election: Western Australia																																																																
First Preference Votes by Group																																																																
By Polling Place																																																																



Brand (77633)																																																																

	   		Group Total HAN			Group Total ASP			Group Total NP			Group Total NLP			Group Total LP			Group Total TPS			Group Total UNI			Group Total ACS			Group Total CEC			Group Total ALP			Group Total DSL			Group Total CDP			Group Total GWA			Group Total - Unendorsed Group N			Group Total - Unendorsed Unendorsed Group O			Group Total DEM			Group Total RPA			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Bolgart		                                    	23	19.01	  	2	1.65	  	4	3.31	  	1	0.83	  	78	64.46	  	0	0	  	0	0	  	0	0	  	1	0.83	  	6	4.96	  	0	0	  	0	0	  	1	0.83	  	1	0.83	  	0	0	  	4	3.31	  	0	0	  	0	0	  	121	96.03	  	5	3.97	  	126	0.16
Borden		                                     	20	11.11	  	0	0	  	44	24.44	  	1	0.56	  	92	51.11	  	0	0	  	0	0	  	0	0	  	0	0	  	9	5	  	0	0	  	0	0	  	5	2.78	  	0	0	  	0	0	  	9	5	  	0	0	  	0	0	  	180	97.83	  	4	2.17	  	184	0.23
Boscabel		                                   	13	24.53	  	1	1.89	  	9	16.98	  	0	0	  	26	49.06	  	0	0	  	0	0	  	0	0	  	1	1.89	  	0	0	  	0	0	  	0	0	  	1	1.89	  	0	0	  	0	0	  	2	3.77	  	0	0	  	0	0	  	53	98.15	  	1	1.85	  	54	0.07
Boxwood Hill		                               	11	13.92	  	1	1.27	  	16	20.25	  	2	2.53	  	45	56.96	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	1	1.27	  	0	0	  	1	1.27	  	0	0	  	2	2.53	  	0	0	  	0	0	  	79	98.75	  	1	1.25	  	80	0.1
Bremer Bay		                                 	40	15.15	  	1	0.38	  	17	6.44	  	0	0	  	156	59.09	  	0	0	  	0	0	  	1	0.38	  	0	0	  	31	11.74	  	1	0.38	  	5	1.89	  	8	3.03	  	0	0	  	0	0	  	4	1.52	  	0	0	  	0	0	  	264	96.7	  	9	3.3	  	273	0.34
Brookton		                                   	86	18.11	  	2	0.42	  	85	17.89	  	1	0.21	  	200	42.11	  	1	0.21	  	0	0	  	0	0	  	1	0.21	  	68	14.32	  	0	0	  	4	0.84	  	8	1.68	  	6	1.26	  	0	0	  	13	2.74	  	0	0	  	0	0	  	475	95.38	  	23	4.62	  	498	0.62
Broome (O'Connor)		                          	13	12.87	  	1	0.99	  	6	5.94	  	3	2.97	  	46	45.54	  	0	0	  	0	0	  	0	0	  	0	0	  	22	21.78	  	1	0.99	  	0	0	  	6	5.94	  	0	0	  	0	0	  	2	1.98	  	0	0	  	1	0.99	  	101	98.06	  	2	1.94	  	103	0.13
Broomehill		                                 	48	20.87	  	1	0.43	  	28	12.17	  	0	0	  	104	45.22	  	1	0.43	  	0	0	  	1	0.43	  	1	0.43	  	27	11.74	  	1	0.43	  	7	3.04	  	6	2.61	  	0	0	  	0	0	  	5	2.17	  	0	0	  	0	0	  	230	99.57	  	1	0.43	  	231	0.29
Bruce Rock		                                 	67	14.5	  	1	0.22	  	79	17.1	  	0	0	  	229	49.57	  	0	0	  	0	0	  	0	0	  	0	0	  	59	12.77	  	1	0.22	  	7	1.52	  	9	1.95	  	0	0	  	0	0	  	10	2.16	  	0	0	  	0	0	  	462	97.88	  	10	2.12	  	472	0.59
Brunswick		                                  	83	13.17	  	4	0.63	  	24	3.81	  	3	0.48	  	290	46.03	  	0	0	  	1	0.16	  	1	0.16	  	1	0.16	  	175	27.78	  	4	0.63	  	9	1.43	  	19	3.02	  	0	0	  	0	0	  	16	2.54	  	0	0	  	0	0	  	630	95.31	  	31	4.69	  	661	0.82
Bullaring		                                  	2	3.08	  	0	0	  	18	27.69	  	0	0	  	36	55.38	  	0	0	  	0	0	  	0	0	  	2	3.08	  	4	6.15	  	0	0	  	0	0	  	1	1.54	  	0	0	  	0	0	  	2	3.08	  	0	0	  	0	0	  	65	100	  	0	0	  	65	0.08
Bulyee		                                     	6	8.96	  	0	0	  	11	16.42	  	0	0	  	46	68.66	  	0	0	  	0	0	  	0	0	  	0	0	  	2	2.99	  	0	0	  	0	0	  	2	2.99	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	67	100	  	0	0	  	67	0.08
Buntine		                                    	1	2.22	  	0	0	  	8	17.78	  	0	0	  	29	64.44	  	0	0	  	0	0	  	1	2.22	  	0	0	  	2	4.44	  	0	0	  	2	4.44	  	1	2.22	  	0	0	  	0	0	  	1	2.22	  	0	0	  	0	0	  	45	95.74	  	2	4.26	  	47	0.06
Cadoux		                                     	19	19.79	  	1	1.04	  	26	27.08	  	0	0	  	46	47.92	  	1	1.04	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	1	1.04	  	0	0	  	0	0	  	2	2.08	  	0	0	  	0	0	  	96	98.97	  	1	1.03	  	97	0.12
Calingiri		                                  	24	16.11	  	1	0.67	  	14	9.4	  	0	0	  	86	57.72	  	1	0.67	  	0	0	  	0	0	  	0	0	  	13	8.72	  	1	0.67	  	1	0.67	  	2	1.34	  	0	0	  	0	0	  	6	4.03	  	0	0	  	0	0	  	149	98.03	  	3	1.97	  	152	0.19
Cape Burney		                                	32	20.13	  	1	0.63	  	3	1.89	  	0	0	  	60	37.74	  	0	0	  	0	0	  	0	0	  	0	0	  	36	22.64	  	0	0	  	4	2.52	  	10	6.29	  	0	0	  	0	0	  	12	7.55	  	0	0	  	1	0.63	  	159	96.95	  	5	3.05	  	164	0.2
Carnamah		                                   	40	15.81	  	1	0.4	  	9	3.56	  	0	0	  	152	60.08	  	0	0	  	0	0	  	0	0	  	0	0	  	37	14.62	  	1	0.4	  	1	0.4	  	4	1.58	  	0	0	  	0	0	  	7	2.77	  	1	0.4	  	0	0	  	253	98.06	  	5	1.94	  	258	0.32
Carnarvon (O'Connor)		                       	4	6.06	  	0	0	  	1	1.52	  	0	0	  	35	53.03	  	0	0	  	0	0	  	0	0	  	0	0	  	16	24.24	  	0	0	  	0	0	  	7	10.61	  	0	0	  	0	0	  	3	4.55	  	0	0	  	0	0	  	66	98.51	  	1	1.49	  	67	0.08
Cervantes		                                  	71	21.19	  	3	0.9	  	11	3.28	  	3	0.9	  	151	45.07	  	0	0	  	0	0	  	0	0	  	1	0.3	  	52	15.52	  	0	0	  	1	0.3	  	14	4.18	  	3	0.9	  	0	0	  	24	7.16	  	1	0.3	  	0	0	  	335	95.44	  	16	4.56	  	351	0.44
Clifton Park		                               	51	8.32	  	3	0.49	  	13	2.12	  	0	0	  	290	47.31	  	0	0	  	0	0	  	1	0.16	  	0	0	  	186	30.34	  	5	0.82	  	8	1.31	  	20	3.26	  	2	0.33	  	0	0	  	34	5.55	  	0	0	  	0	0	  	613	97.61	  	15	2.39	  	628	0.78
Collie		                                     	190	18.25	  	4	0.38	  	23	2.21	  	4	0.38	  	181	17.39	  	0	0	  	0	0	  	1	0.1	  	2	0.19	  	546	52.45	  	1	0.1	  	2	0.19	  	45	4.32	  	11	1.06	  	0	0	  	30	2.88	  	1	0.1	  	0	0	  	1041	96.03	  	43	3.97	  	1084	1.35
Collie Central		                             	119	17.53	  	2	0.29	  	21	3.09	  	1	0.15	  	114	16.79	  	0	0	  	1	0.15	  	0	0	  	0	0	  	363	53.46	  	1	0.15	  	2	0.29	  	23	3.39	  	2	0.29	  	0	0	  	30	4.42	  	0	0	  	0	0	  	679	96.59	  	24	3.41	  	703	0.87
Collie District Hospital		                   	135	16.54	  	3	0.37	  	26	3.19	  	3	0.37	  	165	20.22	  	1	0.12	  	1	0.12	  	2	0.25	  	4	0.49	  	430	52.7	  	4	0.49	  	0	0	  	18	2.21	  	1	0.12	  	1	0.12	  	22	2.7	  	0	0	  	0	0	  	816	95.33	  	40	4.67	  	856	1.06
Collie North		                               	150	14.42	  	6	0.58	  	34	3.27	  	2	0.19	  	184	17.69	  	1	0.1	  	1	0.1	  	1	0.1	  	3	0.29	  	590	56.73	  	2	0.19	  	3	0.29	  	25	2.4	  	5	0.48	  	0	0	  	33	3.17	  	0	0	  	0	0	  	1040	95.59	  	48	4.41	  	1088	1.35
Coomberdale		                                	8	15.09	  	0	0	  	10	18.87	  	0	0	  	26	49.06	  	0	0	  	0	0	  	0	0	  	2	3.77	  	5	9.43	  	0	0	  	0	0	  	0	0	  	1	1.89	  	0	0	  	1	1.89	  	0	0	  	0	0	  	53	96.36	  	2	3.64	  	55	0.07
Coorow		                                     	31	15.74	  	0	0	  	16	8.12	  	1	0.51	  	123	62.44	  	0	0	  	0	0	  	0	0	  	0	0	  	14	7.11	  	0	0	  	1	0.51	  	4	2.03	  	1	0.51	  	0	0	  	5	2.54	  	0	0	  	1	0.51	  	197	95.63	  	9	4.37	  	206	0.26
Corrigin		                                   	71	12.18	  	3	0.51	  	115	19.73	  	3	0.51	  	282	48.37	  	1	0.17	  	0	0	  	1	0.17	  	1	0.17	  	82	14.07	  	2	0.34	  	5	0.86	  	5	0.86	  	2	0.34	  	0	0	  	10	1.72	  	0	0	  	0	0	  	583	97	  	18	3	  	601	0.75
Cranbrook		                                  	97	27.25	  	0	0	  	31	8.71	  	0	0	  	149	41.85	  	0	0	  	0	0	  	0	0	  	3	0.84	  	46	12.92	  	0	0	  	10	2.81	  	10	2.81	  	0	0	  	0	0	  	10	2.81	  	0	0	  	0	0	  	356	94.43	  	21	5.57	  	377	0.47
Cuballing		                                  	39	14.61	  	1	0.37	  	46	17.23	  	2	0.75	  	129	48.31	  	0	0	  	0	0	  	1	0.37	  	0	0	  	31	11.61	  	0	0	  	5	1.87	  	3	1.12	  	0	0	  	0	0	  	10	3.75	  	0	0	  	0	0	  	267	98.16	  	5	1.84	  	272	0.34
Cunderdin		                                  	68	13.2	  	2	0.39	  	61	11.84	  	3	0.58	  	269	52.23	  	0	0	  	0	0	  	0	0	  	1	0.19	  	85	16.5	  	0	0	  	1	0.19	  	13	2.52	  	0	0	  	0	0	  	11	2.14	  	1	0.19	  	0	0	  	515	96.99	  	16	3.01	  	531	0.66
Dalwallinu		                                 	43	13.07	  	2	0.61	  	33	10.03	  	2	0.61	  	170	51.67	  	0	0	  	0	0	  	0	0	  	0	0	  	42	12.77	  	3	0.91	  	12	3.65	  	9	2.74	  	1	0.3	  	0	0	  	12	3.65	  	0	0	  	0	0	  	329	97.63	  	8	2.37	  	337	0.42
Dandaragan		                                 	26	11.66	  	3	1.35	  	19	8.52	  	1	0.45	  	136	60.99	  	0	0	  	0	0	  	0	0	  	0	0	  	25	11.21	  	0	0	  	0	0	  	4	1.79	  	2	0.9	  	0	0	  	7	3.14	  	0	0	  	0	0	  	223	99.11	  	2	0.89	  	225	0.28
Darkan		                                     	45	14.47	  	2	0.64	  	47	15.11	  	1	0.32	  	165	53.05	  	0	0	  	0	0	  	0	0	  	1	0.32	  	27	8.68	  	0	0	  	0	0	  	9	2.89	  	1	0.32	  	0	0	  	13	4.18	  	0	0	  	0	0	  	311	95.69	  	14	4.31	  	325	0.4
Dongara		                                    	222	15.94	  	3	0.22	  	56	4.02	  	4	0.29	  	722	51.83	  	1	0.07	  	0	0	  	3	0.22	  	4	0.29	  	251	18.02	  	4	0.29	  	22	1.58	  	46	3.3	  	7	0.5	  	1	0.07	  	47	3.37	  	0	0	  	0	0	  	1393	98.03	  	28	1.97	  	1421	1.77
Doodlakine		                                 	10	13.89	  	0	0	  	19	26.39	  	0	0	  	27	37.5	  	0	0	  	0	0	  	1	1.39	  	0	0	  	13	18.06	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	2	2.78	  	0	0	  	0	0	  	72	96	  	3	4	  	75	0.09
Dowerin		                                    	46	11.08	  	3	0.72	  	56	13.49	  	3	0.72	  	219	52.77	  	0	0	  	0	0	  	1	0.24	  	1	0.24	  	57	13.73	  	0	0	  	1	0.24	  	6	1.45	  	1	0.24	  	0	0	  	20	4.82	  	1	0.24	  	0	0	  	415	96.74	  	14	3.26	  	429	0.53
Dudinin		                                    	15	17.05	  	0	0	  	17	19.32	  	1	1.14	  	50	56.82	  	0	0	  	0	0	  	0	0	  	1	1.14	  	2	2.27	  	0	0	  	0	0	  	1	1.14	  	0	0	  	0	0	  	1	1.14	  	0	0	  	0	0	  	88	100	  	0	0	  	88	0.11
Dumbleyung		                                 	44	16.3	  	2	0.74	  	62	22.96	  	2	0.74	  	118	43.7	  	0	0	  	0	0	  	1	0.37	  	1	0.37	  	17	6.3	  	0	0	  	2	0.74	  	6	2.22	  	0	0	  	0	0	  	15	5.56	  	0	0	  	0	0	  	270	96.43	  	10	3.57	  	280	0.35
Duranillin		                                 	37	18.32	  	2	0.99	  	33	16.34	  	2	0.99	  	105	51.98	  	0	0	  	0	0	  	0	0	  	0	0	  	11	5.45	  	0	0	  	0	0	  	9	4.46	  	0	0	  	0	0	  	3	1.49	  	0	0	  	0	0	  	202	97.58	  	5	2.42	  	207	0.26
Eneabba		                                    	43	15.64	  	2	0.73	  	17	6.18	  	0	0	  	144	52.36	  	1	0.36	  	0	0	  	2	0.73	  	0	0	  	44	16	  	1	0.36	  	0	0	  	9	3.27	  	5	1.82	  	0	0	  	7	2.55	  	0	0	  	0	0	  	275	96.49	  	10	3.51	  	285	0.35
Ewington		                                   	58	20.14	  	1	0.35	  	15	5.21	  	2	0.69	  	41	14.24	  	0	0	  	0	0	  	1	0.35	  	0	0	  	148	51.39	  	1	0.35	  	0	0	  	10	3.47	  	0	0	  	0	0	  	11	3.82	  	0	0	  	0	0	  	288	98.29	  	5	1.71	  	293	0.36
Exmouth (O'Connor)		                         	16	12.8	  	1	0.8	  	12	9.6	  	0	0	  	64	51.2	  	0	0	  	0	0	  	0	0	  	0	0	  	23	18.4	  	1	0.8	  	0	0	  	4	3.2	  	0	0	  	0	0	  	4	3.2	  	0	0	  	0	0	  	125	96.9	  	4	3.1	  	129	0.16
Fitzgerald		                                 	7	18.92	  	1	2.7	  	4	10.81	  	0	0	  	25	67.57	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	37	97.37	  	1	2.63	  	38	0.05
Forest Hill		                                	22	20.95	  	0	0	  	18	17.14	  	0	0	  	54	51.43	  	0	0	  	0	0	  	0	0	  	0	0	  	7	6.67	  	0	0	  	2	1.9	  	0	0	  	0	0	  	0	0	  	2	1.9	  	0	0	  	0	0	  	105	96.33	  	4	3.67	  	109	0.14
Frankland		                                  	24	15.38	  	0	0	  	16	10.26	  	0	0	  	93	59.62	  	0	0	  	0	0	  	0	0	  	0	0	  	11	7.05	  	0	0	  	3	1.92	  	6	3.85	  	2	1.28	  	0	0	  	1	0.64	  	0	0	  	0	0	  	156	95.71	  	7	4.29	  	163	0.2
Gairdner River		                             	10	13.16	  	0	0	  	7	9.21	  	0	0	  	50	65.79	  	0	0	  	0	0	  	0	0	  	0	0	  	3	3.95	  	1	1.32	  	5	6.58	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	76	98.7	  	1	1.3	  	77	0.1
Geraldton		                                  	239	13.47	  	4	0.23	  	35	1.97	  	7	0.39	  	794	44.76	  	1	0.06	  	3	0.17	  	2	0.11	  	3	0.17	  	427	24.07	  	12	0.68	  	53	2.99	  	105	5.92	  	7	0.39	  	0	0	  	80	4.51	  	1	0.06	  	1	0.06	  	1774	97.58	  	44	2.42	  	1818	2.26
Geraldton Central		                          	192	14.31	  	3	0.22	  	24	1.79	  	5	0.37	  	595	44.34	  	1	0.07	  	0	0	  	4	0.3	  	1	0.07	  	337	25.11	  	6	0.45	  	31	2.31	  	82	6.11	  	7	0.52	  	0	0	  	52	3.87	  	2	0.15	  	0	0	  	1342	97.11	  	40	2.89	  	1382	1.72
Geraldton Regional Hospital		                	40	13.89	  	1	0.35	  	1	0.35	  	0	0	  	117	40.63	  	0	0	  	0	0	  	1	0.35	  	0	0	  	92	31.94	  	1	0.35	  	13	4.51	  	14	4.86	  	0	0	  	0	0	  	8	2.78	  	0	0	  	0	0	  	288	98.97	  	3	1.03	  	291	0.36
Geraldton St John of God Hospital		          	72	14.37	  	1	0.2	  	7	1.4	  	3	0.6	  	253	50.5	  	0	0	  	0	0	  	2	0.4	  	1	0.2	  	111	22.16	  	0	0	  	14	2.79	  	16	3.19	  	0	0	  	0	0	  	21	4.19	  	0	0	  	0	0	  	501	96.35	  	19	3.65	  	520	0.65
Gnowangerup		                                	73	16.48	  	7	1.58	  	51	11.51	  	1	0.23	  	179	40.41	  	0	0	  	1	0.23	  	0	0	  	4	0.9	  	94	21.22	  	3	0.68	  	14	3.16	  	4	0.9	  	1	0.23	  	0	0	  	10	2.26	  	1	0.23	  	0	0	  	443	96.1	  	18	3.9	  	461	0.57
Goomalling		                                 	92	23	  	1	0.25	  	55	13.75	  	1	0.25	  	183	45.75	  	0	0	  	0	0	  	1	0.25	  	0	0	  	53	13.25	  	0	0	  	1	0.25	  	3	0.75	  	0	0	  	0	0	  	10	2.5	  	0	0	  	0	0	  	400	97.09	  	12	2.91	  	412	0.51
Harvey		                                     	289	14.46	  	15	0.75	  	34	1.7	  	2	0.1	  	811	40.59	  	1	0.05	  	4	0.2	  	2	0.1	  	2	0.1	  	648	32.43	  	3	0.15	  	21	1.05	  	93	4.65	  	1	0.05	  	2	0.1	  	69	3.45	  	1	0.05	  	0	0	  	1998	95.46	  	95	4.54	  	2093	2.6
Highbury		                                   	20	17.7	  	1	0.88	  	32	28.32	  	1	0.88	  	37	32.74	  	0	0	  	0	0	  	0	0	  	0	0	  	15	13.27	  	1	0.88	  	0	0	  	3	2.65	  	0	0	  	0	0	  	3	2.65	  	0	0	  	0	0	  	113	97.41	  	3	2.59	  	116	0.14
Hopetoun		                                   	78	25	  	2	0.64	  	21	6.73	  	0	0	  	136	43.59	  	0	0	  	1	0.32	  	0	0	  	2	0.64	  	36	11.54	  	1	0.32	  	3	0.96	  	18	5.77	  	1	0.32	  	0	0	  	13	4.17	  	0	0	  	0	0	  	312	96.59	  	11	3.41	  	323	0.4
Hyden		                                      	38	14.62	  	2	0.77	  	60	23.08	  	1	0.38	  	133	51.15	  	0	0	  	0	0	  	0	0	  	1	0.38	  	17	6.54	  	0	0	  	1	0.38	  	3	1.15	  	0	0	  	1	0.38	  	3	1.15	  	0	0	  	0	0	  	260	99.24	  	2	0.76	  	262	0.33
Jennacubbine		                               	15	15.63	  	1	1.04	  	20	20.83	  	1	1.04	  	41	42.71	  	0	0	  	0	0	  	0	0	  	0	0	  	12	12.5	  	0	0	  	1	1.04	  	1	1.04	  	0	0	  	1	1.04	  	3	3.13	  	0	0	  	0	0	  	96	97.96	  	2	2.04	  	98	0.12
Jerdacuttup		                                	11	21.15	  	2	3.85	  	5	9.62	  	0	0	  	31	59.62	  	0	0	  	0	0	  	0	0	  	0	0	  	1	1.92	  	0	0	  	0	0	  	2	3.85	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	52	100	  	0	0	  	52	0.06
Jerramungup		                                	34	12.36	  	1	0.36	  	24	8.73	  	0	0	  	174	63.27	  	0	0	  	0	0	  	0	0	  	1	0.36	  	20	7.27	  	0	0	  	3	1.09	  	13	4.73	  	0	0	  	0	0	  	5	1.82	  	0	0	  	0	0	  	275	97.86	  	6	2.14	  	281	0.35
Jingalup		                                   	10	13.7	  	0	0	  	15	20.55	  	0	0	  	37	50.68	  	0	0	  	0	0	  	0	0	  	0	0	  	3	4.11	  	0	0	  	4	5.48	  	2	2.74	  	1	1.37	  	0	0	  	1	1.37	  	0	0	  	0	0	  	73	97.33	  	2	2.67	  	75	0.09
Jurien		                                     	107	18.04	  	3	0.51	  	33	5.56	  	1	0.17	  	327	55.14	  	0	0	  	1	0.17	  	1	0.17	  	1	0.17	  	80	13.49	  	1	0.17	  	4	0.67	  	21	3.54	  	2	0.34	  	0	0	  	11	1.85	  	0	0	  	0	0	  	593	96.58	  	21	3.42	  	614	0.76
Kalannie		                                   	17	13.49	  	0	0	  	13	10.32	  	0	0	  	87	69.05	  	0	0	  	0	0	  	0	0	  	1	0.79	  	3	2.38	  	0	0	  	1	0.79	  	3	2.38	  	0	0	  	0	0	  	1	0.79	  	0	0	  	0	0	  	126	99.21	  	1	0.79	  	127	0.16
Kalbarri (O'Connor)		                        	14	9.59	  	2	1.37	  	13	8.9	  	0	0	  	76	52.05	  	0	0	  	2	1.37	  	0	0	  	0	0	  	25	17.12	  	0	0	  	1	0.68	  	8	5.48	  	1	0.68	  	0	0	  	4	2.74	  	0	0	  	0	0	  	146	99.32	  	1	0.68	  	147	0.18
Karlgarin		                                  	11	13.75	  	2	2.5	  	29	36.25	  	0	0	  	31	38.75	  	0	0	  	0	0	  	0	0	  	1	1.25	  	3	3.75	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	3	3.75	  	0	0	  	0	0	  	80	96.39	  	3	3.61	  	83	0.1
Katanning		                                  	357	19.43	  	11	0.6	  	113	6.15	  	5	0.27	  	664	36.15	  	1	0.05	  	5	0.27	  	6	0.33	  	9	0.49	  	497	27.05	  	4	0.22	  	29	1.58	  	80	4.35	  	5	0.27	  	0	0	  	50	2.72	  	0	0	  	1	0.05	  	1837	96.08	  	75	3.92	  	1912	2.38
Katanning District Hospital		                	38	12.42	  	1	0.33	  	17	5.56	  	0	0	  	108	35.29	  	0	0	  	3	0.98	  	0	0	  	2	0.65	  	113	36.93	  	1	0.33	  	2	0.65	  	6	1.96	  	4	1.31	  	0	0	  	11	3.59	  	0	0	  	0	0	  	306	93.58	  	21	6.42	  	327	0.41
Kellerberrin		                               	110	20.48	  	0	0	  	82	15.27	  	2	0.37	  	203	37.8	  	0	0	  	0	0	  	0	0	  	0	0	  	101	18.81	  	1	0.19	  	18	3.35	  	12	2.23	  	1	0.19	  	0	0	  	7	1.3	  	0	0	  	0	0	  	537	95.04	  	28	4.96	  	565	0.7
Kendenup		                                   	55	17.46	  	0	0	  	35	11.11	  	4	1.27	  	123	39.05	  	0	0	  	0	0	  	0	0	  	0	0	  	55	17.46	  	1	0.32	  	2	0.63	  	21	6.67	  	2	0.63	  	0	0	  	17	5.4	  	0	0	  	0	0	  	315	98.44	  	5	1.56	  	320	0.4
Kojonup		                                    	131	15.94	  	4	0.49	  	106	12.9	  	2	0.24	  	418	50.85	  	1	0.12	  	1	0.12	  	0	0	  	6	0.73	  	86	10.46	  	1	0.12	  	7	0.85	  	19	2.31	  	0	0	  	0	0	  	40	4.87	  	0	0	  	0	0	  	822	97.05	  	25	2.95	  	847	1.05
Kondinin		                                   	42	17.5	  	2	0.83	  	39	16.25	  	0	0	  	113	47.08	  	0	0	  	1	0.42	  	0	0	  	0	0	  	28	11.67	  	1	0.42	  	1	0.42	  	3	1.25	  	0	0	  	0	0	  	10	4.17	  	0	0	  	0	0	  	240	96.39	  	9	3.61	  	249	0.31
Koorda		                                     	48	19.12	  	0	0	  	33	13.15	  	0	0	  	122	48.61	  	2	0.8	  	0	0	  	0	0	  	3	1.2	  	28	11.16	  	1	0.4	  	2	0.8	  	2	0.8	  	4	1.59	  	0	0	  	6	2.39	  	0	0	  	0	0	  	251	97.67	  	6	2.33	  	257	0.32
Kukerin		                                    	17	10.43	  	3	1.84	  	70	42.94	  	3	1.84	  	56	34.36	  	0	0	  	0	0	  	0	0	  	0	0	  	10	6.13	  	0	0	  	0	0	  	1	0.61	  	1	0.61	  	0	0	  	2	1.23	  	0	0	  	0	0	  	163	98.19	  	3	1.81	  	166	0.21
Kulin		                                      	84	17.8	  	4	0.85	  	97	20.55	  	0	0	  	199	42.16	  	2	0.42	  	1	0.21	  	1	0.21	  	0	0	  	53	11.23	  	0	0	  	3	0.64	  	15	3.18	  	0	0	  	0	0	  	12	2.54	  	0	0	  	1	0.21	  	472	96.13	  	19	3.87	  	491	0.61
Kununoppin		                                 	13	15.12	  	0	0	  	17	19.77	  	0	0	  	32	37.21	  	0	0	  	0	0	  	0	0	  	0	0	  	16	18.6	  	0	0	  	1	1.16	  	1	1.16	  	4	4.65	  	0	0	  	2	2.33	  	0	0	  	0	0	  	86	95.56	  	4	4.44	  	90	0.11
Lake Clifton		                               	31	15.2	  	2	0.98	  	2	0.98	  	0	0	  	78	38.24	  	1	0.49	  	0	0	  	0	0	  	1	0.49	  	69	33.82	  	1	0.49	  	1	0.49	  	10	4.9	  	1	0.49	  	0	0	  	6	2.94	  	1	0.49	  	0	0	  	204	98.08	  	4	1.92	  	208	0.26
Lake Grace		                                 	71	17.4	  	1	0.25	  	79	19.36	  	1	0.25	  	194	47.55	  	0	0	  	0	0	  	1	0.25	  	0	0	  	42	10.29	  	0	0	  	3	0.74	  	9	2.21	  	0	0	  	0	0	  	6	1.47	  	1	0.25	  	0	0	  	408	97.84	  	9	2.16	  	417	0.52
Lake King		                                  	8	9.64	  	1	1.2	  	14	16.87	  	1	1.2	  	49	59.04	  	0	0	  	0	0	  	0	0	  	0	0	  	5	6.02	  	1	1.2	  	0	0	  	2	2.41	  	0	0	  	0	0	  	2	2.41	  	0	0	  	0	0	  	83	98.81	  	1	1.19	  	84	0.1
Latham		                                     	15	20.27	  	2	2.7	  	3	4.05	  	0	0	  	44	59.46	  	0	0	  	0	0	  	0	0	  	0	0	  	7	9.46	  	1	1.35	  	0	0	  	1	1.35	  	0	0	  	0	0	  	1	1.35	  	0	0	  	0	0	  	74	100	  	0	0	  	74	0.09
Leeman		                                     	70	18.04	  	1	0.26	  	12	3.09	  	0	0	  	161	41.49	  	0	0	  	0	0	  	0	0	  	0	0	  	92	23.71	  	1	0.26	  	7	1.8	  	13	3.35	  	12	3.09	  	0	0	  	17	4.38	  	2	0.52	  	0	0	  	388	97.24	  	11	2.76	  	399	0.5
Leschenault		                                	75	12.56	  	2	0.34	  	9	1.51	  	2	0.34	  	240	40.2	  	0	0	  	0	0	  	0	0	  	1	0.17	  	170	28.48	  	2	0.34	  	10	1.68	  	30	5.03	  	3	0.5	  	0	0	  	53	8.88	  	0	0	  	0	0	  	597	97.39	  	16	2.61	  	613	0.76
Meckering		                                  	33	23.74	  	0	0	  	21	15.11	  	2	1.44	  	58	41.73	  	0	0	  	0	0	  	0	0	  	0	0	  	17	12.23	  	1	0.72	  	4	2.88	  	2	1.44	  	0	0	  	0	0	  	1	0.72	  	0	0	  	0	0	  	139	99.29	  	1	0.71	  	140	0.17
Miling		                                     	5	6.02	  	1	1.2	  	9	10.84	  	0	0	  	62	74.7	  	0	0	  	0	0	  	0	0	  	0	0	  	3	3.61	  	0	0	  	0	0	  	1	1.2	  	1	1.2	  	0	0	  	1	1.2	  	0	0	  	0	0	  	83	96.51	  	3	3.49	  	86	0.11
Mingenew		                                   	40	14.98	  	2	0.75	  	13	4.87	  	2	0.75	  	145	54.31	  	0	0	  	0	0	  	0	0	  	1	0.37	  	45	16.85	  	1	0.37	  	1	0.37	  	8	3	  	0	0	  	0	0	  	8	3	  	0	0	  	1	0.37	  	267	94.68	  	15	5.32	  	282	0.35
Mogumber		                                   	16	26.67	  	0	0	  	3	5	  	0	0	  	31	51.67	  	1	1.67	  	0	0	  	0	0	  	0	0	  	7	11.67	  	0	0	  	1	1.67	  	1	1.67	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	60	96.77	  	2	3.23	  	62	0.08
