Senate -  1998 Election: Victoria																																																																									
First Preference Votes by Group																																																																									
By Polling Place																																																																									


Aston (84875)																																																																									

	   		Group Total ABR			Group Total - Unendorsed Group B			Group Total DEM			Group Total UNI			Group Total GRN			Group Total SEP			Group Total NDP			Group Total ARP			Group Total AWP			Group Total DLP			Group Total ALP			Group Total LNP			Group Total FCP			Group Total CDP			Group Total FST			Group Total HAN			Group Total NLP			Group Total ASP			Group Total DSL			Group Total CEC			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Clarkes Hill		                               	2	1.19	  	0	0	  	4	2.38	  	1	0.6	  	1	0.6	  	0	0	  	1	0.6	  	0	0	  	0	0	  	2	1.19	  	30	17.86	  	118	70.24	  	0	0	  	0	0	  	0	0	  	4	2.38	  	0	0	  	5	2.98	  	0	0	  	0	0	  	0	0	  	168	95.45	  	8	4.55	  	176	0.22
Clunes		                                     	4	0.41	  	1	0.1	  	68	7.03	  	2	0.21	  	12	1.24	  	0	0	  	0	0	  	1	0.1	  	1	0.1	  	14	1.45	  	404	41.78	  	356	36.81	  	1	0.1	  	0	0	  	0	0	  	62	6.41	  	0	0	  	40	4.14	  	1	0.1	  	0	0	  	0	0	  	967	97.19	  	28	2.81	  	995	1.26
Concongella		                                	2	0.82	  	0	0	  	15	6.17	  	0	0	  	0	0	  	0	0	  	1	0.41	  	1	0.41	  	0	0	  	1	0.41	  	55	22.63	  	155	63.79	  	0	0	  	0	0	  	1	0.41	  	7	2.88	  	0	0	  	5	2.06	  	0	0	  	0	0	  	0	0	  	243	95.67	  	11	4.33	  	254	0.32
Creswick		                                   	5	0.32	  	1	0.06	  	153	9.87	  	3	0.19	  	26	1.68	  	0	0	  	0	0	  	0	0	  	4	0.26	  	10	0.65	  	619	39.94	  	544	35.1	  	0	0	  	21	1.35	  	3	0.19	  	99	6.39	  	1	0.06	  	58	3.74	  	3	0.19	  	0	0	  	0	0	  	1550	96.69	  	53	3.31	  	1603	2.02
Creswick North		                             	1	0.24	  	0	0	  	24	5.78	  	0	0	  	7	1.69	  	0	0	  	0	0	  	0	0	  	0	0	  	4	0.96	  	209	50.36	  	111	26.75	  	0	0	  	1	0.24	  	1	0.24	  	37	8.92	  	0	0	  	17	4.1	  	3	0.72	  	0	0	  	0	0	  	415	97.65	  	10	2.35	  	425	0.54
Daylesford		                                 	11	0.56	  	2	0.1	  	233	11.81	  	5	0.25	  	106	5.37	  	0	0	  	1	0.05	  	5	0.25	  	8	0.41	  	13	0.66	  	810	41.05	  	605	30.66	  	2	0.1	  	3	0.15	  	1	0.05	  	145	7.35	  	1	0.05	  	22	1.12	  	0	0	  	0	0	  	0	0	  	1973	95.08	  	102	4.92	  	2075	2.62
Delacombe		                                  	3	0.18	  	0	0	  	130	7.86	  	2	0.12	  	14	0.85	  	0	0	  	2	0.12	  	0	0	  	3	0.18	  	12	0.73	  	643	38.9	  	706	42.71	  	4	0.24	  	10	0.6	  	1	0.06	  	78	4.72	  	0	0	  	41	2.48	  	1	0.06	  	3	0.18	  	0	0	  	1653	96.72	  	56	3.28	  	1709	2.16
Drummond		                                   	0	0	  	0	0	  	30	15.54	  	2	1.04	  	7	3.63	  	0	0	  	0	0	  	1	0.52	  	3	1.55	  	0	0	  	78	40.41	  	46	23.83	  	0	0	  	0	0	  	0	0	  	19	9.84	  	0	0	  	7	3.63	  	0	0	  	0	0	  	0	0	  	193	97.47	  	5	2.53	  	198	0.25
Elaine		                                     	0	0	  	0	0	  	18	6.79	  	0	0	  	5	1.89	  	0	0	  	0	0	  	0	0	  	0	0	  	2	0.75	  	79	29.81	  	133	50.19	  	0	0	  	0	0	  	0	0	  	25	9.43	  	0	0	  	3	1.13	  	0	0	  	0	0	  	0	0	  	265	93.97	  	17	6.03	  	282	0.36
Glenlyon		                                   	1	0.32	  	0	0	  	51	16.19	  	1	0.32	  	19	6.03	  	0	0	  	0	0	  	4	1.27	  	0	0	  	5	1.59	  	117	37.14	  	90	28.57	  	0	0	  	1	0.32	  	0	0	  	20	6.35	  	0	0	  	6	1.9	  	0	0	  	0	0	  	0	0	  	315	97.52	  	8	2.48	  	323	0.41
Glenorchy		                                  	0	0	  	0	0	  	10	6.02	  	0	0	  	2	1.2	  	0	0	  	1	0.6	  	0	0	  	0	0	  	1	0.6	  	24	14.46	  	110	66.27	  	0	0	  	0	0	  	0	0	  	11	6.63	  	0	0	  	6	3.61	  	0	0	  	1	0.6	  	0	0	  	166	96.51	  	6	3.49	  	172	0.22
Gordon		                                     	0	0	  	0	0	  	43	8.76	  	1	0.2	  	4	0.81	  	0	0	  	0	0	  	2	0.41	  	1	0.2	  	5	1.02	  	207	42.16	  	179	36.46	  	1	0.2	  	5	1.02	  	0	0	  	38	7.74	  	0	0	  	5	1.02	  	0	0	  	0	0	  	0	0	  	491	98.2	  	9	1.8	  	500	0.63
Great Western		                              	3	1	  	0	0	  	13	4.33	  	2	0.67	  	4	1.33	  	0	0	  	1	0.33	  	2	0.67	  	4	1.33	  	4	1.33	  	100	33.33	  	136	45.33	  	0	0	  	5	1.67	  	0	0	  	12	4	  	1	0.33	  	13	4.33	  	0	0	  	0	0	  	0	0	  	300	97.09	  	9	2.91	  	309	0.39
Haddon		                                     	1	0.11	  	0	0	  	48	5.27	  	3	0.33	  	18	1.98	  	0	0	  	1	0.11	  	1	0.11	  	2	0.22	  	5	0.55	  	355	38.97	  	372	40.83	  	1	0.11	  	8	0.88	  	0	0	  	57	6.26	  	1	0.11	  	37	4.06	  	1	0.11	  	0	0	  	0	0	  	911	97.12	  	27	2.88	  	938	1.18
Halls Gap		                                  	0	0	  	0	0	  	10	4.72	  	1	0.47	  	6	2.83	  	0	0	  	0	0	  	0	0	  	1	0.47	  	4	1.89	  	46	21.7	  	125	58.96	  	0	0	  	0	0	  	0	0	  	16	7.55	  	1	0.47	  	1	0.47	  	0	0	  	0	0	  	1	0.47	  	212	95.07	  	11	4.93	  	223	0.28
Hepburn Springs		                            	1	0.19	  	0	0	  	50	9.28	  	0	0	  	42	7.79	  	0	0	  	0	0	  	3	0.56	  	2	0.37	  	11	2.04	  	243	45.08	  	144	26.72	  	0	0	  	0	0	  	1	0.19	  	30	5.57	  	0	0	  	11	2.04	  	0	0	  	0	0	  	1	0.19	  	539	95.57	  	25	4.43	  	564	0.71
Landsborough		                               	0	0	  	0	0	  	15	8.47	  	0	0	  	2	1.13	  	0	0	  	0	0	  	0	0	  	0	0	  	2	1.13	  	31	17.51	  	108	61.02	  	0	0	  	0	0	  	0	0	  	16	9.04	  	0	0	  	3	1.69	  	0	0	  	0	0	  	0	0	  	177	94.65	  	10	5.35	  	187	0.24
Learmonth		                                  	0	0	  	0	0	  	23	6.28	  	1	0.27	  	5	1.37	  	0	0	  	1	0.27	  	0	0	  	0	0	  	2	0.55	  	102	27.87	  	197	53.83	  	1	0.27	  	3	0.82	  	0	0	  	17	4.64	  	1	0.27	  	12	3.28	  	1	0.27	  	0	0	  	0	0	  	366	94.82	  	20	5.18	  	386	0.49
Lexton		                                     	3	1.46	  	0	0	  	9	4.37	  	1	0.49	  	2	0.97	  	0	0	  	1	0.49	  	1	0.49	  	0	0	  	0	0	  	83	40.29	  	81	39.32	  	0	0	  	2	0.97	  	0	0	  	18	8.74	  	0	0	  	5	2.43	  	0	0	  	0	0	  	0	0	  	206	95.37	  	10	4.63	  	216	0.27
Little Bendigo		                             	0	0	  	0	0	  	7	5.11	  	0	0	  	7	5.11	  	0	0	  	0	0	  	1	0.73	  	1	0.73	  	0	0	  	68	49.64	  	43	31.39	  	0	0	  	0	0	  	0	0	  	8	5.84	  	0	0	  	2	1.46	  	0	0	  	0	0	  	0	0	  	137	99.28	  	1	0.72	  	138	0.17
Magpie		                                     	0	0	  	0	0	  	17	7.46	  	0	0	  	9	3.95	  	0	0	  	0	0	  	0	0	  	0	0	  	3	1.32	  	85	37.28	  	99	43.42	  	0	0	  	2	0.88	  	0	0	  	8	3.51	  	3	1.32	  	1	0.44	  	1	0.44	  	0	0	  	0	0	  	228	97.85	  	5	2.15	  	233	0.29
Marnoo		                                     	0	0	  	0	0	  	1	0.64	  	1	0.64	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	3	1.91	  	12	7.64	  	119	75.8	  	0	0	  	2	1.27	  	0	0	  	12	7.64	  	0	0	  	7	4.46	  	0	0	  	0	0	  	0	0	  	157	97.52	  	4	2.48	  	161	0.2
Melbourne (Ballarat)		                       	0	0	  	0	0	  	6	12.77	  	0	0	  	5	10.64	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	15	31.91	  	18	38.3	  	0	0	  	1	2.13	  	1	2.13	  	0	0	  	0	0	  	1	2.13	  	0	0	  	0	0	  	0	0	  	47	100	  	0	0	  	47	0.06
Miners Rest		                                	3	0.5	  	0	0	  	37	6.13	  	1	0.17	  	6	0.99	  	0	0	  	1	0.17	  	1	0.17	  	0	0	  	7	1.16	  	200	33.11	  	276	45.7	  	0	0	  	3	0.5	  	1	0.17	  	44	7.28	  	1	0.17	  	23	3.81	  	0	0	  	0	0	  	0	0	  	604	96.49	  	22	3.51	  	626	0.79
Moonambel		                                  	4	2.26	  	0	0	  	7	3.95	  	0	0	  	3	1.69	  	0	0	  	2	1.13	  	2	1.13	  	1	0.56	  	0	0	  	75	42.37	  	63	35.59	  	0	0	  	0	0	  	0	0	  	13	7.34	  	1	0.56	  	5	2.82	  	0	0	  	0	0	  	1	0.56	  	177	97.79	  	4	2.21	  	181	0.23
Mount Clear		                                	3	0.14	  	0	0	  	251	11.4	  	1	0.05	  	35	1.59	  	1	0.05	  	0	0	  	7	0.32	  	2	0.09	  	13	0.59	  	761	34.58	  	999	45.39	  	1	0.05	  	19	0.86	  	0	0	  	78	3.54	  	2	0.09	  	25	1.14	  	1	0.05	  	1	0.05	  	1	0.05	  	2201	97.43	  	58	2.57	  	2259	2.85
Mount Egerton		                              	3	1.36	  	0	0	  	20	9.09	  	0	0	  	4	1.82	  	0	0	  	1	0.45	  	1	0.45	  	2	0.91	  	0	0	  	109	49.55	  	50	22.73	  	0	0	  	0	0	  	0	0	  	24	10.91	  	0	0	  	6	2.73	  	0	0	  	0	0	  	0	0	  	220	96.92	  	7	3.08	  	227	0.29
Mount Pleasant		                             	1	0.05	  	0	0	  	132	7.08	  	2	0.11	  	41	2.2	  	0	0	  	1	0.05	  	1	0.05	  	7	0.38	  	22	1.18	  	878	47.08	  	634	33.99	  	1	0.05	  	19	1.02	  	2	0.11	  	83	4.45	  	2	0.11	  	33	1.77	  	3	0.16	  	2	0.11	  	1	0.05	  	1865	96.53	  	67	3.47	  	1932	2.44
Mount Wallace		                              	1	0.81	  	0	0	  	11	8.94	  	1	0.81	  	1	0.81	  	0	0	  	0	0	  	0	0	  	0	0	  	1	0.81	  	40	32.52	  	55	44.72	  	0	0	  	0	0	  	0	0	  	4	3.25	  	0	0	  	8	6.5	  	0	0	  	0	0	  	1	0.81	  	123	97.62	  	3	2.38	  	126	0.16
Napoleons		                                  	1	0.22	  	0	0	  	52	11.33	  	2	0.44	  	5	1.09	  	0	0	  	0	0	  	2	0.44	  	1	0.22	  	6	1.31	  	181	39.43	  	155	33.77	  	0	0	  	5	1.09	  	0	0	  	29	6.32	  	0	0	  	19	4.14	  	1	0.22	  	0	0	  	0	0	  	459	97.25	  	13	2.75	  	472	0.6
Natte Yallock		                              	0	0	  	0	0	  	4	5.13	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	8	10.26	  	59	75.64	  	0	0	  	1	1.28	  	1	1.28	  	3	3.85	  	0	0	  	2	2.56	  	0	0	  	0	0	  	0	0	  	78	97.5	  	2	2.5	  	80	0.1
Navarre		                                    	0	0	  	0	0	  	5	7.46	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	8	11.94	  	45	67.16	  	0	0	  	0	0	  	0	0	  	0	0	  	5	7.46	  	0	0	  	3	4.48	  	0	0	  	0	0	  	1	1.49	  	67	94.37	  	4	5.63	  	71	0.09
Newington		                                  	1	0.19	  	0	0	  	34	6.63	  	1	0.19	  	7	1.36	  	0	0	  	2	0.39	  	2	0.39	  	2	0.39	  	4	0.78	  	210	40.94	  	204	39.77	  	1	0.19	  	2	0.39	  	0	0	  	30	5.85	  	0	0	  	12	2.34	  	1	0.19	  	0	0	  	0	0	  	513	97.71	  	12	2.29	  	525	0.66
Newlyn		                                     	2	0.5	  	24	5.97	  	3	0.75	  	0	0	  	8	1.99	  	0	0	  	0	0	  	0	0	  	0	0	  	6	1.49	  	109	27.11	  	218	54.23	  	0	0	  	4	1	  	0	0	  	21	5.22	  	0	0	  	7	1.74	  	0	0	  	0	0	  	0	0	  	402	96.87	  	13	3.13	  	415	0.52
Redan		                                      	4	0.22	  	1	0.06	  	86	4.74	  	5	0.28	  	26	1.43	  	0	0	  	4	0.22	  	4	0.22	  	4	0.22	  	17	0.94	  	817	44.99	  	669	36.84	  	5	0.28	  	10	0.55	  	2	0.11	  	119	6.55	  	2	0.11	  	38	2.09	  	3	0.17	  	0	0	  	0	0	  	1816	96.8	  	60	3.2	  	1876	2.37
Redan North		                                	4	0.54	  	0	0	  	62	8.39	  	3	0.41	  	20	2.71	  	0	0	  	1	0.14	  	0	0	  	2	0.27	  	12	1.62	  	345	46.68	  	239	32.34	  	0	0	  	4	0.54	  	1	0.14	  	28	3.79	  	2	0.27	  	16	2.17	  	0	0	  	0	0	  	0	0	  	739	95.11	  	38	4.89	  	777	0.98
Ross Creek		                                 	3	0.59	  	0	0	  	39	7.62	  	0	0	  	10	1.95	  	0	0	  	2	0.39	  	0	0	  	0	0	  	4	0.78	  	161	31.45	  	236	46.09	  	0	0	  	2	0.39	  	0	0	  	41	8.01	  	0	0	  	14	2.73	  	0	0	  	0	0	  	0	0	  	512	97.71	  	12	2.29	  	524	0.66
Sebastopol		                                 	15	0.52	  	4	0.14	  	182	6.3	  	8	0.28	  	17	0.59	  	0	0	  	2	0.07	  	7	0.24	  	9	0.31	  	27	0.93	  	1352	46.78	  	977	33.81	  	4	0.14	  	19	0.66	  	7	0.24	  	173	5.99	  	1	0.03	  	86	2.98	  	0	0	  	0	0	  	0	0	  	2890	95.13	  	148	4.87	  	3038	3.84
Smeaton		                                    	0	0	  	0	0	  	15	6.05	  	0	0	  	5	2.02	  	0	0	  	0	0	  	0	0	  	0	0	  	4	1.61	  	74	29.84	  	124	50	  	1	0.4	  	4	1.61	  	0	0	  	11	4.44	  	0	0	  	10	4.03	  	0	0	  	0	0	  	0	0	  	248	94.66	  	14	5.34	  	262	0.33
Soldiers Hill		                              	10	0.65	  	0	0	  	144	9.39	  	0	0	  	33	2.15	  	2	0.13	  	1	0.07	  	0	0	  	4	0.26	  	9	0.59	  	694	45.27	  	546	35.62	  	2	0.13	  	12	0.78	  	3	0.2	  	50	3.26	  	0	0	  	20	1.3	  	2	0.13	  	1	0.07	  	0	0	  	1533	95.28	  	76	4.72	  	1609	2.03
Springbank		                                 	1	0.58	  	0	0	  	12	6.94	  	0	0	  	2	1.16	  	0	0	  	0	0	  	0	0	  	2	1.16	  	2	1.16	  	51	29.48	  	91	52.6	  	0	0	  	0	0	  	0	0	  	8	4.62	  	0	0	  	4	2.31	  	0	0	  	0	0	  	0	0	  	173	94.02	  	11	5.98	  	184	0.23
Stawell		                                    	13	0.82	  	2	0.13	  	110	6.94	  	5	0.32	  	18	1.14	  	0	0	  	4	0.25	  	2	0.13	  	6	0.38	  	24	1.52	  	578	36.49	  	653	41.22	  	6	0.38	  	7	0.44	  	1	0.06	  	90	5.68	  	0	0	  	63	3.98	  	2	0.13	  	0	0	  	0	0	  	1584	96.35	  	60	3.65	  	1644	2.08
Stawell District Hospital		                  	3	0.74	  	0	0	  	22	5.46	  	0	0	  	2	0.5	  	0	0	  	0	0	  	1	0.25	  	0	0	  	6	1.49	  	123	30.52	  	210	52.11	  	1	0.25	  	1	0.25	  	1	0.25	  	22	5.46	  	0	0	  	11	2.73	  	0	0	  	0	0	  	0	0	  	403	96.41	  	15	3.59	  	418	0.53
Stawell West		                               	5	0.27	  	2	0.11	  	103	5.48	  	7	0.37	  	15	0.8	  	1	0.05	  	1	0.05	  	7	0.37	  	7	0.37	  	18	0.96	  	700	37.25	  	786	41.83	  	3	0.16	  	7	0.37	  	4	0.21	  	119	6.33	  	3	0.16	  	90	4.79	  	1	0.05	  	0	0	  	0	0	  	1879	94.61	  	107	5.39	  	1986	2.51
Talbot		                                     	3	0.6	  	0	0	  	39	7.74	  	3	0.6	  	10	1.98	  	0	0	  	1	0.2	  	2	0.4	  	2	0.4	  	6	1.19	  	216	42.86	  	158	31.35	  	1	0.2	  	0	0	  	1	0.2	  	50	9.92	  	0	0	  	9	1.79	  	1	0.2	  	2	0.4	  	0	0	  	504	94.74	  	28	5.26	  	532	0.67
The Stockade		                               	5	0.34	  	1	0.07	  	119	8.07	  	3	0.2	  	28	1.9	  	3	0.2	  	2	0.14	  	0	0	  	4	0.27	  	16	1.09	  	675	45.79	  	516	35.01	  	3	0.2	  	13	0.88	  	2	0.14	  	58	3.93	  	2	0.14	  	22	1.49	  	0	0	  	1	0.07	  	1	0.07	  	1474	96.28	  	57	3.72	  	1531	1.93
Warrenheip		                                 	2	0.31	  	0	0	  	50	7.69	  	2	0.31	  	11	1.69	  	0	0	  	0	0	  	3	0.46	  	2	0.31	  	9	1.38	  	175	26.92	  	293	45.08	  	0	0	  	8	1.23	  	1	0.15	  	60	9.23	  	1	0.15	  	33	5.08	  	0	0	  	0	0	  	0	0	  	650	97.31	  	18	2.69	  	668	0.84
Waubra		                                     	0	0	  	0	0	  	10	4.07	  	0	0	  	2	0.81	  	0	0	  	0	0	  	1	0.41	  	1	0.41	  	1	0.41	  	85	34.55	  	126	51.22	  	1	0.41	  	1	0.41	  	1	0.41	  	12	4.88	  	0	0	  	5	2.03	  	0	0	  	0	0	  	0	0	  	246	97.62	  	6	2.38	  	252	0.32
Wendouree		                                  	7	0.33	  	1	0.05	  	146	6.93	  	4	0.19	  	21	1	  	2	0.09	  	4	0.19	  	3	0.14	  	5	0.24	  	23	1.09	  	783	37.16	  	973	46.18	  	2	0.09	  	12	0.57	  	0	0	  	83	3.94	  	1	0.05	  	37	1.76	  	0	0	  	0	0	  	0	0	  	2107	96.3	  	81	3.7	  	2188	2.76
Wendouree East		                             	4	0.29	  	0	0	  	75	5.39	  	2	0.14	  	10	0.72	  	3	0.22	  	0	0	  	4	0.29	  	8	0.58	  	18	1.29	  	563	40.47	  	604	43.42	  	3	0.22	  	7	0.5	  	2	0.14	  	54	3.88	  	1	0.07	  	33	2.37	  	0	0	  	0	0	  	0	0	  	1391	96.6	  	49	3.4	  	1440	1.82
Wendouree North		                            	10	0.37	  	3	0.11	  	213	7.81	  	3	0.11	  	33	1.21	  	3	0.11	  	1	0.04	  	1	0.04	  	18	0.66	  	15	0.55	  	1167	42.79	  	1067	39.13	  	2	0.07	  	26	0.95	  	1	0.04	  	113	4.14	  	3	0.11	  	45	1.65	  	0	0	  	1	0.04	  	2	0.07	  	2727	96.63	  	95	3.37	  	2822	3.56
Wendouree West		                             	7	0.56	  	2	0.16	  	44	3.53	  	6	0.48	  	11	0.88	  	1	0.08	  	0	0	  	6	0.48	  	4	0.32	  	19	1.52	  	792	63.56	  	241	19.34	  	1	0.08	  	16	1.28	  	3	0.24	  	71	5.7	  	0	0	  	22	1.77	  	0	0	  	0	0	  	0	0	  	1246	93.4	  	88	6.6	  	1334	1.68
Yandoit		                                    	1	0.74	  	1	0.74	  	7	5.19	  	0	0	  	5	3.7	  	0	0	  	0	0	  	0	0	  	2	1.48	  	3	2.22	  	38	28.15	  	64	47.41	  	0	0	  	0	0	  	0	0	  	8	5.93	  	0	0	  	5	3.7	  	1	0.74	  	0	0	  	0	0	  	135	96.43	  	5	3.57	  	140	0.18
Special Hospitals		                          	1	0.17	  	0	0	  	17	2.85	  	1	0.17	  	3	0.5	  	1	0.17	  	0	0	  	0	0	  	0	0	  	4	0.67	  	226	37.92	  	324	54.36	  	1	0.17	  	2	0.34	  	2	0.34	  	12	2.01	  	0	0	  	1	0.17	  	1	0.17	  	0	0	  	0	0	  	596	95.67	  	27	4.33	  	623	0.79
Total Ordinary		                             	219	0.34	  	57	0.09	  	5028	7.9	  	137	0.22	  	1090	1.71	  	21	0.03	  	68	0.11	  	116	0.18	  	203	0.32	  	565	0.89	  	25036	39.33	  	25807	40.54	  	69	0.11	  	392	0.62	  	66	0.1	  	3259	5.12	  	45	0.07	  	1407	2.21	  	50	0.08	  	17	0.03	  	12	0.02	  	63664	96.22	  	2501	3.78	  	66165	83.57
ABSENT		                                     	7	0.19	  	1	0.03	  	413	11.04	  	14	0.37	  	134	3.58	  	0	0	  	10	0.27	  	15	0.4	  	19	0.51	  	39	1.04	  	1280	34.22	  	1494	39.94	  	4	0.11	  	28	0.75	  	5	0.13	  	170	4.54	  	7	0.19	  	94	2.51	  	5	0.13	  	0	0	  	2	0.05	  	3741	98.24	  	67	1.76	  	3808	4.81
POSTAL		                                     	9	0.24	  	1	0.03	  	223	6.03	  	6	0.16	  	47	1.27	  	0	0	  	4	0.11	  	6	0.16	  	15	0.41	  	28	0.76	  	1310	35.41	  	1762	47.62	  	5	0.14	  	34	0.92	  	4	0.11	  	182	4.92	  	0	0	  	63	1.7	  	1	0.03	  	0	0	  	0	0	  	3700	99.25	  	28	0.75	  	3728	4.71
PRE_POLL		                                   	12	0.27	  	5	0.11	  	265	5.97	  	23	0.52	  	108	2.43	  	2	0.05	  	4	0.09	  	9	0.2	  	10	0.23	  	43	0.97	  	1615	36.38	  	1869	42.1	  	3	0.07	  	31	0.7	  	11	0.25	  	284	6.4	  	4	0.09	  	131	2.95	  	8	0.18	  	1	0.02	  	1	0.02	  	4439	98.21	  	81	1.79	  	4520	5.71
PROVISIONAL		                                	4	0.43	  	0	0	  	32	3.47	  	2	0.22	  	30	3.26	  	0	0	  	4	0.43	  	2	0.22	  	10	1.09	  	20	2.17	  	461	50.05	  	267	28.99	  	3	0.33	  	3	0.33	  	0	0	  	50	5.43	  	2	0.22	  	29	3.15	  	1	0.11	  	1	0.11	  	0	0	  	921	96.95	  	29	3.05	  	950	1.2
Division Summary		                           	251	0.33	  	64	0.08	  	5961	7.8	  	182	0.24	  	1409	1.84	  	23	0.03	  	90	0.12	  	148	0.19	  	257	0.34	  	695	0.91	  	29702	38.84	  	31199	40.8	  	84	0.11	  	488	0.64	  	86	0.11	  	3945	5.16	  	58	0.08	  	1724	2.25	  	65	0.09	  	19	0.02	  	15	0.02	  	76465	96.58	  	2706	3.42	  	79171	96.76


Batman (88729)																																																																									

	   		Group Total ABR			Group Total - Unendorsed Group B			Group Total DEM			Group Total UNI			Group Total GRN			Group Total SEP			Group Total NDP			Group Total ARP			Group Total AWP			Group Total DLP			Group Total ALP			Group Total LNP			Group Total FCP			Group Total CTA			Group Total FST			Group Total HAN			Group Total NLP			Group Total ASP			Group Total DSL			Group Total CEC			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Alphington		                                 	3	0.24	  	1	0.08	  	214	17.47	  	7	0.57	  	108	8.82	  	1	0.08	  	1	0.08	  	1	0.08	  	1	0.08	  	7	0.57	  	570	46.53	  	274	22.37	  	2	0.16	  	2	0.16	  	1	0.08	  	24	1.96	  	3	0.24	  	3	0.24	  	2	0.16	  	0	0	  	0	0	  	1225	96	  	51	4	  	1276	1.52
Alphington North		                           	6	0.45	  	0	0	  	140	10.58	  	10	0.76	  	75	5.67	  	0	0	  	0	0	  	4	0.3	  	2	0.15	  	22	1.66	  	735	55.56	  	293	22.15	  	0	0	  	1	0.08	  	1	0.08	  	25	1.89	  	2	0.15	  	5	0.38	  	1	0.08	  	0	0	  	1	0.08	  	1323	92.65	  	105	7.35	  	1428	1.7
Bell		                                       	3	0.17	  	0	0	  	143	7.98	  	13	0.73	  	109	6.08	  	2	0.11	  	3	0.17	  	2	0.11	  	8	0.45	  	23	1.28	  	1096	61.13	  	333	18.57	  	1	0.06	  	2	0.11	  	2	0.11	  	43	2.4	  	1	0.06	  	7	0.39	  	1	0.06	  	0	0	  	1	0.06	  	1793	90.24	  	194	9.76	  	1987	2.37
Boldrewood		                                 	9	0.5	  	1	0.06	  	117	6.54	  	28	1.57	  	35	1.96	  	1	0.06	  	1	0.06	  	1	0.06	  	0	0	  	28	1.57	  	1195	66.8	  	284	15.87	  	8	0.45	  	3	0.17	  	4	0.22	  	54	3.02	  	2	0.11	  	15	0.84	  	1	0.06	  	2	0.11	  	0	0	  	1789	94.71	  	100	5.29	  	1889	2.25
Burbank		                                    	5	0.45	  	0	0	  	52	4.68	  	7	0.63	  	7	0.63	  	0	0	  	2	0.18	  	1	0.09	  	7	0.63	  	26	2.34	  	768	69.13	  	202	18.18	  	4	0.36	  	1	0.09	  	1	0.09	  	16	1.44	  	2	0.18	  	7	0.63	  	1	0.09	  	1	0.09	  	1	0.09	  	1111	92.28	  	93	7.72	  	1204	1.44
Croxton		                                    	11	0.8	  	1	0.07	  	166	12.07	  	9	0.65	  	86	6.25	  	2	0.15	  	1	0.07	  	1	0.07	  	3	0.22	  	34	2.47	  	838	60.95	  	201	14.62	  	0	0	  	2	0.15	  	0	0	  	17	1.24	  	1	0.07	  	1	0.07	  	0	0	  	1	0.07	  	0	0	  	1375	93.92	  	89	6.08	  	1464	1.75
Faircote		                                   	5	0.67	  	1	0.13	  	50	6.72	  	6	0.81	  	16	2.15	  	0	0	  	1	0.13	  	0	0	  	4	0.54	  	10	1.34	  	457	61.42	  	155	20.83	  	7	0.94	  	0	0	  	0	0	  	17	2.28	  	2	0.27	  	11	1.48	  	0	0	  	2	0.27	  	0	0	  	744	95.51	  	35	4.49	  	779	0.93
Fairfield		                                  	7	0.35	  	1	0.05	  	299	14.79	  	14	0.69	  	170	8.41	  	3	0.15	  	1	0.05	  	1	0.05	  	8	0.4	  	27	1.34	  	1045	51.68	  	398	19.68	  	0	0	  	7	0.35	  	2	0.1	  	25	1.24	  	2	0.1	  	8	0.4	  	3	0.15	  	1	0.05	  	0	0	  	2022	94.57	  	116	5.43	  	2138	2.55
Fairfield North		                            	11	0.97	  	1	0.09	  	173	15.19	  	7	0.61	  	45	3.95	  	1	0.09	  	2	0.18	  	1	0.09	  	7	0.61	  	14	1.23	  	620	54.43	  	230	20.19	  	1	0.09	  	3	0.26	  	0	0	  	13	1.14	  	1	0.09	  	8	0.7	  	1	0.09	  	0	0	  	0	0	  	1139	93.67	  	77	6.33	  	1216	1.45
Keon Park		                                  	2	0.26	  	0	0	  	32	4.08	  	5	0.64	  	9	1.15	  	0	0	  	1	0.13	  	3	0.38	  	3	0.38	  	11	1.4	  	529	67.47	  	158	20.15	  	1	0.13	  	0	0	  	0	0	  	22	2.81	  	1	0.13	  	4	0.51	  	2	0.26	  	1	0.13	  	0	0	  	784	91.38	  	74	8.62	  	858	1.02
