Senate -  1998 Election: South Australia																																																				
First Preference Votes by Group																																																				
By Polling Place																																																				


Adelaide (82157)																																																				

	   		Group Total CDP			Group Total FST			Group Total DEM			Group Total - Unendorsed Group D			Group Total - Unendorsed Group E			Group Total LP			Group Total CEC			Group Total DSL			Group Total GRN			Group Total HAN			Group Total ALP			Group Total - Unendorsed Group L			Group Total NP			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Croydon Park West (Port Adelaide)		          	4	1.13	  	2	0.56	  	32	9.01	  	1	0.28	  	1	0.28	  	71	20	  	1	0.28	  	2	0.56	  	4	1.13	  	21	5.92	  	212	59.72	  	3	0.85	  	0	0	  	1	0.28	  	355	96.21	  	14	3.79	  	369	0.47
Ethelton		                                   	9	1.04	  	3	0.35	  	92	10.59	  	0	0	  	0	0	  	212	24.4	  	0	0	  	5	0.58	  	17	1.96	  	84	9.67	  	440	50.63	  	2	0.23	  	3	0.35	  	2	0.23	  	869	95.49	  	41	4.51	  	910	1.15
Ferryden Park		                              	8	0.67	  	19	1.6	  	70	5.9	  	1	0.08	  	1	0.08	  	134	11.3	  	2	0.17	  	2	0.17	  	19	1.6	  	124	10.46	  	800	67.45	  	5	0.42	  	1	0.08	  	0	0	  	1186	96.34	  	45	3.66	  	1231	1.56
Findon		                                     	20	1.29	  	13	0.84	  	150	9.66	  	1	0.06	  	2	0.13	  	414	26.68	  	2	0.13	  	9	0.58	  	34	2.19	  	138	8.89	  	761	49.03	  	3	0.19	  	4	0.26	  	1	0.06	  	1552	93.33	  	111	6.67	  	1663	2.11
Findon North		                               	9	0.88	  	6	0.59	  	110	10.82	  	1	0.1	  	1	0.1	  	293	28.81	  	0	0	  	9	0.88	  	25	2.46	  	84	8.26	  	476	46.8	  	2	0.2	  	1	0.1	  	0	0	  	1017	93.65	  	69	6.35	  	1086	1.38
Grange		                                     	24	0.77	  	8	0.26	  	430	13.75	  	2	0.06	  	1	0.03	  	1228	39.26	  	0	0	  	13	0.42	  	95	3.04	  	234	7.48	  	1082	34.59	  	4	0.13	  	6	0.19	  	1	0.03	  	3128	97.35	  	85	2.65	  	3213	4.07
Kilkenny		                                   	6	0.57	  	7	0.66	  	109	10.28	  	0	0	  	3	0.28	  	248	23.4	  	0	0	  	5	0.47	  	21	1.98	  	83	7.83	  	573	54.06	  	2	0.19	  	2	0.19	  	1	0.09	  	1060	96.98	  	33	3.02	  	1093	1.38
Largs Bay		                                  	10	0.34	  	18	0.61	  	393	13.25	  	2	0.07	  	0	0	  	758	25.55	  	3	0.1	  	14	0.47	  	75	2.53	  	320	10.79	  	1363	45.94	  	3	0.1	  	5	0.17	  	3	0.1	  	2967	98.02	  	60	1.98	  	3027	3.83
Largs Bay Central		                          	8	0.92	  	2	0.23	  	108	12.41	  	0	0	  	1	0.11	  	287	32.99	  	0	0	  	1	0.11	  	17	1.95	  	87	10	  	353	40.57	  	2	0.23	  	4	0.46	  	0	0	  	870	97.64	  	21	2.36	  	891	1.13
North Haven		                                	12	0.52	  	7	0.31	  	249	10.88	  	3	0.13	  	7	0.31	  	716	31.28	  	2	0.09	  	8	0.35	  	59	2.58	  	240	10.48	  	980	42.81	  	1	0.04	  	5	0.22	  	0	0	  	2289	97.7	  	54	2.3	  	2343	2.97
Ottoway		                                    	26	1.68	  	10	0.64	  	89	5.73	  	1	0.06	  	3	0.19	  	307	19.78	  	3	0.19	  	14	0.9	  	31	2	  	160	10.31	  	891	57.41	  	14	0.9	  	1	0.06	  	2	0.13	  	1552	94.52	  	90	5.48	  	1642	2.08
Pennington		                                 	20	1.26	  	8	0.5	  	113	7.09	  	3	0.19	  	1	0.06	  	255	16.01	  	3	0.19	  	7	0.44	  	30	1.88	  	145	9.1	  	989	62.08	  	14	0.88	  	3	0.19	  	2	0.13	  	1593	96.55	  	57	3.45	  	1650	2.09
Port Adelaide		                              	0	0	  	4	0.76	  	46	8.71	  	0	0	  	0	0	  	105	19.89	  	0	0	  	6	1.14	  	13	2.46	  	65	12.31	  	287	54.36	  	1	0.19	  	1	0.19	  	0	0	  	528	97.6	  	13	2.4	  	541	0.69
Queenstown		                                 	21	1.31	  	10	0.62	  	146	9.11	  	0	0	  	1	0.06	  	337	21.02	  	1	0.06	  	6	0.37	  	43	2.68	  	179	11.17	  	853	53.21	  	2	0.12	  	4	0.25	  	0	0	  	1603	96.16	  	64	3.84	  	1667	2.11
Rosewater		                                  	36	1.82	  	10	0.51	  	200	10.11	  	2	0.1	  	3	0.15	  	373	18.86	  	2	0.1	  	13	0.66	  	43	2.17	  	226	11.43	  	1061	53.64	  	5	0.25	  	4	0.2	  	0	0	  	1978	95.65	  	90	4.35	  	2068	2.62
Royal Park		                                 	27	1.4	  	11	0.57	  	162	8.42	  	1	0.05	  	1	0.05	  	595	30.93	  	1	0.05	  	12	0.62	  	33	1.72	  	158	8.21	  	917	47.66	  	3	0.16	  	3	0.16	  	0	0	  	1924	94.59	  	110	5.41	  	2034	2.58
Royal Park South		                           	16	0.9	  	13	0.73	  	148	8.31	  	2	0.11	  	0	0	  	564	31.67	  	2	0.11	  	13	0.73	  	36	2.02	  	148	8.31	  	834	46.83	  	0	0	  	5	0.28	  	0	0	  	1781	95.19	  	90	4.81	  	1871	2.37
Seaton		                                     	11	0.54	  	16	0.78	  	229	11.23	  	0	0	  	1	0.05	  	656	32.17	  	0	0	  	8	0.39	  	34	1.67	  	214	10.5	  	864	42.37	  	3	0.15	  	3	0.15	  	0	0	  	2039	94.75	  	113	5.25	  	2152	2.73
Seaton Park		                                	27	1.17	  	5	0.22	  	209	9.09	  	2	0.09	  	1	0.04	  	663	28.84	  	1	0.04	  	10	0.43	  	38	1.65	  	202	8.79	  	1135	49.37	  	2	0.09	  	3	0.13	  	1	0.04	  	2299	94.84	  	125	5.16	  	2424	3.07
Seaton West		                                	15	1.29	  	6	0.52	  	136	11.7	  	0	0	  	4	0.34	  	472	40.62	  	0	0	  	7	0.6	  	25	2.15	  	76	6.54	  	420	36.14	  	0	0	  	1	0.09	  	0	0	  	1162	97.24	  	33	2.76	  	1195	1.51
Semaphore		                                  	20	1.12	  	11	0.62	  	290	16.29	  	2	0.11	  	1	0.06	  	480	26.97	  	2	0.11	  	24	1.35	  	68	3.82	  	129	7.25	  	744	41.8	  	3	0.17	  	6	0.34	  	0	0	  	1780	96.32	  	68	3.68	  	1848	2.34
Semaphore Park		                             	8	0.65	  	13	1.06	  	156	12.66	  	0	0	  	1	0.08	  	341	27.68	  	2	0.16	  	5	0.41	  	21	1.7	  	117	9.5	  	562	45.62	  	3	0.24	  	2	0.16	  	1	0.08	  	1232	95.88	  	53	4.12	  	1285	1.63
Semaphore Park South		                       	9	0.77	  	8	0.69	  	124	10.64	  	1	0.09	  	4	0.34	  	248	21.29	  	0	0	  	2	0.17	  	19	1.63	  	133	11.42	  	612	52.53	  	1	0.09	  	3	0.26	  	1	0.09	  	1165	96.04	  	48	3.96	  	1213	1.54
Semaphore South		                            	12	1.1	  	5	0.46	  	148	13.6	  	0	0	  	0	0	  	326	29.96	  	0	0	  	5	0.46	  	19	1.75	  	119	10.94	  	451	41.45	  	1	0.09	  	2	0.18	  	0	0	  	1088	95.44	  	52	4.56	  	1140	1.44
Taperoo		                                    	18	0.72	  	15	0.6	  	236	9.48	  	0	0	  	5	0.2	  	546	21.93	  	1	0.04	  	18	0.72	  	49	1.97	  	338	13.57	  	1257	50.48	  	3	0.12	  	4	0.16	  	0	0	  	2490	97.11	  	74	2.89	  	2564	3.25
Taperoo East		                               	12	0.97	  	11	0.89	  	75	6.06	  	0	0	  	4	0.32	  	158	12.76	  	0	0	  	4	0.32	  	26	2.1	  	167	13.49	  	777	62.76	  	1	0.08	  	2	0.16	  	1	0.08	  	1238	95.45	  	59	4.55	  	1297	1.64
West Croydon (Port Adelaide)		               	11	1.2	  	4	0.43	  	107	11.63	  	0	0	  	2	0.22	  	240	26.09	  	0	0	  	5	0.54	  	27	2.93	  	74	8.04	  	446	48.48	  	4	0.43	  	0	0	  	0	0	  	920	94.65	  	52	5.35	  	972	1.23
West Lakes Shore		                           	16	0.37	  	16	0.37	  	451	10.53	  	2	0.05	  	9	0.21	  	2226	51.99	  	2	0.05	  	12	0.28	  	57	1.33	  	334	7.8	  	1150	26.86	  	4	0.09	  	1	0.02	  	2	0.05	  	4282	97.67	  	102	2.33	  	4384	5.55
Woodville		                                  	12	0.77	  	5	0.32	  	211	13.51	  	2	0.13	  	5	0.32	  	518	33.16	  	4	0.26	  	9	0.58	  	37	2.37	  	118	7.55	  	634	40.59	  	4	0.26	  	3	0.19	  	0	0	  	1562	95.48	  	74	4.52	  	1636	2.07
Woodville Gardens		                          	27	1.15	  	19	0.81	  	133	5.67	  	2	0.09	  	3	0.13	  	237	10.11	  	3	0.13	  	12	0.51	  	47	2	  	184	7.85	  	1657	70.66	  	19	0.81	  	2	0.09	  	0	0	  	2345	94.48	  	137	5.52	  	2482	3.14
Woodville North		                            	16	1.31	  	4	0.33	  	108	8.85	  	1	0.08	  	1	0.08	  	318	26.07	  	2	0.16	  	8	0.66	  	28	2.3	  	143	11.72	  	579	47.46	  	7	0.57	  	5	0.41	  	0	0	  	1220	94.06	  	77	5.94	  	1297	1.64
Woodville South		                            	15	0.9	  	4	0.24	  	194	11.58	  	0	0	  	1	0.06	  	544	32.48	  	1	0.06	  	2	0.12	  	31	1.85	  	152	9.07	  	721	43.04	  	3	0.18	  	4	0.24	  	3	0.18	  	1675	95.44	  	80	4.56	  	1755	2.22
Woodville West		                             	20	1.17	  	10	0.59	  	171	10.03	  	0	0	  	5	0.29	  	503	29.5	  	1	0.06	  	11	0.65	  	27	1.58	  	171	10.03	  	781	45.81	  	1	0.06	  	2	0.12	  	2	0.12	  	1705	94.67	  	96	5.33	  	1801	2.28
Special Hospitals		                          	5	1.35	  	2	0.54	  	12	3.23	  	1	0.27	  	0	0	  	127	34.23	  	0	0	  	1	0.27	  	4	1.08	  	27	7.28	  	190	51.21	  	0	0	  	2	0.54	  	0	0	  	371	96.36	  	14	3.64	  	385	0.49
Total Ordinary		                             	596	0.95	  	371	0.59	  	6386	10.19	  	38	0.06	  	80	0.13	  	17111	27.3	  	47	0.07	  	342	0.55	  	1331	2.12	  	5984	9.55	  	30103	48.02	  	149	0.24	  	113	0.18	  	31	0.05	  	62682	95.98	  	2626	4.02	  	65308	82.72
ABSENT		                                     	50	1.02	  	26	0.53	  	584	11.93	  	4	0.08	  	4	0.08	  	1463	29.88	  	6	0.12	  	25	0.51	  	178	3.64	  	534	10.91	  	1997	40.79	  	5	0.1	  	15	0.31	  	5	0.1	  	4896	97.61	  	120	2.39	  	5016	6.35
POSTAL		                                     	33	0.78	  	20	0.47	  	378	8.9	  	3	0.07	  	3	0.07	  	1264	29.78	  	6	0.14	  	9	0.21	  	78	1.84	  	424	9.99	  	2004	47.21	  	6	0.14	  	13	0.31	  	4	0.09	  	4245	99.28	  	31	0.72	  	4276	5.42
PRE_POLL		                                   	35	1.04	  	16	0.47	  	373	11.06	  	0	0	  	10	0.3	  	1008	29.9	  	4	0.12	  	11	0.33	  	100	2.97	  	350	10.38	  	1449	42.98	  	6	0.18	  	5	0.15	  	4	0.12	  	3371	99	  	34	1	  	3405	4.31
PROVISIONAL		                                	12	1.32	  	4	0.44	  	79	8.66	  	0	0	  	1	0.11	  	161	17.65	  	1	0.11	  	5	0.55	  	36	3.95	  	86	9.43	  	522	57.24	  	2	0.22	  	2	0.22	  	1	0.11	  	912	96.41	  	34	3.59	  	946	1.2
Division Summary		                           	726	0.95	  	437	0.57	  	7800	10.25	  	45	0.06	  	98	0.13	  	21007	27.6	  	64	0.08	  	392	0.52	  	1723	2.26	  	7378	9.69	  	36075	47.4	  	168	0.22	  	148	0.19	  	45	0.06	  	76106	96.4	  	2845	3.6	  	78951	95.99


Sturt (79823)																																																				

	   		Group Total CDP			Group Total FST			Group Total DEM			Group Total - Unendorsed Group D			Group Total - Unendorsed Group E			Group Total LP			Group Total CEC			Group Total DSL			Group Total GRN			Group Total HAN			Group Total ALP			Group Total - Unendorsed Group L			Group Total NP			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Adelaide (Sturt)		                           	2	1.87	  	0	0	  	14	13.08	  	0	0	  	0	0	  	35	32.71	  	0	0	  	0	0	  	4	3.74	  	5	4.67	  	46	42.99	  	1	0.93	  	0	0	  	0	0	  	107	98.17	  	2	1.83	  	109	0.14
Beaumont		                                   	3	0.15	  	2	0.1	  	253	12.49	  	0	0	  	7	0.35	  	1396	68.94	  	0	0	  	6	0.3	  	29	1.43	  	64	3.16	  	252	12.44	  	11	0.54	  	1	0.05	  	1	0.05	  	2025	98.25	  	36	1.75	  	2061	2.7
Beulah Park		                                	7	0.5	  	4	0.29	  	271	19.5	  	1	0.07	  	3	0.22	  	550	39.57	  	2	0.14	  	5	0.36	  	35	2.52	  	53	3.81	  	445	32.01	  	7	0.5	  	7	0.5	  	0	0	  	1390	96.73	  	47	3.27	  	1437	1.88
Burnside		                                   	10	0.31	  	6	0.19	  	437	13.58	  	3	0.09	  	5	0.16	  	2060	64.01	  	1	0.03	  	16	0.5	  	61	1.9	  	118	3.67	  	472	14.67	  	24	0.75	  	5	0.16	  	0	0	  	3218	97.63	  	78	2.37	  	3296	4.31
Campbelltown		                               	35	1.37	  	12	0.47	  	315	12.37	  	3	0.12	  	6	0.24	  	903	35.45	  	2	0.08	  	13	0.51	  	60	2.36	  	200	7.85	  	987	38.75	  	6	0.24	  	5	0.2	  	0	0	  	2547	94.75	  	141	5.25	  	2688	3.52
Felixstow		                                  	10	1.34	  	4	0.54	  	96	12.85	  	1	0.13	  	2	0.27	  	262	35.07	  	0	0	  	3	0.4	  	14	1.87	  	36	4.82	  	313	41.9	  	4	0.54	  	2	0.27	  	0	0	  	747	95.52	  	35	4.48	  	782	1.02
Gilles Plains		                              	6	1.45	  	1	0.24	  	66	15.98	  	0	0	  	1	0.24	  	152	36.8	  	0	0	  	4	0.97	  	5	1.21	  	51	12.35	  	125	30.27	  	1	0.24	  	0	0	  	1	0.24	  	413	96.27	  	16	3.73	  	429	0.56
Gilles Plains East		                         	10	0.72	  	15	1.08	  	167	12.01	  	2	0.14	  	1	0.07	  	377	27.12	  	0	0	  	6	0.43	  	25	1.8	  	170	12.23	  	609	43.81	  	1	0.07	  	5	0.36	  	2	0.14	  	1390	94.75	  	77	5.25	  	1467	1.92
Glen Osmond		                                	3	0.39	  	1	0.13	  	111	14.57	  	0	0	  	1	0.13	  	494	64.83	  	0	0	  	0	0	  	11	1.44	  	23	3.02	  	113	14.83	  	1	0.13	  	3	0.39	  	1	0.13	  	762	97.69	  	18	2.31	  	780	1.02
Glenunga		                                   	4	0.45	  	1	0.11	  	146	16.37	  	0	0	  	3	0.34	  	541	60.65	  	0	0	  	3	0.34	  	19	2.13	  	33	3.7	  	142	15.92	  	0	0	  	0	0	  	0	0	  	892	97.38	  	24	2.62	  	916	1.2
Glenunga North		                             	8	0.52	  	4	0.26	  	226	14.59	  	0	0	  	0	0	  	866	55.91	  	0	0	  	5	0.32	  	33	2.13	  	74	4.78	  	325	20.98	  	2	0.13	  	3	0.19	  	3	0.19	  	1549	97.42	  	41	2.58	  	1590	2.08
Glynde		                                     	23	1.51	  	11	0.72	  	210	13.81	  	1	0.07	  	4	0.26	  	595	39.12	  	4	0.26	  	3	0.2	  	20	1.31	  	96	6.31	  	550	36.16	  	2	0.13	  	1	0.07	  	1	0.07	  	1521	94.47	  	89	5.53	  	1610	2.11
Greenacres		                                 	16	1.19	  	17	1.26	  	175	12.96	  	0	0	  	1	0.07	  	408	30.22	  	0	0	  	3	0.22	  	37	2.74	  	159	11.78	  	531	39.33	  	1	0.07	  	1	0.07	  	1	0.07	  	1350	95.54	  	63	4.46	  	1413	1.85
Hampstead Gardens		                          	5	0.57	  	9	1.03	  	117	13.33	  	0	0	  	0	0	  	319	36.33	  	0	0	  	3	0.34	  	12	1.37	  	84	9.57	  	327	37.24	  	1	0.11	  	1	0.11	  	0	0	  	878	96.91	  	28	3.09	  	906	1.19
Hectorville North		                          	25	1.19	  	12	0.57	  	224	10.69	  	2	0.1	  	2	0.1	  	756	36.09	  	4	0.19	  	12	0.57	  	33	1.58	  	112	5.35	  	906	43.25	  	2	0.1	  	5	0.24	  	0	0	  	2095	93.78	  	139	6.22	  	2234	2.92
Hillcrest		                                  	23	1.24	  	21	1.13	  	250	13.43	  	3	0.16	  	1	0.05	  	573	30.77	  	0	0	  	13	0.7	  	32	1.72	  	179	9.61	  	755	40.55	  	4	0.21	  	3	0.16	  	5	0.27	  	1862	96.58	  	66	3.42	  	1928	2.52
Holden Hill (Sturt)		                        	26	1.8	  	14	0.97	  	161	11.17	  	0	0	  	0	0	  	377	26.14	  	1	0.07	  	11	0.76	  	32	2.22	  	172	11.93	  	645	44.73	  	2	0.14	  	1	0.07	  	0	0	  	1442	96.45	  	53	3.55	  	1495	1.96
Kensington Gardens		                         	5	0.34	  	3	0.2	  	204	13.9	  	0	0	  	0	0	  	883	60.15	  	0	0	  	2	0.14	  	23	1.57	  	52	3.54	  	281	19.14	  	12	0.82	  	2	0.14	  	1	0.07	  	1468	97.54	  	37	2.46	  	1505	1.97
Kensington Park		                            	4	0.37	  	4	0.37	  	207	18.99	  	4	0.37	  	3	0.28	  	575	52.75	  	0	0	  	4	0.37	  	21	1.93	  	35	3.21	  	223	20.46	  	8	0.73	  	1	0.09	  	1	0.09	  	1090	97.58	  	27	2.42	  	1117	1.46
Kent Town		                                  	4	0.75	  	2	0.38	  	115	21.66	  	1	0.19	  	0	0	  	220	41.43	  	0	0	  	1	0.19	  	22	4.14	  	21	3.95	  	144	27.12	  	0	0	  	1	0.19	  	0	0	  	531	97.25	  	15	2.75	  	546	0.71
Klemzig		                                    	22	0.95	  	6	0.26	  	277	11.99	  	2	0.09	  	3	0.13	  	760	32.89	  	1	0.04	  	12	0.52	  	50	2.16	  	206	8.91	  	950	41.11	  	8	0.35	  	11	0.48	  	3	0.13	  	2311	95.54	  	108	4.46	  	2419	3.17
Linden Park		                                	5	0.39	  	3	0.24	  	196	15.46	  	0	0	  	3	0.24	  	787	62.07	  	1	0.08	  	4	0.32	  	14	1.1	  	38	3	  	202	15.93	  	12	0.95	  	3	0.24	  	0	0	  	1268	98.07	  	25	1.93	  	1293	1.69
Magill (Sturt)		                             	17	0.77	  	6	0.27	  	342	15.55	  	0	0	  	1	0.05	  	1059	48.16	  	0	0	  	6	0.27	  	45	2.05	  	121	5.5	  	580	26.38	  	19	0.86	  	2	0.09	  	1	0.05	  	2199	95.82	  	96	4.18	  	2295	3
Magill North		                               	17	0.91	  	5	0.27	  	228	12.26	  	3	0.16	  	4	0.22	  	680	36.56	  	2	0.11	  	14	0.75	  	42	2.26	  	148	7.96	  	707	38.01	  	4	0.22	  	6	0.32	  	0	0	  	1860	94.8	  	102	5.2	  	1962	2.57
Marden		                                     	4	1.07	  	3	0.8	  	64	17.16	  	0	0	  	2	0.54	  	132	35.39	  	0	0	  	4	1.07	  	14	3.75	  	35	9.38	  	115	30.83	  	0	0	  	0	0	  	0	0	  	373	96.63	  	13	3.37	  	386	0.51
Marden West (Sturt)		                        	15	0.81	  	7	0.38	  	263	14.28	  	3	0.16	  	7	0.38	  	689	37.4	  	1	0.05	  	9	0.49	  	45	2.44	  	114	6.19	  	677	36.75	  	8	0.43	  	4	0.22	  	0	0	  	1842	93.98	  	118	6.02	  	1960	2.57
Marryatville		                               	5	0.61	  	1	0.12	  	155	18.97	  	0	0	  	1	0.12	  	416	50.92	  	0	0	  	1	0.12	  	17	2.08	  	32	3.92	  	186	22.77	  	2	0.24	  	1	0.12	  	0	0	  	817	97.26	  	23	2.74	  	840	1.1
Maylands		                                   	13	0.87	  	4	0.27	  	255	17	  	3	0.2	  	1	0.07	  	559	37.27	  	1	0.07	  	5	0.33	  	53	3.53	  	57	3.8	  	539	35.93	  	7	0.47	  	3	0.2	  	0	0	  	1500	95.79	  	66	4.21	  	1566	2.05
Northfield		                                 	10	1.24	  	10	1.24	  	81	10.07	  	1	0.12	  	2	0.25	  	160	19.9	  	0	0	  	7	0.87	  	15	1.87	  	99	12.31	  	419	52.11	  	0	0	  	0	0	  	0	0	  	804	95.94	  	34	4.06	  	838	1.1
Northfield South (Sturt)		                   	4	0.93	  	1	0.23	  	46	10.65	  	0	0	  	0	0	  	123	28.47	  	0	0	  	1	0.23	  	15	3.47	  	43	9.95	  	197	45.6	  	1	0.23	  	1	0.23	  	0	0	  	432	96.43	  	16	3.57	  	448	0.59
Norwood		                                    	13	0.71	  	0	0	  	334	18.12	  	1	0.05	  	2	0.11	  	756	41.02	  	2	0.11	  	9	0.49	  	66	3.58	  	44	2.39	  	606	32.88	  	4	0.22	  	4	0.22	  	2	0.11	  	1843	96.44	  	68	3.56	  	1911	2.5
Norwood West		                               	8	0.49	  	3	0.18	  	298	18.22	  	2	0.12	  	1	0.06	  	701	42.85	  	1	0.06	  	14	0.86	  	63	3.85	  	50	3.06	  	485	29.65	  	5	0.31	  	3	0.18	  	2	0.12	  	1636	96.92	  	52	3.08	  	1688	2.21
Parkside East (Sturt)		                      	0	0	  	0	0	  	28	16.57	  	0	0	  	0	0	  	79	46.75	  	0	0	  	1	0.59	  	6	3.55	  	2	1.18	  	52	30.77	  	0	0	  	1	0.59	  	0	0	  	169	98.26	  	3	1.74	  	172	0.23
Rose Park		                                  	1	0.18	  	0	0	  	87	15.79	  	0	0	  	0	0	  	306	55.54	  	0	0	  	3	0.54	  	9	1.63	  	21	3.81	  	121	21.96	  	2	0.36	  	1	0.18	  	0	0	  	551	97.35	  	15	2.65	  	566	0.74
St Morris		                                  	17	1.37	  	9	0.72	  	186	14.98	  	1	0.08	  	0	0	  	476	38.33	  	4	0.32	  	9	0.72	  	24	1.93	  	84	6.76	  	426	34.3	  	4	0.32	  	1	0.08	  	1	0.08	  	1242	96.58	  	44	3.42	  	1286	1.68
Stonyfell		                                  	4	0.23	  	2	0.11	  	245	14.07	  	2	0.11	  	2	0.11	  	1167	67.03	  	0	0	  	5	0.29	  	20	1.15	  	62	3.56	  	223	12.81	  	7	0.4	  	1	0.06	  	1	0.06	  	1741	98.81	  	21	1.19	  	1762	2.31
Toorak Gardens		                             	5	0.28	  	5	0.28	  	320	18.05	  	1	0.06	  	2	0.11	  	1049	59.17	  	0	0	  	5	0.28	  	35	1.97	  	40	2.26	  	300	16.92	  	8	0.45	  	2	0.11	  	1	0.06	  	1773	98.55	  	26	1.45	  	1799	2.35
Tranmere		                                   	10	0.72	  	2	0.14	  	223	15.95	  	0	0	  	0	0	  	655	46.85	  	0	0	  	4	0.29	  	31	2.22	  	70	5.01	  	395	28.25	  	4	0.29	  	3	0.21	  	1	0.07	  	1398	96.95	  	44	3.05	  	1442	1.89
Trinity Gardens		                            	9	0.53	  	8	0.47	  	255	15.04	  	0	0	  	1	0.06	  	648	38.23	  	0	0	  	12	0.71	  	46	2.71	  	81	4.78	  	625	36.87	  	6	0.35	  	3	0.18	  	1	0.06	  	1695	95.49	  	80	4.51	  	1775	2.32
Tusmore		                                    	5	0.28	  	3	0.17	  	324	17.95	  	2	0.11	  	4	0.22	  	1077	59.67	  	4	0.22	  	7	0.39	  	32	1.77	  	69	3.82	  	267	14.79	  	8	0.44	  	1	0.06	  	2	0.11	  	1805	97.62	  	44	2.38	  	1849	2.42
Vale Park		                                  	5	0.28	  	10	0.57	  	276	15.7	  	0	0	  	0	0	  	882	50.17	  	0	0	  	12	0.68	  	29	1.65	  	97	5.52	  	441	25.09	  	3	0.17	  	1	0.06	  	2	0.11	  	1758	96.28	  	68	3.72	  	1826	2.39
Windsor Gardens East		                       	8	1.15	  	5	0.72	  	107	15.4	  	0	0	  	1	0.14	  	185	26.62	  	0	0	  	4	0.58	  	15	2.16	  	82	11.8	  	287	41.29	  	0	0	  	1	0.14	  	0	0	  	695	94.3	  	42	5.7	  	737	0.96
Windsor Gardens West		                       	16	1.39	  	4	0.35	  	145	12.59	  	0	0	  	6	0.52	  	350	30.38	  	0	0	  	7	0.61	  	29	2.52	  	135	11.72	  	457	39.67	  	0	0	  	2	0.17	  	1	0.09	  	1152	95.84	  	50	4.16	  	1202	1.57
Special Hospitals		                          	11	1.88	  	2	0.34	  	35	5.99	  	0	0	  	1	0.17	  	378	64.73	  	1	0.17	  	3	0.51	  	2	0.34	  	17	2.91	  	130	22.26	  	0	0	  	4	0.68	  	0	0	  	584	97.01	  	18	2.99	  	602	0.79
Total Ordinary		                             	453	0.77	  	242	0.41	  	8535	14.53	  	42	0.07	  	84	0.14	  	26416	44.98	  	32	0.05	  	271	0.46	  	1245	2.12	  	3484	5.93	  	17578	29.93	  	202	0.34	  	106	0.18	  	35	0.06	  	58725	96.38	  	2208	3.62	  	60933	79.76
ABSENT		                                     	43	0.78	  	30	0.54	  	891	16.16	  	1	0.02	  	8	0.15	  	2439	44.25	  	1	0.02	  	33	0.6	  	225	4.08	  	331	6.01	  	1483	26.9	  	12	0.22	  	10	0.18	  	5	0.09	  	5512	98.18	  	102	1.82	  	5614	7.35
POSTAL		                                     	38	0.85	  	8	0.18	  	527	11.82	  	4	0.09	  	7	0.16	  	2309	51.77	  	2	0.04	  	11	0.25	  	66	1.48	  	306	6.86	  	1146	25.7	  	22	0.49	  	13	0.29	  	1	0.02	  	4460	99.07	  	42	0.93	  	4502	5.89
PRE_POLL		                                   	52	1.13	  	9	0.2	  	663	14.43	  	0	0	  	4	0.09	  	2258	49.15	  	2	0.04	  	16	0.35	  	150	3.27	  	205	4.46	  	1203	26.19	  	16	0.35	  	13	0.28	  	3	0.07	  	4594	98.5	  	70	1.5	  	4664	6.11
PROVISIONAL		                                	4	0.61	  	4	0.61	  	104	15.83	  	1	0.15	  	1	0.15	  	240	36.53	  	0	0	  	3	0.46	  	36	5.48	  	37	5.63	  	224	34.09	  	3	0.46	  	0	0	  	0	0	  	657	96.62	  	23	3.38	  	680	0.89
Division Summary		                           	590	0.8	  	293	0.4	  	10720	14.5	  	48	0.06	  	104	0.14	  	33662	45.52	  	37	0.05	  	334	0.45	  	1722	2.33	  	4363	5.9	  	21634	29.26	  	255	0.34	  	142	0.19	  	44	0.06	  	73948	96.8	  	2445	3.2	  	76393	95.7


Wakefield (88650)																																																				

	   		Group Total CDP			Group Total FST			Group Total DEM			Group Total - Unendorsed Group D			Group Total - Unendorsed Group E			Group Total LP			Group Total CEC			Group Total DSL			Group Total GRN			Group Total HAN			Group Total ALP			Group Total - Unendorsed Group L			Group Total NP			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Alford		                                     	0	0	  	0	0	  	11	7.75	  	0	0	  	0	0	  	81	57.04	  	0	0	  	0	0	  	0	0	  	28	19.72	  	18	12.68	  	1	0.7	  	3	2.11	  	0	0	  	142	97.93	  	3	2.07	  	145	0.17
