Senate - 1993 Election: South Australia																																																	
First Preference Votes by Group																																																	
By Polling Place																																																	


Adelaide (85484)																																																	

	   		Group Total RPA			Group Total GSA			Group Total NP			Group Total CTA			Group Total ALP			Group Total - Unendorsed Group F			Group Total DEM			Group Total NLP			Group Total EFF			Group Total GRY			Group Total AFI			Group Total LP			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Ingle Farm North		                           	3	0.23	 	23	1.75	 	5	0.38	 	24	1.83	 	722	54.9	 	2	0.15	 	150	11.41	 	2	0.15	 	5	0.38	 	5	0.38	 	7	0.53	 	366	27.83	 	1	0.08	 	1315	98.43	 	21	1.57	 	1336	1.63
Modbury Central		                            	5	0.21	 	35	1.48	 	1	0.04	 	37	1.57	 	985	41.67	 	2	0.08	 	267	11.29	 	17	0.72	 	14	0.59	 	12	0.51	 	5	0.21	 	984	41.62	 	0	0	 	2364	98.21	 	43	1.79	 	2407	2.94
Modbury Heights		                            	12	0.33	 	43	1.18	 	3	0.08	 	56	1.53	 	1512	41.33	 	8	0.22	 	392	10.72	 	19	0.52	 	15	0.41	 	13	0.36	 	12	0.33	 	1572	42.97	 	1	0.03	 	3658	98.49	 	56	1.51	 	3714	4.53
Modbury North		                              	12	0.49	 	38	1.55	 	4	0.16	 	36	1.46	 	977	39.73	 	8	0.33	 	240	9.76	 	15	0.61	 	19	0.77	 	14	0.57	 	10	0.41	 	1085	44.12	 	1	0.04	 	2459	98.24	 	44	1.76	 	2503	3.05
Modbury West		                               	11	0.29	 	57	1.52	 	3	0.08	 	56	1.49	 	1604	42.68	 	7	0.19	 	409	10.88	 	16	0.43	 	22	0.59	 	19	0.51	 	10	0.27	 	1542	41.03	 	2	0.05	 	3758	97.89	 	81	2.11	 	3839	4.68
Para Hills		                                 	10	0.24	 	63	1.52	 	11	0.27	 	73	1.76	 	1861	44.92	 	11	0.27	 	445	10.74	 	31	0.75	 	31	0.75	 	41	0.99	 	20	0.48	 	1545	37.29	 	1	0.02	 	4143	97.3	 	115	2.7	 	4258	5.2
Para Hills East		                            	3	0.18	 	25	1.48	 	6	0.35	 	19	1.12	 	650	38.44	 	2	0.12	 	210	12.42	 	11	0.65	 	10	0.59	 	7	0.41	 	13	0.77	 	734	43.41	 	1	0.06	 	1691	98.43	 	27	1.57	 	1718	2.1
Para Hills West		                            	8	0.38	 	34	1.62	 	8	0.38	 	24	1.14	 	1002	47.76	 	8	0.38	 	212	10.1	 	18	0.86	 	5	0.24	 	21	1	 	14	0.67	 	744	35.46	 	0	0	 	2098	97.81	 	47	2.19	 	2145	2.62
Para Vista		                                 	13	0.45	 	54	1.89	 	1	0.03	 	41	1.43	 	1304	45.53	 	8	0.28	 	306	10.68	 	20	0.7	 	12	0.42	 	16	0.56	 	19	0.66	 	1068	37.29	 	2	0.07	 	2864	97.98	 	59	2.02	 	2923	3.57
Pooraka		                                    	14	0.4	 	31	0.89	 	6	0.17	 	29	0.84	 	1869	53.82	 	12	0.35	 	307	8.84	 	19	0.55	 	13	0.37	 	24	0.69	 	14	0.4	 	1135	32.68	 	0	0	 	3473	96.88	 	112	3.12	 	3585	4.37
Redwood Park		                               	4	0.18	 	33	1.47	 	6	0.27	 	23	1.03	 	869	38.79	 	6	0.27	 	184	8.21	 	15	0.67	 	9	0.4	 	11	0.49	 	5	0.22	 	1074	47.95	 	1	0.04	 	2240	98.12	 	43	1.88	 	2283	2.79
Ridgehaven		                                 	7	0.18	 	52	1.31	 	3	0.08	 	68	1.71	 	1561	39.19	 	7	0.18	 	471	11.83	 	21	0.53	 	28	0.7	 	15	0.38	 	15	0.38	 	1734	43.54	 	1	0.03	 	3983	98.27	 	70	1.73	 	4053	4.95
St Agnes		                                   	11	0.35	 	31	0.98	 	4	0.13	 	49	1.55	 	1085	34.38	 	13	0.41	 	367	11.63	 	30	0.95	 	17	0.54	 	10	0.32	 	8	0.25	 	1528	48.42	 	3	0.1	 	3156	98.56	 	46	1.44	 	3202	3.91
St Agnes West		                              	5	0.35	 	16	1.1	 	6	0.41	 	17	1.17	 	556	38.4	 	1	0.07	 	164	11.33	 	10	0.69	 	7	0.48	 	8	0.55	 	6	0.41	 	651	44.96	 	1	0.07	 	1448	98.7	 	19	1.3	 	1467	1.79
Salisbury East		                             	10	0.39	 	41	1.58	 	5	0.19	 	37	1.43	 	1241	47.97	 	6	0.23	 	289	11.17	 	23	0.89	 	11	0.43	 	10	0.39	 	7	0.27	 	906	35.02	 	1	0.04	 	2587	98.1	 	50	1.9	 	2637	3.22
Salisbury East Central		                     	9	0.27	 	39	1.18	 	6	0.18	 	62	1.88	 	1522	46.04	 	12	0.36	 	323	9.77	 	16	0.48	 	16	0.48	 	13	0.39	 	7	0.21	 	1281	38.75	 	0	0	 	3306	98.25	 	59	1.75	 	3365	4.11
Salisbury Heights		                          	3	0.13	 	32	1.42	 	3	0.13	 	33	1.47	 	844	37.48	 	6	0.27	 	229	10.17	 	11	0.49	 	8	0.36	 	10	0.44	 	3	0.13	 	1068	47.42	 	2	0.09	 	2252	98.56	 	33	1.44	 	2285	2.79
Surrey Downs		                               	6	0.21	 	32	1.14	 	4	0.14	 	34	1.21	 	1101	39.2	 	7	0.25	 	315	11.21	 	13	0.46	 	26	0.93	 	16	0.57	 	11	0.39	 	1243	44.25	 	1	0.04	 	2809	98.6	 	40	1.4	 	2849	3.48
Tea Tree Gully		                             	7	0.48	 	17	1.17	 	3	0.21	 	32	2.21	 	458	31.61	 	3	0.21	 	163	11.25	 	9	0.62	 	10	0.69	 	13	0.9	 	5	0.35	 	729	50.31	 	0	0	 	1449	99.31	 	10	0.69	 	1459	1.78
Valley View		                                	7	0.51	 	19	1.38	 	1	0.07	 	21	1.52	 	625	45.36	 	1	0.07	 	147	10.67	 	15	1.09	 	4	0.29	 	5	0.36	 	4	0.29	 	528	38.32	 	1	0.07	 	1378	97.73	 	32	2.27	 	1410	1.72
Wynn Vale		                                  	8	0.2	 	41	1.03	 	10	0.25	 	66	1.66	 	1630	41.11	 	7	0.18	 	419	10.57	 	21	0.53	 	8	0.2	 	9	0.23	 	8	0.2	 	1734	43.73	 	4	0.1	 	3965	98.56	 	58	1.44	 	4023	4.91
Special Hospitals		                          	0	0	 	0	0	 	0	0	 	0	0	 	76	50.67	 	1	0.67	 	10	6.67	 	0	0	 	0	0	 	0	0	 	0	0	 	63	42	 	0	0	 	150	98.68	 	2	1.32	 	152	0.19
Total Ordinary		                             	213	0.3	 	957	1.34	 	122	0.17	 	1036	1.45	 	30328	42.57	 	168	0.24	 	7598	10.66	 	449	0.63	 	351	0.49	 	357	0.5	 	256	0.36	 	29383	41.24	 	28	0.04	 	71246	98.17	 	1331	1.83	 	72577	88.56
ABSENT		                                     	21	0.42	 	128	2.59	 	18	0.36	 	90	1.82	 	2048	41.42	 	15	0.3	 	516	10.43	 	30	0.61	 	23	0.47	 	23	0.47	 	33	0.67	 	1999	40.42	 	1	0.02	 	4945	98.55	 	73	1.45	 	5018	6.12
POSTAL		                                     	4	0.18	 	30	1.38	 	9	0.41	 	33	1.52	 	820	37.77	 	6	0.28	 	173	7.97	 	11	0.51	 	6	0.28	 	39	1.8	 	10	0.46	 	1028	47.35	 	2	0.09	 	2171	99.09	 	20	0.91	 	2191	2.67
PRE_POLL		                                   	6	0.31	 	54	2.81	 	6	0.31	 	13	0.68	 	738	38.44	 	10	0.52	 	156	8.13	 	7	0.36	 	9	0.47	 	17	0.89	 	13	0.68	 	891	46.41	 	0	0	 	1920	98.92	 	21	1.08	 	1941	2.37
PROVISIONAL		                                	4	1.8	 	7	3.15	 	1	0.45	 	2	0.9	 	116	52.25	 	1	0.45	 	25	11.26	 	1	0.45	 	0	0	 	1	0.45	 	2	0.9	 	62	27.93	 	0	0	 	222	97.8	 	5	2.2	 	227	0.28
ADJUSTMENT		                                 	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0	
Division Summary		                           	248	0.31	 	1176	1.46	 	156	0.19	 	1174	1.46	 	34050	42.3	 	200	0.25	 	8468	10.52	 	498	0.62	 	389	0.48	 	437	0.54	 	314	0.39	 	33363	41.44	 	31	0.04	 	80504	98.23	 	1450	1.77	 	81954	96.43
 																																																	


Mayo (85924)																																																	

	   		Group Total RPA			Group Total GSA			Group Total NP			Group Total CTA			Group Total ALP			Group Total - Unendorsed Group F			Group Total DEM			Group Total NLP			Group Total EFF			Group Total GRY			Group Total AFI			Group Total LP			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Aberfoyle Park		                             	12	0.27	 	47	1.05	 	6	0.13	 	60	1.34	 	1562	34.85	 	6	0.13	 	601	13.41	 	32	0.71	 	8	0.18	 	19	0.42	 	13	0.29	 	2116	47.21	 	0	0	 	4482	98.66	 	61	1.34	 	4543	5.51
Adelaide (Mayo)		                            	0	0	 	4	3.01	 	2	1.5	 	1	0.75	 	44	33.08	 	0	0	 	18	13.53	 	2	1.5	 	0	0	 	0	0	 	1	0.75	 	61	45.86	 	0	0	 	133	97.79	 	3	2.21	 	136	0.17
Aldgate		                                    	5	0.25	 	59	2.94	 	7	0.35	 	18	0.9	 	489	24.39	 	1	0.05	 	431	21.5	 	34	1.7	 	3	0.15	 	3	0.15	 	3	0.15	 	951	47.43	 	1	0.05	 	2005	98.24	 	36	1.76	 	2041	2.48
Athelstone		                                 	11	0.3	 	36	0.99	 	6	0.16	 	39	1.07	 	1165	31.95	 	7	0.19	 	557	15.28	 	17	0.47	 	8	0.22	 	21	0.58	 	10	0.27	 	1761	48.3	 	8	0.22	 	3646	98.06	 	72	1.94	 	3718	4.51
Athelstone West		                            	14	0.48	 	31	1.06	 	9	0.31	 	27	0.93	 	1055	36.23	 	8	0.27	 	301	10.34	 	11	0.38	 	7	0.24	 	10	0.34	 	4	0.14	 	1435	49.28	 	0	0	 	2912	96.33	 	111	3.67	 	3023	3.67
Balhannah		                                  	3	0.22	 	14	1.03	 	2	0.15	 	12	0.88	 	270	19.91	 	5	0.37	 	187	13.79	 	8	0.59	 	11	0.81	 	8	0.59	 	4	0.29	 	830	61.21	 	2	0.15	 	1356	98.76	 	17	1.24	 	1373	1.67
Basket Range		                               	0	0	 	3	1.9	 	2	1.27	 	0	0	 	22	13.92	 	0	0	 	27	17.09	 	2	1.27	 	2	1.27	 	0	0	 	1	0.63	 	99	62.66	 	0	0	 	158	98.75	 	2	1.25	 	160	0.19
Bridgewater		                                	5	0.31	 	52	3.21	 	2	0.12	 	14	0.86	 	420	25.93	 	8	0.49	 	311	19.2	 	33	2.04	 	4	0.25	 	5	0.31	 	7	0.43	 	759	46.85	 	0	0	 	1620	98.42	 	26	1.58	 	1646	2
Brukunga		                                   	0	0	 	2	1.17	 	1	0.58	 	2	1.17	 	64	37.43	 	0	0	 	21	12.28	 	1	0.58	 	5	2.92	 	1	0.58	 	0	0	 	74	43.27	 	0	0	 	171	93.96	 	11	6.04	 	182	0.22
Callington		                                 	0	0	 	2	0.95	 	5	2.37	 	8	3.79	 	45	21.33	 	1	0.47	 	36	17.06	 	3	1.42	 	3	1.42	 	2	0.95	 	1	0.47	 	105	49.76	 	0	0	 	211	99.53	 	1	0.47	 	212	0.26
Charleston		                                 	0	0	 	3	1.23	 	1	0.41	 	0	0	 	22	9.05	 	0	0	 	10	4.12	 	0	0	 	3	1.23	 	1	0.41	 	2	0.82	 	201	82.72	 	0	0	 	243	100	 	0	0	 	243	0.29
Cherry Gardens		                             	1	0.19	 	13	2.5	 	2	0.38	 	16	3.08	 	88	16.92	 	1	0.19	 	72	13.85	 	3	0.58	 	1	0.19	 	4	0.77	 	0	0	 	319	61.35	 	0	0	 	520	99.24	 	4	0.76	 	524	0.64
Clarendon		                                  	0	0	 	14	3.33	 	1	0.24	 	2	0.48	 	82	19.48	 	0	0	 	70	16.63	 	10	2.38	 	1	0.24	 	1	0.24	 	2	0.48	 	238	56.53	 	0	0	 	421	98.14	 	8	1.86	 	429	0.52
Coromandel Valley (Mayo)		                   	6	0.39	 	20	1.31	 	3	0.2	 	29	1.89	 	320	20.89	 	1	0.07	 	233	15.21	 	14	0.91	 	2	0.13	 	5	0.33	 	7	0.46	 	890	58.09	 	2	0.13	 	1532	99.09	 	14	0.91	 	1546	1.88
Crafers		                                    	3	0.21	 	28	2	 	3	0.21	 	16	1.14	 	255	18.23	 	4	0.29	 	258	18.44	 	25	1.79	 	0	0	 	14	1	 	4	0.29	 	787	56.25	 	2	0.14	 	1399	98.38	 	23	1.62	 	1422	1.73
Cudlee Creek		                               	3	1.48	 	5	2.46	 	1	0.49	 	4	1.97	 	39	19.21	 	0	0	 	26	12.81	 	1	0.49	 	1	0.49	 	3	1.48	 	0	0	 	120	59.11	 	0	0	 	203	98.54	 	3	1.46	 	206	0.25
Dernancourt		                                	5	0.27	 	27	1.46	 	4	0.22	 	26	1.4	 	550	29.67	 	3	0.16	 	240	12.94	 	13	0.7	 	4	0.22	 	5	0.27	 	5	0.27	 	971	52.37	 	1	0.05	 	1854	98.51	 	28	1.49	 	1882	2.28
Echunga		                                    	1	0.15	 	14	2.07	 	6	0.89	 	6	0.89	 	118	17.46	 	1	0.15	 	85	12.57	 	9	1.33	 	4	0.59	 	3	0.44	 	5	0.74	 	423	62.57	 	1	0.15	 	676	97.83	 	15	2.17	 	691	0.84
Flagstaff Hill		                             	10	0.19	 	52	1	 	7	0.13	 	45	0.87	 	1381	26.61	 	6	0.12	 	609	11.74	 	32	0.62	 	12	0.23	 	16	0.31	 	6	0.12	 	3012	58.05	 	1	0.02	 	5189	99.03	 	51	0.97	 	5240	6.36
Flagstaff Hill East		                        	0	0	 	6	0.8	 	1	0.13	 	7	0.94	 	198	26.51	 	0	0	 	130	17.4	 	5	0.67	 	1	0.13	 	1	0.13	 	0	0	 	397	53.15	 	1	0.13	 	747	99.2	 	6	0.8	 	753	0.91
Hahndorf		                                   	5	0.32	 	20	1.29	 	7	0.45	 	16	1.03	 	279	17.98	 	5	0.32	 	219	14.11	 	16	1.03	 	19	1.22	 	7	0.45	 	4	0.26	 	954	61.47	 	1	0.06	 	1552	97.98	 	32	2.02	 	1584	1.92
Harrogate		                                  	1	0.91	 	4	3.64	 	0	0	 	1	0.91	 	27	24.55	 	0	0	 	15	13.64	 	0	0	 	0	0	 	2	1.82	 	0	0	 	60	54.55	 	0	0	 	110	98.21	 	2	1.79	 	112	0.14
Highbury East		                              	2	0.12	 	25	1.48	 	4	0.24	 	29	1.71	 	599	35.42	 	2	0.12	 	212	12.54	 	16	0.95	 	9	0.53	 	16	0.95	 	8	0.47	 	768	45.42	 	1	0.06	 	1691	98.2	 	31	1.8	 	1722	2.09
Highbury South		                             	8	0.22	 	40	1.08	 	9	0.24	 	51	1.38	 	1101	29.69	 	8	0.22	 	515	13.89	 	14	0.38	 	4	0.11	 	15	0.4	 	10	0.27	 	1932	52.1	 	1	0.03	 	3708	98.12	 	71	1.88	 	3779	4.59
Holden Hill (mayo)		                         	7	0.5	 	26	1.87	 	4	0.29	 	21	1.51	 	573	41.28	 	6	0.43	 	143	10.3	 	10	0.72	 	3	0.22	 	9	0.65	 	3	0.22	 	583	42	 	0	0	 	1388	97.06	 	42	2.94	 	1430	1.74
Houghton		                                   	1	0.17	 	11	1.89	 	1	0.17	 	6	1.03	 	113	19.38	 	1	0.17	 	68	11.66	 	3	0.51	 	0	0	 	2	0.34	 	2	0.34	 	375	64.32	 	0	0	 	583	99.15	 	5	0.85	 	588	0.71
Kangarilla		                                 	2	0.37	 	15	2.79	 	0	0	 	3	0.56	 	99	18.44	 	0	0	 	103	19.18	 	12	2.23	 	3	0.56	 	1	0.19	 	4	0.74	 	295	54.93	 	0	0	 	537	98.35	 	9	1.65	 	546	0.66
Langhorne Creek		                            	0	0	 	2	0.76	 	2	0.76	 	1	0.38	 	26	9.92	 	0	0	 	24	9.16	 	1	0.38	 	2	0.76	 	1	0.38	 	1	0.38	 	202	77.1	 	0	0	 	262	97.04	 	8	2.96	 	270	0.33
Lenswood		                                   	1	0.21	 	7	1.48	 	1	0.21	 	6	1.27	 	59	12.5	 	3	0.64	 	46	9.75	 	4	0.85	 	1	0.21	 	2	0.42	 	6	1.27	 	336	71.19	 	0	0	 	472	98.95	 	5	1.05	 	477	0.58
Littlehampton		                              	4	0.43	 	34	3.69	 	0	0	 	4	0.43	 	213	23.13	 	2	0.22	 	140	15.2	 	15	1.63	 	4	0.43	 	3	0.33	 	1	0.11	 	501	54.4	 	0	0	 	921	98.5	 	14	1.5	 	935	1.13
Lobethal		                                   	4	0.32	 	17	1.37	 	5	0.4	 	28	2.25	 	256	20.6	 	2	0.16	 	170	13.68	 	6	0.48	 	11	0.88	 	5	0.4	 	5	0.4	 	734	59.05	 	0	0	 	1243	96.96	 	39	3.04	 	1282	1.56
Longwood		                                   	1	0.27	 	16	4.36	 	0	0	 	1	0.27	 	93	25.34	 	0	0	 	75	20.44	 	4	1.09	 	0	0	 	2	0.54	 	5	1.36	 	170	46.32	 	0	0	 	367	98.66	 	5	1.34	 	372	0.45
Macclesfield		                               	1	0.15	 	24	3.52	 	5	0.73	 	8	1.17	 	159	23.31	 	1	0.15	 	130	19.06	 	9	1.32	 	2	0.29	 	0	0	 	6	0.88	 	337	49.41	 	0	0	 	682	98.41	 	11	1.59	 	693	0.84
Magill (mayo)		                              	2	0.15	 	27	2.05	 	0	0	 	17	1.29	 	391	29.71	 	1	0.08	 	144	10.94	 	11	0.84	 	7	0.53	 	2	0.15	 	4	0.3	 	708	53.8	 	2	0.15	 	1316	98.14	 	25	1.86	 	1341	1.63
Meadows		                                    	3	0.36	 	19	2.26	 	7	0.83	 	20	2.38	 	180	21.43	 	0	0	 	112	13.33	 	8	0.95	 	6	0.71	 	8	0.95	 	4	0.48	 	473	56.31	 	0	0	 	840	98.71	 	11	1.29	 	851	1.03
Montacute		                                  	0	0	 	16	10.19	 	0	0	 	1	0.64	 	25	15.92	 	0	0	 	22	14.01	 	1	0.64	 	0	0	 	0	0	 	0	0	 	87	55.41	 	5	3.18	 	157	99.37	 	1	0.63	 	158	0.19
Mount Barker		                               	11	0.28	 	83	2.08	 	9	0.23	 	64	1.6	 	1132	28.39	 	8	0.2	 	585	14.67	 	42	1.05	 	26	0.65	 	19	0.48	 	27	0.68	 	1981	49.67	 	1	0.03	 	3988	97.72	 	93	2.28	 	4081	4.95
Mylor		                                      	0	0	 	22	3.64	 	4	0.66	 	16	2.65	 	133	22.02	 	0	0	 	123	20.36	 	7	1.16	 	1	0.17	 	3	0.5	 	0	0	 	295	48.84	 	0	0	 	604	97.89	 	13	2.11	 	617	0.75
Nairne		                                     	5	0.33	 	41	2.68	 	4	0.26	 	15	0.98	 	414	27.08	 	3	0.2	 	249	16.29	 	19	1.24	 	22	1.44	 	7	0.46	 	1	0.07	 	749	48.99	 	0	0	 	1529	98.01	 	31	1.99	 	1560	1.89
Newton		                                     	17	1.32	 	7	0.54	 	2	0.16	 	17	1.32	 	520	40.4	 	5	0.39	 	156	12.12	 	10	0.78	 	3	0.23	 	5	0.39	 	3	0.23	 	542	42.11	 	0	0	 	1287	95.4	 	62	4.6	 	1349	1.64
Norton Summit		                              	3	0.51	 	18	3.08	 	0	0	 	4	0.68	 	147	25.17	 	0	0	 	88	15.07	 	12	2.05	 	0	0	 	1	0.17	 	1	0.17	 	308	52.74	 	2	0.34	 	584	98.48	 	9	1.52	 	593	0.72
Paracombe		                                  	0	0	 	4	1.41	 	1	0.35	 	3	1.06	 	43	15.19	 	0	0	 	33	11.66	 	0	0	 	0	0	 	2	0.71	 	1	0.35	 	196	69.26	 	0	0	 	283	99.3	 	2	0.7	 	285	0.35
Paradise		                                   	8	0.34	 	21	0.9	 	2	0.09	 	37	1.59	 	970	41.6	 	11	0.47	 	262	11.23	 	12	0.51	 	14	0.6	 	14	0.6	 	10	0.43	 	969	41.55	 	2	0.09	 	2332	96.48	 	85	3.52	 	2417	2.93
Paradise West		                              	6	0.51	 	22	1.87	 	1	0.08	 	15	1.27	 	454	38.51	 	4	0.34	 	138	11.7	 	1	0.08	 	8	0.68	 	2	0.17	 	3	0.25	 	525	44.53	 	0	0	 	1179	97.04	 	36	2.96	 	1215	1.47
Piccadilly		                                 	1	0.25	 	9	2.21	 	2	0.49	 	9	2.21	 	64	15.72	 	6	1.47	 	79	19.41	 	5	1.23	 	2	0.49	 	2	0.49	 	0	0	 	228	56.02	 	0	0	 	407	97.6	 	10	2.4	 	417	0.51
Prospect Hill		                              	0	0	 	4	4.08	 	0	0	 	2	2.04	 	11	11.22	 	0	0	 	13	13.27	 	0	0	 	2	2.04	 	0	0	 	1	1.02	 	65	66.33	 	0	0	 	98	98	 	2	2	 	100	0.12
Rostrevor		                                  	14	0.47	 	39	1.32	 	4	0.14	 	36	1.22	 	922	31.16	 	6	0.2	 	396	13.38	 	22	0.74	 	9	0.3	 	18	0.61	 	6	0.2	 	1487	50.25	 	0	0	 	2959	97.14	 	87	2.86	 	3046	3.7
Rostrevor South		                            	5	0.45	 	21	1.91	 	1	0.09	 	8	0.73	 	302	27.48	 	4	0.36	 	152	13.83	 	11	1	 	9	0.82	 	1	0.09	 	4	0.36	 	579	52.68	 	2	0.18	 	1099	97.08	 	33	2.92	 	1132	1.37
Stirling East		                              	2	0.16	 	39	3.15	 	1	0.08	 	12	0.97	 	247	19.97	 	3	0.24	 	252	20.37	 	18	1.46	 	0	0	 	4	0.32	 	1	0.08	 	658	53.19	 	0	0	 	1237	99.12	 	11	0.88	 	1248	1.51
Stirling West		                              	2	0.1	 	57	2.98	 	2	0.1	 	14	0.73	 	376	19.63	 	5	0.26	 	373	19.48	 	17	0.89	 	4	0.21	 	3	0.16	 	7	0.37	 	1055	55.09	 	0	0	 	1915	98.46	 	30	1.54	 	1945	2.36
Strathalbyn		                                	10	0.41	 	37	1.52	 	6	0.25	 	43	1.76	 	527	21.6	 	5	0.2	 	344	14.1	 	19	0.78	 	18	0.74	 	17	0.7	 	18	0.74	 	1395	57.17	 	1	0.04	 	2440	98.15	 	46	1.85	 	2486	3.02
Summertown		                                 	3	0.35	 	13	1.53	 	1	0.12	 	8	0.94	 	166	19.48	 	1	0.12	 	176	20.66	 	9	1.06	 	2	0.23	 	2	0.23	 	7	0.82	 	463	54.34	 	1	0.12	 	852	98.16	 	16	1.84	 	868	1.05
Upper Sturt		                                	0	0	 	21	3.42	 	2	0.33	 	20	3.26	 	140	22.8	 	2	0.33	 	114	18.57	 	4	0.65	 	0	0	 	1	0.16	 	4	0.65	 	305	49.67	 	1	0.16	 	614	99.19	 	5	0.81	 	619	0.75
Uraidla		                                    	1	0.21	 	11	2.29	 	2	0.42	 	5	1.04	 	92	19.17	 	1	0.21	 	76	15.83	 	4	0.83	 	0	0	 	3	0.63	 	1	0.21	 	284	59.17	 	0	0	 	480	97.76	 	11	2.24	 	491	0.6
Woodchester		                                	0	0	 	4	1.94	 	3	1.46	 	4	1.94	 	37	17.96	 	2	0.97	 	45	21.84	 	3	1.46	 	0	0	 	5	2.43	 	2	0.97	 	101	49.03	 	0	0	 	206	99.04	 	2	0.96	 	208	0.25
Woodside		                                   	5	0.43	 	11	0.94	 	3	0.26	 	10	0.86	 	230	19.71	 	3	0.26	 	167	14.31	 	8	0.69	 	12	1.03	 	2	0.17	 	7	0.6	 	709	60.75	 	0	0	 	1167	97.66	 	28	2.34	 	1195	1.45
Special Hospitals		                          	3	1.08	 	1	0.36	 	1	0.36	 	2	0.72	 	96	34.41	 	2	0.72	 	17	6.09	 	1	0.36	 	5	1.79	 	1	0.36	 	0	0	 	150	53.76	 	0	0	 	279	96.88	 	9	3.13	 	288	0.35
Total Ordinary		                             	217	0.31	 	1220	1.72	 	167	0.24	 	889	1.25	 	19405	27.39	 	154	0.22	 	10199	14.4	 	609	0.86	 	288	0.41	 	309	0.44	 	242	0.34	 	37108	52.38	 	39	0.06	 	70846	98.03	 	1424	1.97	 	72270	87.7
ABSENT		                                     	20	0.34	 	152	2.59	 	16	0.27	 	65	1.11	 	1910	32.57	 	21	0.36	 	697	11.88	 	79	1.35	 	30	0.51	 	20	0.34	 	32	0.55	 	2819	48.06	 	4	0.07	 	5865	98.44	 	93	1.56	 	5958	7.23
POSTAL		                                     	6	0.38	 	40	2.56	 	13	0.83	 	22	1.41	 	398	25.46	 	2	0.13	 	147	9.4	 	14	0.9	 	10	0.64	 	20	1.28	 	9	0.58	 	882	56.43	 	0	0	 	1563	99.18	 	13	0.82	 	1576	1.91
PRE_POLL		                                   	10	0.44	 	80	3.53	 	19	0.84	 	28	1.23	 	608	26.81	 	4	0.18	 	233	10.27	 	13	0.57	 	6	0.26	 	8	0.35	 	11	0.49	 	1248	55.03	 	0	0	 	2268	99.21	 	18	0.79	 	2286	2.77
PROVISIONAL		                                	1	0.32	 	13	4.17	 	2	0.64	 	5	1.6	 	97	31.09	 	0	0	 	52	16.67	 	3	0.96	 	1	0.32	 	0	0	 	2	0.64	 	136	43.59	 	0	0	 	312	99.05	 	3	0.95	 	315	0.38
ADJUSTMENT		                                 	-1		       	0		       	0		       	0		       	1		       	1		       	-1		       	0		       	0		       	0		       	-1		       	0		       	0		       	-1		       	1		       	0	
Division Summary		                           	253	0.31	 	1505	1.86	 	217	0.27	 	1009	1.25	 	22419	27.73	 	182	0.23	 	11327	14.01	 	718	0.89	 	335	0.41	 	357	0.44	 	295	0.36	 	42193	52.18	 	43	0.05	 	80853	98.12	 	1552	1.88	 	82405	95.9
 																																																	


Port Adelaide (86302)																																																	

	   		Group Total RPA			Group Total GSA			Group Total NP			Group Total CTA			Group Total ALP			Group Total - Unendorsed Group F			Group Total DEM			Group Total NLP			Group Total EFF			Group Total GRY			Group Total AFI			Group Total LP			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Adelaide (Port Adelaide)		                   	0	0	 	9	7.26	 	1	0.81	 	0	0	 	53	42.74	 	2	1.61	 	14	11.29	 	0	0	 	1	0.81	 	0	0	 	2	1.61	 	42	33.87	 	0	0	 	124	97.64	 	3	2.36	 	127	0.16
Albert Park		                                	9	0.62	 	22	1.5	 	5	0.34	 	12	0.82	 	638	43.61	 	7	0.48	 	147	10.05	 	3	0.21	 	8	0.55	 	21	1.44	 	9	0.62	 	582	39.78	 	0	0	 	1463	96.19	 	58	3.81	 	1521	1.86
Allenby Gardens		                            	9	0.84	 	28	2.61	 	4	0.37	 	6	0.56	 	560	52.19	 	2	0.19	 	118	11	 	7	0.65	 	4	0.37	 	11	1.03	 	3	0.28	 	321	29.92	 	0	0	 	1073	95.72	 	48	4.28	 	1121	1.37
Angle Park		                                 	30	1.19	 	25	0.99	 	1	0.04	 	20	0.79	 	1764	70.11	 	15	0.6	 	136	5.41	 	9	0.36	 	23	0.91	 	31	1.23	 	15	0.6	 	444	17.65	 	3	0.12	 	2516	95.48	 	119	4.52	 	2635	3.22
