Senate - 1993 Election: Victoria																																																	
First Preference Votes by Group																																																	
By Polling Place																																																	


Aston (79158)																																																	

	   		Group Total CIR			Group Total JPI			Group Total AFI			Group Total NLP			Group Total CTA			Group Total DLP			Group Total LNP			Group Total RPA			Group Total ALP			Group Total DEM			Group Total - Unendorsed Group K			Group Total VGA			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Division Summary		                           	442	0.61	 	670	0.93	 	482	0.67	 	536	0.74	 	654	0.91	 	844	1.17	 	34686	48	 	105	0.15	 	28633	39.62	 	4015	5.56	 	5	0.01	 	1024	1.42	 	165	0.23	 	72261	97.55	 	1814	2.45	 	74075	96.7
 																																																	


Corinella (83476)																																																	

	   		Group Total CIR			Group Total JPI			Group Total AFI			Group Total NLP			Group Total CTA			Group Total DLP			Group Total LNP			Group Total RPA			Group Total ALP			Group Total DEM			Group Total - Unendorsed Group K			Group Total VGA			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Bass		                                       	0	0	 	2	0.68	 	2	0.68	 	2	0.68	 	4	1.36	 	5	1.69	 	187	63.39	 	1	0.34	 	85	28.81	 	3	1.02	 	0	0	 	4	1.36	 	0	0	 	295	98.66	 	4	1.34	 	299	0.37
Baxter (Corinella)		                         	0	0	 	4	3.88	 	1	0.97	 	3	2.91	 	0	0	 	0	0	 	58	56.31	 	1	0.97	 	32	31.07	 	2	1.94	 	0	0	 	2	1.94	 	0	0	 	103	97.17	 	3	2.83	 	106	0.13
Bayles		                                     	1	0.29	 	1	0.29	 	2	0.58	 	2	0.58	 	1	0.29	 	0	0	 	228	66.09	 	0	0	 	94	27.25	 	13	3.77	 	0	0	 	2	0.58	 	1	0.29	 	345	97.73	 	8	2.27	 	353	0.43
Botany Park		                                	9	0.29	 	81	2.65	 	16	0.52	 	14	0.46	 	9	0.29	 	36	1.18	 	1111	36.32	 	10	0.33	 	1659	54.23	 	94	3.07	 	0	0	 	18	0.59	 	2	0.07	 	3059	97.33	 	84	2.67	 	3143	3.87
Cape Paterson		                              	1	0.28	 	3	0.83	 	2	0.56	 	1	0.28	 	1	0.28	 	0	0	 	145	40.28	 	0	0	 	184	51.11	 	17	4.72	 	0	0	 	6	1.67	 	0	0	 	360	96.51	 	13	3.49	 	373	0.46
Cardinia		                                   	1	0.44	 	1	0.44	 	1	0.44	 	0	0	 	0	0	 	3	1.33	 	158	70.22	 	0	0	 	55	24.44	 	5	2.22	 	0	0	 	1	0.44	 	0	0	 	225	97.83	 	5	2.17	 	230	0.28
Carrum Downs		                               	11	1.2	 	16	1.74	 	8	0.87	 	4	0.44	 	3	0.33	 	7	0.76	 	412	44.83	 	1	0.11	 	417	45.38	 	35	3.81	 	0	0	 	5	0.54	 	0	0	 	919	96.43	 	34	3.57	 	953	1.17
Catani		                                     	0	0	 	1	0.63	 	2	1.27	 	3	1.9	 	1	0.63	 	0	0	 	118	74.68	 	0	0	 	29	18.35	 	4	2.53	 	0	0	 	0	0	 	0	0	 	158	95.76	 	7	4.24	 	165	0.2
Chandler		                                   	9	1.06	 	11	1.3	 	5	0.59	 	4	0.47	 	6	0.71	 	11	1.3	 	229	27.07	 	0	0	 	544	64.3	 	20	2.36	 	0	0	 	6	0.71	 	1	0.12	 	846	96.8	 	28	3.2	 	874	1.08
Clyde		                                      	1	0.19	 	5	0.96	 	3	0.58	 	1	0.19	 	3	0.58	 	3	0.58	 	364	70	 	2	0.38	 	126	24.23	 	10	1.92	 	0	0	 	2	0.38	 	0	0	 	520	98.48	 	8	1.52	 	528	0.65
Coomoora (Corinella)		                       	15	0.67	 	17	0.76	 	11	0.49	 	3	0.13	 	9	0.4	 	27	1.21	 	650	29.04	 	1	0.04	 	1413	63.14	 	68	3.04	 	0	0	 	12	0.54	 	12	0.54	 	2238	96.34	 	85	3.66	 	2323	2.86
Coral Park		                                 	1	0.07	 	9	0.66	 	9	0.66	 	2	0.15	 	4	0.29	 	29	2.13	 	404	29.64	 	3	0.22	 	841	61.7	 	46	3.37	 	0	0	 	13	0.95	 	2	0.15	 	1363	98.27	 	24	1.73	 	1387	1.71
Corinella		                                  	8	1.23	 	4	0.62	 	3	0.46	 	8	1.23	 	4	0.62	 	15	2.31	 	318	49.07	 	1	0.15	 	269	41.51	 	16	2.47	 	0	0	 	2	0.31	 	0	0	 	648	96.43	 	24	3.57	 	672	0.83
Cowes		                                      	14	0.66	 	34	1.6	 	22	1.04	 	15	0.71	 	10	0.47	 	20	0.94	 	1142	53.87	 	5	0.24	 	739	34.86	 	86	4.06	 	0	0	 	28	1.32	 	5	0.24	 	2120	97.74	 	49	2.26	 	2169	2.67
Cranbourne		                                 	24	0.89	 	23	0.85	 	22	0.82	 	12	0.45	 	5	0.19	 	32	1.19	 	1262	46.81	 	6	0.22	 	1193	44.25	 	85	3.15	 	0	0	 	24	0.89	 	8	0.3	 	2696	96.42	 	100	3.58	 	2796	3.44
Cranbourne North		                           	22	0.54	 	46	1.13	 	26	0.64	 	41	1.01	 	13	0.32	 	56	1.37	 	1593	39.06	 	4	0.1	 	2092	51.3	 	142	3.48	 	0	0	 	33	0.81	 	10	0.25	 	4078	97.42	 	108	2.58	 	4186	5.16
Cranbourne South		                           	3	0.27	 	4	0.36	 	7	0.63	 	5	0.45	 	3	0.27	 	10	0.91	 	698	63.28	 	1	0.09	 	316	28.65	 	47	4.26	 	0	0	 	8	0.73	 	1	0.09	 	1103	98.04	 	22	1.96	 	1125	1.39
Cranbourne West		                            	4	0.36	 	17	1.52	 	7	0.63	 	4	0.36	 	7	0.63	 	20	1.79	 	419	37.41	 	2	0.18	 	579	51.7	 	48	4.29	 	0	0	 	12	1.07	 	1	0.09	 	1120	97.9	 	24	2.1	 	1144	1.41
Dalyston		                                   	4	1.28	 	4	1.28	 	4	1.28	 	2	0.64	 	5	1.6	 	6	1.92	 	182	58.15	 	0	0	 	90	28.75	 	9	2.88	 	0	0	 	7	2.24	 	0	0	 	313	97.51	 	8	2.49	 	321	0.4
Dandenong South		                            	29	1.31	 	14	0.63	 	14	0.63	 	12	0.54	 	7	0.32	 	57	2.58	 	540	24.48	 	9	0.41	 	1434	65	 	46	2.09	 	0	0	 	23	1.04	 	21	0.95	 	2206	93.28	 	159	6.72	 	2365	2.91
Devon Meadows		                              	13	0.77	 	3	0.18	 	13	0.77	 	5	0.3	 	4	0.24	 	20	1.19	 	960	57.18	 	1	0.06	 	594	35.38	 	48	2.86	 	0	0	 	15	0.89	 	3	0.18	 	1679	96.38	 	63	3.62	 	1742	2.15
Dudley		                                     	3	0.53	 	1	0.18	 	5	0.88	 	2	0.35	 	6	1.05	 	5	0.88	 	284	49.74	 	0	0	 	238	41.68	 	15	2.63	 	0	0	 	12	2.1	 	0	0	 	571	98.45	 	9	1.55	 	580	0.71
Glen Alvie		                                 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	89	70.08	 	0	0	 	34	26.77	 	4	3.15	 	0	0	 	0	0	 	0	0	 	127	100	 	0	0	 	127	0.16
Grantville		                                 	3	0.46	 	4	0.62	 	3	0.46	 	6	0.92	 	11	1.69	 	11	1.69	 	320	49.23	 	3	0.46	 	267	41.08	 	16	2.46	 	0	0	 	6	0.92	 	0	0	 	650	98.48	 	10	1.52	 	660	0.81
Hampton Park		                               	6	0.24	 	21	0.85	 	19	0.77	 	7	0.28	 	18	0.73	 	29	1.18	 	819	33.32	 	3	0.12	 	1452	59.07	 	64	2.6	 	0	0	 	13	0.53	 	7	0.28	 	2458	97.27	 	69	2.73	 	2527	3.11
Hampton Park East		                          	21	0.53	 	47	1.19	 	31	0.79	 	16	0.41	 	21	0.53	 	52	1.32	 	1168	29.64	 	4	0.1	 	2412	61.22	 	136	3.45	 	0	0	 	21	0.53	 	11	0.28	 	3940	97.24	 	112	2.76	 	4052	4.99
Keysborough		                                	8	0.45	 	21	1.17	 	18	1.01	 	7	0.39	 	0	0	 	23	1.28	 	701	39.14	 	3	0.17	 	944	52.71	 	50	2.79	 	0	0	 	8	0.45	 	8	0.45	 	1791	97.66	 	43	2.34	 	1834	2.26
Kilcunda		                                   	0	0	 	0	0	 	1	0.6	 	0	0	 	0	0	 	1	0.6	 	71	42.51	 	0	0	 	90	53.89	 	3	1.8	 	0	0	 	1	0.6	 	0	0	 	167	98.24	 	3	1.76	 	170	0.21
Kooweerup		                                  	7	0.66	 	5	0.47	 	11	1.04	 	4	0.38	 	7	0.66	 	26	2.46	 	651	61.53	 	1	0.09	 	302	28.54	 	29	2.74	 	1	0.09	 	12	1.13	 	2	0.19	 	1058	96.62	 	37	3.38	 	1095	1.35
Lang Lang		                                  	6	0.63	 	3	0.31	 	12	1.26	 	4	0.42	 	7	0.73	 	9	0.94	 	634	66.39	 	1	0.1	 	255	26.7	 	23	2.41	 	0	0	 	1	0.1	 	0	0	 	955	97.85	 	21	2.15	 	976	1.2
Langwarrin		                                 	20	0.42	 	46	0.96	 	32	0.66	 	44	0.91	 	18	0.37	 	33	0.69	 	2376	49.36	 	4	0.08	 	1987	41.28	 	217	4.51	 	0	0	 	33	0.69	 	4	0.08	 	4814	97.93	 	102	2.07	 	4916	6.06
Langwarrin Park		                            	3	0.14	 	22	1.04	 	10	0.47	 	9	0.43	 	7	0.33	 	16	0.76	 	998	47.28	 	3	0.14	 	950	45	 	73	3.46	 	0	0	 	18	0.85	 	2	0.09	 	2111	98.32	 	36	1.68	 	2147	2.65
Lyndhurst		                                  	20	0.59	 	37	1.1	 	21	0.62	 	9	0.27	 	9	0.27	 	53	1.57	 	1283	38.07	 	5	0.15	 	1837	54.51	 	71	2.11	 	0	0	 	18	0.53	 	7	0.21	 	3370	97.48	 	87	2.52	 	3457	4.26
Maralinga		                                  	10	0.55	 	13	0.72	 	19	1.05	 	10	0.55	 	5	0.28	 	44	2.43	 	536	29.66	 	6	0.33	 	1052	58.22	 	85	4.7	 	0	0	 	17	0.94	 	10	0.55	 	1807	96.94	 	57	3.06	 	1864	2.3
Narre Warren (Corinella)		                   	10	0.78	 	14	1.09	 	10	0.78	 	4	0.31	 	14	1.09	 	15	1.16	 	570	44.19	 	1	0.08	 	592	45.89	 	42	3.26	 	0	0	 	14	1.09	 	4	0.31	 	1290	96.77	 	43	3.23	 	1333	1.64
Newhaven		                                   	12	1.56	 	17	2.22	 	3	0.39	 	5	0.65	 	1	0.13	 	9	1.17	 	350	45.63	 	1	0.13	 	305	39.77	 	46	6	 	0	0	 	15	1.96	 	3	0.39	 	767	98.33	 	13	1.67	 	780	0.96
Noble Park		                                 	15	0.65	 	34	1.47	 	24	1.04	 	12	0.52	 	11	0.47	 	66	2.85	 	648	27.96	 	6	0.26	 	1388	59.88	 	88	3.8	 	0	0	 	15	0.65	 	11	0.47	 	2318	95.63	 	106	4.37	 	2424	2.99
Noble Park South		                           	15	0.59	 	24	0.94	 	17	0.67	 	15	0.59	 	5	0.2	 	64	2.51	 	745	29.26	 	5	0.2	 	1540	60.49	 	72	2.83	 	0	0	 	19	0.75	 	25	0.98	 	2546	95.53	 	119	4.47	 	2665	3.28
Nyora		                                      	1	0.18	 	1	0.18	 	1	0.18	 	4	0.71	 	2	0.35	 	4	0.71	 	335	59.19	 	1	0.18	 	192	33.92	 	15	2.65	 	0	0	 	4	0.71	 	6	1.06	 	566	96.26	 	22	3.74	 	588	0.72
Poowong		                                    	4	0.88	 	4	0.88	 	2	0.44	 	1	0.22	 	3	0.66	 	6	1.32	 	336	73.85	 	0	0	 	87	19.12	 	7	1.54	 	0	0	 	5	1.1	 	0	0	 	455	97.22	 	13	2.78	 	468	0.58
Rhyll		                                      	4	0.91	 	10	2.28	 	4	0.91	 	1	0.23	 	3	0.68	 	0	0	 	255	58.22	 	0	0	 	146	33.33	 	9	2.05	 	0	0	 	4	0.91	 	2	0.46	 	438	98.65	 	6	1.35	 	444	0.55
Rowellyn Park		                              	2	0.12	 	30	1.8	 	12	0.72	 	7	0.42	 	3	0.18	 	17	1.02	 	591	35.43	 	2	0.12	 	934	56	 	60	3.6	 	0	0	 	7	0.42	 	3	0.18	 	1668	98.41	 	27	1.59	 	1695	2.09
San Remo		                                   	5	0.98	 	2	0.39	 	1	0.2	 	3	0.59	 	2	0.39	 	10	1.97	 	291	57.28	 	1	0.2	 	173	34.06	 	13	2.56	 	0	0	 	7	1.38	 	0	0	 	508	99.22	 	4	0.78	 	512	0.63
Skye		                                       	1	0.18	 	5	0.89	 	4	0.71	 	6	1.07	 	0	0	 	8	1.43	 	251	44.74	 	0	0	 	260	46.35	 	19	3.39	 	0	0	 	6	1.07	 	1	0.18	 	561	97.23	 	16	2.77	 	577	0.71
Tooradin		                                   	6	0.47	 	6	0.47	 	13	1.01	 	8	0.62	 	1	0.08	 	9	0.7	 	683	53.32	 	2	0.16	 	476	37.16	 	59	4.61	 	0	0	 	12	0.94	 	6	0.47	 	1281	96.53	 	46	3.47	 	1327	1.63
Wallarano		                                  	24	0.68	 	31	0.88	 	31	0.88	 	23	0.65	 	8	0.23	 	60	1.7	 	1207	34.23	 	1	0.03	 	1943	55.1	 	154	4.37	 	0	0	 	24	0.68	 	20	0.57	 	3526	95.95	 	149	4.05	 	3675	4.53
Wonthaggi		                                  	20	0.87	 	15	0.65	 	12	0.52	 	15	0.65	 	13	0.56	 	36	1.56	 	857	37.13	 	2	0.09	 	1256	54.42	 	54	2.34	 	0	0	 	21	0.91	 	7	0.3	 	2308	96.69	 	79	3.31	 	2387	2.94
Wonthaggi North		                            	8	0.71	 	2	0.18	 	10	0.89	 	9	0.8	 	3	0.27	 	16	1.42	 	482	42.73	 	6	0.53	 	553	49.02	 	32	2.84	 	0	0	 	6	0.53	 	1	0.09	 	1128	97.75	 	26	2.25	 	1154	1.42
Woodleigh		                                  	0	0	 	0	0	 	0	0	 	0	0	 	2	1.4	 	2	1.4	 	118	82.52	 	0	0	 	16	11.19	 	3	2.1	 	0	0	 	2	1.4	 	0	0	 	143	98.62	 	2	1.38	 	145	0.18
Special Hospitals		                          	7	2.81	 	3	1.2	 	3	1.2	 	2	0.8	 	0	0	 	4	1.61	 	127	51	 	3	1.2	 	97	38.96	 	3	1.2	 	0	0	 	0	0	 	0	0	 	249	91.21	 	24	8.79	 	273	0.34
Total Ordinary		                             	411	0.59	 	718	1.03	 	509	0.73	 	376	0.54	 	279	0.4	 	985	1.41	 	28954	41.38	 	112	0.16	 	34563	49.4	 	2306	3.3	 	1	0	 	544	0.78	 	207	0.3	 	69965	97.03	 	2141	2.97	 	72106	88.84
ABSENT		                                     	36	0.82	 	39	0.88	 	54	1.22	 	37	0.84	 	25	0.57	 	112	2.54	 	1716	38.92	 	9	0.2	 	2101	47.65	 	198	4.49	 	1	0.02	 	75	1.7	 	6	0.14	 	4409	97.76	 	101	2.24	 	4510	5.56
POSTAL		                                     	41	1.68	 	15	0.61	 	43	1.76	 	11	0.45	 	24	0.98	 	42	1.72	 	1208	49.49	 	2	0.08	 	949	38.88	 	71	2.91	 	0	0	 	28	1.15	 	7	0.29	 	2441	98.67	 	33	1.33	 	2474	3.05
PRE_POLL		                                   	15	0.9	 	11	0.66	 	19	1.14	 	7	0.42	 	10	0.6	 	33	1.97	 	705	42.19	 	5	0.3	 	783	46.86	 	50	2.99	 	0	0	 	30	1.8	 	3	0.18	 	1671	97.78	 	38	2.22	 	1709	2.11
PROVISIONAL		                                	6	1.68	 	5	1.4	 	5	1.4	 	0	0	 	2	0.56	 	8	2.23	 	145	40.5	 	1	0.28	 	169	47.21	 	9	2.51	 	0	0	 	7	1.96	 	1	0.28	 	358	97.55	 	9	2.45	 	367	0.45
ADJUSTMENT		                                 	-8		       	7		       	0		       	-1		       	0		       	-1		       	-2		       	0		       	-2		       	-1		       	0		       	0		       	-1		       	-9		       	9		       	0	
Division Summary		                           	501	0.64	 	795	1.01	 	630	0.8	 	430	0.55	 	340	0.43	 	1179	1.5	 	32726	41.51	 	129	0.16	 	38563	48.92	 	2633	3.34	 	2	0	 	684	0.87	 	223	0.28	 	78835	97.13	 	2331	2.87	 	81166	97.23
 																																																	


Corangamite (75646)																																																	

	   		Group Total CIR			Group Total JPI			Group Total AFI			Group Total NLP			Group Total CTA			Group Total DLP			Group Total LNP			Group Total RPA			Group Total ALP			Group Total DEM			Group Total - Unendorsed Group K			Group Total VGA			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Aireys Inlet		                               	1	0.2	 	6	1.2	 	4	0.8	 	4	0.8	 	2	0.4	 	3	0.6	 	229	45.62	 	0	0	 	218	43.43	 	19	3.78	 	0	0	 	15	2.99	 	1	0.2	 	502	98.43	 	8	1.57	 	510	0.69
Alcoa		                                      	1	0.92	 	0	0	 	4	3.67	 	1	0.92	 	1	0.92	 	2	1.83	 	32	29.36	 	0	0	 	64	58.72	 	3	2.75	 	0	0	 	1	0.92	 	0	0	 	109	100	 	0	0	 	109	0.15
Alvie		                                      	4	1.91	 	7	3.35	 	0	0	 	4	1.91	 	0	0	 	6	2.87	 	149	71.29	 	0	0	 	32	15.31	 	2	0.96	 	0	0	 	3	1.44	 	2	0.96	 	209	97.66	 	5	2.34	 	214	0.29
Anglesea		                                   	7	0.51	 	15	1.08	 	12	0.87	 	12	0.87	 	3	0.22	 	25	1.81	 	665	48.05	 	0	0	 	554	40.03	 	51	3.68	 	0	0	 	33	2.38	 	7	0.51	 	1384	97.53	 	35	2.47	 	1419	1.93
Apollo Bay		                                 	6	0.57	 	10	0.96	 	8	0.77	 	12	1.15	 	3	0.29	 	12	1.15	 	561	53.68	 	3	0.29	 	365	34.93	 	41	3.92	 	0	0	 	23	2.2	 	1	0.1	 	1045	97.21	 	30	2.79	 	1075	1.46
Bannockburn		                                	3	0.29	 	3	0.29	 	7	0.68	 	5	0.48	 	20	1.94	 	10	0.97	 	510	49.37	 	2	0.19	 	425	41.14	 	27	2.61	 	0	0	 	16	1.55	 	5	0.48	 	1033	98.1	 	20	1.9	 	1053	1.43
Barongarook		                                	5	2.99	 	0	0	 	0	0	 	1	0.6	 	1	0.6	 	2	1.2	 	82	49.1	 	0	0	 	61	36.53	 	11	6.59	 	0	0	 	3	1.8	 	1	0.6	 	167	98.82	 	2	1.18	 	169	0.23
Barwon Heads		                               	18	1.37	 	23	1.75	 	4	0.3	 	6	0.46	 	15	1.14	 	8	0.61	 	621	47.19	 	0	0	 	560	42.55	 	35	2.66	 	0	0	 	25	1.9	 	1	0.08	 	1316	97.27	 	37	2.73	 	1353	1.84
Beeac		                                      	3	0.69	 	3	0.69	 	6	1.39	 	0	0	 	3	0.69	 	6	1.39	 	294	67.9	 	1	0.23	 	102	23.56	 	12	2.77	 	0	0	 	3	0.69	 	0	0	 	433	96.01	 	18	3.99	 	451	0.61
Beech Forest		                               	0	0	 	0	0	 	1	1.12	 	0	0	 	0	0	 	3	3.37	 	53	59.55	 	0	0	 	28	31.46	 	2	2.25	 	0	0	 	2	2.25	 	0	0	 	89	95.7	 	4	4.3	 	93	0.13
Bellaire		                                   	13	0.35	 	66	1.77	 	17	0.45	 	10	0.27	 	54	1.44	 	33	0.88	 	2131	57.01	 	7	0.19	 	1221	32.66	 	129	3.45	 	1	0.03	 	41	1.1	 	15	0.4	 	3738	98.14	 	71	1.86	 	3809	5.18
Bellbrae		                                   	1	0.23	 	3	0.68	 	1	0.23	 	4	0.9	 	12	2.7	 	4	0.9	 	246	55.41	 	0	0	 	144	32.43	 	17	3.83	 	0	0	 	11	2.48	 	1	0.23	 	444	97.58	 	11	2.42	 	455	0.62
Belmont		                                    	19	0.73	 	18	0.69	 	18	0.69	 	7	0.27	 	38	1.46	 	27	1.04	 	1178	45.31	 	0	0	 	1178	45.31	 	90	3.46	 	0	0	 	25	0.96	 	2	0.08	 	2600	97.27	 	73	2.73	 	2673	3.64
Belmont North		                              	26	0.98	 	30	1.13	 	8	0.3	 	7	0.26	 	39	1.47	 	32	1.21	 	1367	51.58	 	4	0.15	 	969	36.57	 	120	4.53	 	0	0	 	44	1.66	 	4	0.15	 	2650	96.89	 	85	3.11	 	2735	3.72
Birregurra		                                 	9	1.54	 	6	1.03	 	8	1.37	 	5	0.86	 	5	0.86	 	3	0.51	 	326	55.82	 	0	0	 	189	32.36	 	18	3.08	 	0	0	 	13	2.23	 	2	0.34	 	584	94.81	 	32	5.19	 	616	0.84
Bookaar		                                    	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	1	1.02	 	89	90.82	 	0	0	 	6	6.12	 	1	1.02	 	0	0	 	0	0	 	1	1.02	 	98	98	 	2	2	 	100	0.14
Camperdown		                                 	32	1.23	 	15	0.57	 	16	0.61	 	7	0.27	 	16	0.61	 	47	1.8	 	1439	55.13	 	10	0.38	 	917	35.13	 	72	2.76	 	0	0	 	28	1.07	 	11	0.42	 	2610	96.81	 	86	3.19	 	2696	3.67
Carlisle River		                             	0	0	 	3	2.7	 	1	0.9	 	0	0	 	1	0.9	 	2	1.8	 	74	66.67	 	0	0	 	22	19.82	 	5	4.5	 	0	0	 	1	0.9	 	2	1.8	 	111	95.69	 	5	4.31	 	116	0.16
Ceres		                                      	2	0.49	 	3	0.74	 	0	0	 	0	0	 	5	1.23	 	2	0.49	 	290	71.43	 	0	0	 	82	20.2	 	17	4.19	 	0	0	 	5	1.23	 	0	0	 	406	99.02	 	4	0.98	 	410	0.56
Cobden		                                     	9	0.58	 	11	0.71	 	11	0.71	 	1	0.06	 	17	1.1	 	23	1.49	 	1024	66.41	 	1	0.06	 	400	25.94	 	29	1.88	 	0	0	 	15	0.97	 	1	0.06	 	1542	97.16	 	45	2.84	 	1587	2.16
Colac		                                      	12	0.86	 	13	0.93	 	10	0.71	 	6	0.43	 	12	0.86	 	22	1.57	 	681	48.61	 	2	0.14	 	590	42.11	 	44	3.14	 	0	0	 	7	0.5	 	2	0.14	 	1401	95.11	 	72	4.89	 	1473	2
Colac East		                                 	24	1.26	 	19	1	 	23	1.2	 	5	0.26	 	19	1	 	26	1.36	 	1078	56.47	 	4	0.21	 	647	33.89	 	50	2.62	 	0	0	 	11	0.58	 	3	0.16	 	1909	96.17	 	76	3.83	 	1985	2.7
Colac West		                                 	41	1.44	 	24	0.84	 	27	0.95	 	15	0.53	 	16	0.56	 	46	1.62	 	1566	55.06	 	4	0.14	 	1003	35.27	 	77	2.71	 	0	0	 	20	0.7	 	5	0.18	 	2844	95.98	 	119	4.02	 	2963	4.03
Collendina		                                 	9	0.38	 	15	0.63	 	14	0.59	 	6	0.25	 	21	0.88	 	26	1.09	 	1075	44.92	 	4	0.17	 	1085	45.34	 	88	3.68	 	0	0	 	46	1.92	 	4	0.17	 	2393	98.23	 	43	1.77	 	2436	3.32
Connewarre		                                 	3	0.77	 	6	1.55	 	2	0.52	 	1	0.26	 	8	2.06	 	2	0.52	 	189	48.71	 	0	0	 	158	40.72	 	11	2.84	 	0	0	 	8	2.06	 	0	0	 	388	97.73	 	9	2.27	 	397	0.54
Cororooke		                                  	3	0.59	 	7	1.38	 	2	0.39	 	5	0.99	 	2	0.39	 	6	1.18	 	331	65.29	 	0	0	 	133	26.23	 	14	2.76	 	0	0	 	3	0.59	 	1	0.2	 	507	97.5	 	13	2.5	 	520	0.71
Cressy		                                     	1	0.71	 	0	0	 	0	0	 	1	0.71	 	0	0	 	1	0.71	 	111	78.72	 	0	0	 	20	14.18	 	6	4.26	 	0	0	 	0	0	 	1	0.71	 	141	95.92	 	6	4.08	 	147	0.2
Deans Marsh		                                	0	0	 	2	0.72	 	1	0.36	 	2	0.72	 	3	1.08	 	2	0.72	 	153	54.84	 	1	0.36	 	82	29.39	 	18	6.45	 	0	0	 	9	3.23	 	6	2.15	 	279	97.21	 	8	2.79	 	287	0.39
Dereel		                                     	2	0.87	 	1	0.43	 	2	0.87	 	0	0	 	3	1.3	 	4	1.73	 	98	42.42	 	0	0	 	107	46.32	 	7	3.03	 	0	0	 	7	3.03	 	0	0	 	231	97.06	 	7	2.94	 	238	0.32
Elliminyt		                                  	10	0.74	 	12	0.89	 	12	0.89	 	16	1.18	 	4	0.3	 	22	1.62	 	872	64.35	 	0	0	 	355	26.2	 	34	2.51	 	1	0.07	 	15	1.11	 	2	0.15	 	1355	96.37	 	51	3.63	 	1406	1.91
Forrest		                                    	2	0.64	 	2	0.64	 	1	0.32	 	3	0.96	 	1	0.32	 	10	3.18	 	171	54.46	 	0	0	 	105	33.44	 	7	2.23	 	0	0	 	12	3.82	 	0	0	 	314	97.21	 	9	2.79	 	323	0.44
Freshwater Creek		                           	0	0	 	4	1.07	 	0	0	 	2	0.53	 	1	0.27	 	5	1.34	 	230	61.5	 	0	0	 	89	23.8	 	25	6.68	 	0	0	 	13	3.48	 	5	1.34	 	374	98.42	 	6	1.58	 	380	0.52
Fyansford		                                  	4	1.63	 	0	0	 	4	1.63	 	0	0	 	6	2.45	 	2	0.82	 	137	55.92	 	0	0	 	78	31.84	 	7	2.86	 	0	0	 	7	2.86	 	0	0	 	245	97.22	 	7	2.78	 	252	0.34
Gellibrand River		                           	0	0	 	5	2	 	2	0.8	 	3	1.2	 	6	2.4	 	4	1.6	 	97	38.8	 	0	0	 	102	40.8	 	18	7.2	 	0	0	 	12	4.8	 	1	0.4	 	250	95.42	 	12	4.58	 	262	0.36
Grovedale		                                  	21	0.43	 	71	1.46	 	30	0.62	 	15	0.31	 	78	1.61	 	49	1.01	 	2362	48.73	 	6	0.12	 	2049	42.27	 	126	2.6	 	0	0	 	34	0.7	 	6	0.12	 	4847	98.14	 	92	1.86	 	4939	6.72
Heytesbury		                                 	0	0	 	1	0.53	 	0	0	 	0	0	 	3	1.58	 	0	0	 	170	89.47	 	0	0	 	12	6.32	 	2	1.05	 	0	0	 	1	0.53	 	1	0.53	 	190	100	 	0	0	 	190	0.26
Highton North		                              	14	0.45	 	16	0.52	 	12	0.39	 	10	0.32	 	22	0.71	 	28	0.9	 	1978	63.93	 	2	0.06	 	825	26.66	 	153	4.95	 	0	0	 	28	0.9	 	6	0.19	 	3094	98.22	 	56	1.78	 	3150	4.29
Inverleigh		                                 	3	0.51	 	3	0.51	 	5	0.86	 	1	0.17	 	8	1.37	 	4	0.68	 	311	53.25	 	0	0	 	225	38.53	 	16	2.74	 	0	0	 	6	1.03	 	2	0.34	 	584	97.99	 	12	2.01	 	596	0.81
Irrewillipe East		                           	2	1.2	 	0	0	 	1	0.6	 	0	0	 	0	0	 	3	1.81	 	127	76.51	 	0	0	 	29	17.47	 	0	0	 	0	0	 	3	1.81	 	1	0.6	 	166	99.4	 	1	0.6	 	167	0.23
Kennedys Creek		                             	0	0	 	0	0	 	2	2.02	 	0	0	 	0	0	 	0	0	 	92	92.93	 	0	0	 	3	3.03	 	1	1.01	 	0	0	 	1	1.01	 	0	0	 	99	98.02	 	2	1.98	 	101	0.14
Lavers Hill		                                	4	2.04	 	0	0	 	1	0.51	 	4	2.04	 	7	3.57	 	3	1.53	 	107	54.59	 	1	0.51	 	49	25	 	9	4.59	 	0	0	 	8	4.08	 	3	1.53	 	196	98.99	 	2	1.01	 	198	0.27
