Senate - 1993 Election: Western Australia																																											
First Preference Votes by Group																																											
By Polling Place																																											


Brand (80370)																																											

	   		Group Total CTA			Group Total NLP			Group Total GWA			Group Total RPA			Group Total ALP			Group Total LP			Group Total CEG			Group Total DEM			Group Total NP			Group Total - Unendorsed Group J			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Toodyay		                                    	6	0.5	 	2	0.17	 	103	8.6	 	0	0	 	337	28.15	 	595	49.71	 	3	0.25	 	45	3.76	 	103	8.6	 	0	0	 	3	0.25	 	1197	97.24	 	34	2.76	 	1231	1.77
Walliston		                                  	28	1.89	 	8	0.54	 	85	5.73	 	1	0.07	 	419	28.25	 	826	55.7	 	0	0	 	86	5.8	 	27	1.82	 	2	0.13	 	1	0.07	 	1483	98.6	 	21	1.4	 	1504	2.17
Wattle Grove		                               	10	2.19	 	1	0.22	 	11	2.41	 	1	0.22	 	128	28.07	 	266	58.33	 	1	0.22	 	30	6.58	 	2	0.44	 	6	1.32	 	0	0	 	456	98.92	 	5	1.08	 	461	0.66
Wooroloo		                                   	4	1.16	 	1	0.29	 	37	10.69	 	1	0.29	 	90	26.01	 	167	48.27	 	0	0	 	20	5.78	 	26	7.51	 	0	0	 	0	0	 	346	98.3	 	6	1.7	 	352	0.51
Wundowie		                                   	4	0.72	 	2	0.36	 	36	6.46	 	1	0.18	 	298	53.5	 	167	29.98	 	1	0.18	 	27	4.85	 	19	3.41	 	1	0.18	 	1	0.18	 	557	97.55	 	14	2.45	 	571	0.82
Special Hospitals		                          	6	2.83	 	1	0.47	 	6	2.83	 	0	0	 	49	23.11	 	137	64.62	 	1	0.47	 	6	2.83	 	6	2.83	 	0	0	 	0	0	 	212	97.25	 	6	2.75	 	218	0.31
Total Ordinary		                             	806	1.35	 	170	0.28	 	4018	6.72	 	94	0.16	 	19589	32.77	 	30453	50.95	 	52	0.09	 	2961	4.95	 	1402	2.35	 	109	0.18	 	120	0.2	 	59774	98.15	 	1128	1.85	 	60902	87.75
ABSENT		                                     	87	1.67	 	26	0.5	 	472	9.04	 	13	0.25	 	1673	32.03	 	2559	48.99	 	7	0.13	 	248	4.75	 	126	2.41	 	6	0.11	 	6	0.11	 	5223	98.86	 	60	1.14	 	5283	7.61
POSTAL		                                     	10	0.89	 	1	0.09	 	62	5.51	 	0	0	 	284	25.22	 	667	59.24	 	4	0.36	 	51	4.53	 	42	3.73	 	0	0	 	5	0.44	 	1126	98.51	 	17	1.49	 	1143	1.65
PRE_POLL		                                   	15	0.83	 	3	0.17	 	117	6.51	 	0	0	 	493	27.43	 	1025	57.04	 	3	0.17	 	97	5.4	 	40	2.23	 	1	0.06	 	3	0.17	 	1797	99.28	 	13	0.72	 	1810	2.61
PROVISIONAL		                                	3	1.2	 	0	0	 	17	6.83	 	2	0.8	 	100	40.16	 	109	43.78	 	0	0	 	12	4.82	 	5	2.01	 	0	0	 	1	0.4	 	249	96.89	 	8	3.11	 	257	0.37
ADJUSTMENT		                                 	-4		       	3		       	4		       	-1		       	1		       	10		       	1		       	4		       	4		       	1		       	1		       	24		       	-15		       	9	
Division Summary		                           	917	1.34	 	203	0.3	 	4690	6.88	 	108	0.16	 	22140	32.47	 	34823	51.07	 	67	0.1	 	3373	4.95	 	1619	2.37	 	117	0.17	 	136	0.2	 	68193	98.26	 	1211	1.74	 	69404	96.56
 																																											


Perth (74344)																																											

	   		Group Total CTA			Group Total NLP			Group Total GWA			Group Total RPA			Group Total ALP			Group Total LP			Group Total CEG			Group Total DEM			Group Total NP			Group Total - Unendorsed Group J			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Alexander Park		                             	7	0.59	 	1	0.08	 	69	5.8	 	1	0.08	 	327	27.5	 	728	61.23	 	1	0.08	 	51	4.29	 	4	0.34	 	0	0	 	0	0	 	1189	98.18	 	22	1.82	 	1211	1.71
Ashfield		                                   	13	1.17	 	2	0.18	 	69	6.19	 	4	0.36	 	569	51.08	 	404	36.27	 	3	0.27	 	40	3.59	 	7	0.63	 	1	0.09	 	2	0.18	 	1114	96.37	 	42	3.63	 	1156	1.63
Bassendean		                                 	23	1.19	 	1	0.05	 	88	4.57	 	2	0.1	 	952	49.4	 	768	39.85	 	1	0.05	 	55	2.85	 	24	1.25	 	6	0.31	 	7	0.36	 	1927	97.03	 	59	2.97	 	1986	2.8
Bassendean South		                           	22	0.94	 	6	0.26	 	181	7.75	 	4	0.17	 	1016	43.53	 	968	41.47	 	4	0.17	 	118	5.06	 	12	0.51	 	1	0.04	 	2	0.09	 	2334	97.58	 	58	2.42	 	2392	3.37
Bayswater		                                  	37	1.39	 	16	0.6	 	219	8.23	 	4	0.15	 	1229	46.19	 	1002	37.66	 	6	0.23	 	135	5.07	 	11	0.41	 	0	0	 	2	0.08	 	2661	97.15	 	78	2.85	 	2739	3.86
Bedford Park		                               	20	1.53	 	10	0.76	 	98	7.48	 	2	0.15	 	602	45.92	 	520	39.66	 	1	0.08	 	55	4.2	 	2	0.15	 	0	0	 	1	0.08	 	1311	96.47	 	48	3.53	 	1359	1.91
Bedford West		                               	24	1.87	 	3	0.23	 	62	4.82	 	2	0.16	 	579	45.06	 	562	43.74	 	0	0	 	45	3.5	 	6	0.47	 	1	0.08	 	1	0.08	 	1285	98.02	 	26	1.98	 	1311	1.85
Beechboro		                                  	38	1.81	 	2	0.1	 	81	3.86	 	4	0.19	 	1248	59.4	 	654	31.13	 	1	0.05	 	61	2.9	 	8	0.38	 	1	0.05	 	3	0.14	 	2101	97.27	 	59	2.73	 	2160	3.04
Beechboro East		                             	30	1.4	 	2	0.09	 	87	4.06	 	3	0.14	 	1213	56.55	 	718	33.47	 	4	0.19	 	76	3.54	 	8	0.37	 	3	0.14	 	1	0.05	 	2145	98.39	 	35	1.61	 	2180	3.07
Bellevue		                                   	13	1.69	 	4	0.52	 	41	5.32	 	3	0.39	 	375	48.7	 	290	37.66	 	0	0	 	36	4.68	 	4	0.52	 	2	0.26	 	2	0.26	 	770	98.09	 	15	1.91	 	785	1.11
Caversham		                                  	1	0.23	 	1	0.23	 	24	5.58	 	2	0.47	 	168	39.07	 	220	51.16	 	1	0.23	 	11	2.56	 	1	0.23	 	0	0	 	1	0.23	 	430	95.98	 	18	4.02	 	448	0.63
Coolbinia		                                  	3	0.49	 	4	0.65	 	54	8.84	 	1	0.16	 	145	23.73	 	374	61.21	 	0	0	 	26	4.26	 	4	0.65	 	0	0	 	0	0	 	611	98.71	 	8	1.29	 	619	0.87
Dianella		                                   	24	1.5	 	2	0.12	 	78	4.87	 	0	0	 	679	42.41	 	737	46.03	 	2	0.12	 	67	4.18	 	7	0.44	 	2	0.12	 	3	0.19	 	1601	97.62	 	39	2.38	 	1640	2.31
Dianella Central		                           	51	2.4	 	5	0.24	 	80	3.77	 	8	0.38	 	879	41.38	 	1009	47.5	 	3	0.14	 	70	3.3	 	13	0.61	 	2	0.09	 	4	0.19	 	2124	97.3	 	59	2.7	 	2183	3.08
Dianella North		                             	14	1.35	 	2	0.19	 	40	3.86	 	2	0.19	 	415	40.06	 	513	49.52	 	0	0	 	43	4.15	 	2	0.19	 	2	0.19	 	3	0.29	 	1036	97.92	 	22	2.08	 	1058	1.49
East Perth		                                 	20	3.7	 	2	0.37	 	44	8.15	 	0	0	 	232	42.96	 	215	39.81	 	1	0.19	 	18	3.33	 	7	1.3	 	1	0.19	 	0	0	 	540	99.08	 	5	0.92	 	545	0.77
Eden Hill		                                  	52	1.64	 	10	0.31	 	109	3.43	 	8	0.25	 	1747	54.99	 	1110	34.94	 	2	0.06	 	126	3.97	 	7	0.22	 	1	0.03	 	5	0.16	 	3177	96.57	 	113	3.43	 	3290	4.64
Embleton		                                   	31	1.44	 	4	0.19	 	92	4.27	 	6	0.28	 	1079	50.12	 	833	38.69	 	2	0.09	 	91	4.23	 	8	0.37	 	1	0.05	 	6	0.28	 	2153	96.89	 	69	3.11	 	2222	3.13
Forrest Park		                               	2	0.71	 	0	0	 	23	8.16	 	1	0.35	 	138	48.94	 	96	34.04	 	0	0	 	18	6.38	 	1	0.35	 	2	0.71	 	1	0.35	 	282	96.25	 	11	3.75	 	293	0.41
Guildford		                                  	18	1.45	 	5	0.4	 	105	8.47	 	1	0.08	 	488	39.35	 	562	45.32	 	0	0	 	52	4.19	 	7	0.56	 	2	0.16	 	0	0	 	1240	96.57	 	44	3.43	 	1284	1.81
Hazelmere		                                  	5	0.82	 	5	0.82	 	45	7.34	 	1	0.16	 	233	38.01	 	282	46	 	0	0	 	32	5.22	 	7	1.14	 	2	0.33	 	1	0.16	 	613	98.39	 	10	1.61	 	623	0.88
Highgate		                                   	31	1.27	 	16	0.65	 	222	9.09	 	6	0.25	 	1295	53.01	 	763	31.23	 	3	0.12	 	94	3.85	 	6	0.25	 	2	0.08	 	5	0.2	 	2443	94.22	 	150	5.78	 	2593	3.65
Hillcrest		                                  	24	1.1	 	4	0.18	 	143	6.56	 	10	0.46	 	1027	47.11	 	845	38.76	 	7	0.32	 	101	4.63	 	10	0.46	 	8	0.37	 	1	0.05	 	2180	97.23	 	62	2.77	 	2242	3.16
Hyde Park		                                  	4	1.36	 	1	0.34	 	37	12.54	 	0	0	 	116	39.32	 	122	41.36	 	0	0	 	14	4.75	 	1	0.34	 	0	0	 	0	0	 	295	95.78	 	13	4.22	 	308	0.43
Inglewood		                                  	20	1.23	 	9	0.56	 	131	8.09	 	1	0.06	 	723	44.63	 	651	40.19	 	1	0.06	 	74	4.57	 	5	0.31	 	2	0.12	 	3	0.19	 	1620	96.14	 	65	3.86	 	1685	2.37
Inglewood Home of Peace		                    	4	1.35	 	1	0.34	 	13	4.39	 	0	0	 	127	42.91	 	134	45.27	 	1	0.34	 	12	4.05	 	2	0.68	 	1	0.34	 	1	0.34	 	296	98.67	 	4	1.33	 	300	0.42
Inglewood North		                            	16	1.15	 	4	0.29	 	112	8.08	 	1	0.07	 	552	39.83	 	622	44.88	 	0	0	 	72	5.19	 	4	0.29	 	1	0.07	 	2	0.14	 	1386	97.19	 	40	2.81	 	1426	2.01
Lockridge		                                  	15	0.77	 	1	0.05	 	78	4.02	 	3	0.15	 	1296	66.84	 	482	24.86	 	2	0.1	 	55	2.84	 	3	0.15	 	3	0.15	 	1	0.05	 	1939	96.56	 	69	3.44	 	2008	2.83
Maylands		                                   	34	1.27	 	11	0.41	 	161	6	 	8	0.3	 	1280	47.71	 	1026	38.24	 	3	0.11	 	146	5.44	 	7	0.26	 	3	0.11	 	4	0.15	 	2683	96.93	 	85	3.07	 	2768	3.9
Maylands East		                              	12	0.78	 	1	0.07	 	102	6.67	 	0	0	 	687	44.93	 	621	40.61	 	0	0	 	83	5.43	 	16	1.05	 	4	0.26	 	3	0.2	 	1529	98.01	 	31	1.99	 	1560	2.2
Menora		                                     	3	0.57	 	0	0	 	10	1.92	 	1	0.19	 	181	34.67	 	305	58.43	 	0	0	 	18	3.45	 	4	0.77	 	0	0	 	0	0	 	522	95.08	 	27	4.92	 	549	0.77
Midland		                                    	52	1.9	 	8	0.29	 	144	5.25	 	4	0.15	 	1518	55.32	 	901	32.84	 	4	0.15	 	88	3.21	 	16	0.58	 	6	0.22	 	3	0.11	 	2744	94.49	 	160	5.51	 	2904	4.09
Midvale		                                    	18	1.11	 	3	0.19	 	58	3.59	 	4	0.25	 	977	60.42	 	492	30.43	 	1	0.06	 	54	3.34	 	4	0.25	 	5	0.31	 	1	0.06	 	1617	96.48	 	59	3.52	 	1676	2.36
Morley		                                     	6	0.8	 	2	0.27	 	35	4.69	 	1	0.13	 	321	42.97	 	350	46.85	 	1	0.13	 	27	3.61	 	2	0.27	 	0	0	 	2	0.27	 	747	96.39	 	28	3.61	 	775	1.09
Mount Lawley		                               	25	0.96	 	7	0.27	 	249	9.56	 	2	0.08	 	828	31.79	 	1359	52.17	 	2	0.08	 	115	4.41	 	14	0.54	 	2	0.08	 	2	0.08	 	2605	97.93	 	55	2.07	 	2660	3.75
Mount Lawley East		                          	7	0.77	 	2	0.22	 	81	8.89	 	0	0	 	329	36.11	 	440	48.3	 	0	0	 	44	4.83	 	6	0.66	 	0	0	 	2	0.22	 	911	98.49	 	14	1.51	 	925	1.3
Mount Lawley West		                          	7	0.94	 	10	1.35	 	80	10.77	 	2	0.27	 	351	47.24	 	255	34.32	 	0	0	 	34	4.58	 	4	0.54	 	0	0	 	0	0	 	743	95.38	 	36	4.62	 	779	1.1
Northbridge		                                	0	0	 	4	2.41	 	21	12.65	 	0	0	 	85	51.2	 	46	27.71	 	1	0.6	 	9	5.42	 	0	0	 	0	0	 	0	0	 	166	97.08	 	5	2.92	 	171	0.24
North Perth		                                	4	0.45	 	4	0.45	 	75	8.41	 	1	0.11	 	358	40.13	 	407	45.63	 	1	0.11	 	37	4.15	 	4	0.45	 	0	0	 	1	0.11	 	892	95.91	 	38	4.09	 	930	1.31
North Perth Central		                        	16	0.81	 	10	0.51	 	155	7.83	 	6	0.3	 	1000	50.53	 	705	35.62	 	5	0.25	 	66	3.34	 	13	0.66	 	2	0.1	 	1	0.05	 	1979	94.1	 	124	5.9	 	2103	2.96
Perth (Perth)		                              	11	1.79	 	5	0.81	 	60	9.76	 	3	0.49	 	292	47.48	 	205	33.33	 	2	0.33	 	30	4.88	 	5	0.81	 	1	0.16	 	1	0.16	 	615	94.91	 	33	5.09	 	648	0.91
Royal Perth Hospital		                       	7	3.35	 	2	0.96	 	7	3.35	 	1	0.48	 	102	48.8	 	82	39.23	 	0	0	 	6	2.87	 	2	0.96	 	0	0	 	0	0	 	209	97.21	 	6	2.79	 	215	0.3
St Anne's Hospital		                         	7	1.55	 	2	0.44	 	35	7.73	 	0	0	 	170	37.53	 	219	48.34	 	0	0	 	16	3.53	 	2	0.44	 	0	0	 	2	0.44	 	453	95.97	 	19	4.03	 	472	0.67
Special Hospitals		                          	7	0.95	 	2	0.27	 	5	0.68	 	3	0.41	 	304	41.36	 	399	54.29	 	2	0.27	 	9	1.22	 	3	0.41	 	1	0.14	 	0	0	 	735	95.33	 	36	4.67	 	771	1.09
Total Ordinary		                             	778	1.3	 	196	0.33	 	3703	6.18	 	116	0.19	 	28232	47.09	 	23996	40.02	 	68	0.11	 	2430	4.05	 	283	0.47	 	71	0.12	 	80	0.13	 	59953	96.77	 	1999	3.23	 	61952	87.3
ABSENT		                                     	63	1.21	 	30	0.58	 	484	9.29	 	12	0.23	 	2288	43.92	 	1999	38.38	 	5	0.1	 	264	5.07	 	42	0.81	 	10	0.19	 	12	0.23	 	5209	98.41	 	84	1.59	 	5293	7.46
POSTAL		                                     	25	1.4	 	0	0	 	74	4.13	 	5	0.28	 	724	40.42	 	894	49.92	 	3	0.17	 	46	2.57	 	13	0.73	 	1	0.06	 	6	0.34	 	1791	98.68	 	24	1.32	 	1815	2.56
PRE_POLL		                                   	12	0.85	 	4	0.28	 	109	7.71	 	3	0.21	 	606	42.89	 	601	42.53	 	3	0.21	 	64	4.53	 	5	0.35	 	2	0.14	 	4	0.28	 	1413	98.74	 	18	1.26	 	1431	2.02
PROVISIONAL		                                	10	2.17	 	3	0.65	 	35	7.59	 	1	0.22	 	223	48.37	 	172	37.31	 	1	0.22	 	11	2.39	 	3	0.65	 	2	0.43	 	0	0	 	461	96.04	 	19	3.96	 	480	0.68
ADJUSTMENT		                                 	3		       	2		       	3		       	0		       	13		       	3		       	2		       	2		       	-3		       	7		       	-2		       	30		       	-34		       	-4	
Division Summary		                           	891	1.29	 	235	0.34	 	4408	6.4	 	137	0.2	 	32086	46.6	 	27665	40.18	 	82	0.12	 	2817	4.09	 	343	0.5	 	93	0.14	 	100	0.15	 	68857	97.03	 	2110	2.97	 	70967	95.46
 																																											


Stirling (73306)																																											

	   		Group Total CTA			Group Total NLP			Group Total GWA			Group Total RPA			Group Total ALP			Group Total LP			Group Total CEG			Group Total DEM			Group Total NP			Group Total - Unendorsed Group J			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Balcatta		                                   	29	0.9	 	11	0.34	 	100	3.11	 	10	0.31	 	1565	48.6	 	1365	42.39	 	4	0.12	 	116	3.6	 	13	0.4	 	3	0.09	 	4	0.12	 	3220	93.5	 	224	6.5	 	3444	4.86
Balcatta Central		                           	19	0.67	 	8	0.28	 	82	2.88	 	6	0.21	 	1352	47.42	 	1303	45.7	 	2	0.07	 	68	2.39	 	8	0.28	 	3	0.11	 	0	0	 	2851	95	 	150	5	 	3001	4.24
Balcatta North		                             	16	0.7	 	8	0.35	 	102	4.45	 	2	0.09	 	1062	46.34	 	1011	44.11	 	1	0.04	 	76	3.32	 	8	0.35	 	2	0.09	 	4	0.17	 	2292	96.26	 	89	3.74	 	2381	3.36
Balga		                                      	12	0.58	 	4	0.19	 	84	4.07	 	1	0.05	 	1295	62.77	 	560	27.14	 	1	0.05	 	90	4.36	 	8	0.39	 	3	0.15	 	5	0.24	 	2063	96.81	 	68	3.19	 	2131	3.01
Balga South		                                	34	1.32	 	10	0.39	 	114	4.43	 	2	0.08	 	1520	59.08	 	816	31.71	 	4	0.16	 	66	2.57	 	7	0.27	 	0	0	 	0	0	 	2573	95.94	 	109	4.06	 	2682	3.79
Deanmore		                                   	19	1.27	 	6	0.4	 	110	7.37	 	5	0.33	 	445	29.81	 	806	53.99	 	1	0.07	 	80	5.36	 	17	1.14	 	2	0.13	 	2	0.13	 	1493	97.9	 	32	2.1	 	1525	2.15
Dianella East		                              	1	0.13	 	1	0.13	 	20	2.53	 	2	0.25	 	210	26.55	 	538	68.02	 	0	0	 	17	2.15	 	2	0.25	 	0	0	 	0	0	 	791	97.53	 	20	2.47	 	811	1.14
Dianella Heights		                           	9	0.49	 	2	0.11	 	79	4.32	 	4	0.22	 	500	27.32	 	1158	63.28	 	2	0.11	 	68	3.72	 	6	0.33	 	1	0.05	 	1	0.05	 	1830	97.29	 	51	2.71	 	1881	2.66
Dianella West		                              	9	0.54	 	1	0.06	 	63	3.75	 	0	0	 	506	30.12	 	1035	61.61	 	1	0.06	 	51	3.04	 	6	0.36	 	6	0.36	 	2	0.12	 	1680	98.02	 	34	1.98	 	1714	2.42
Doubleview		                                 	20	0.62	 	10	0.31	 	264	8.24	 	10	0.31	 	1089	33.98	 	1644	51.29	 	2	0.06	 	143	4.46	 	18	0.56	 	2	0.06	 	3	0.09	 	3205	98.37	 	53	1.63	 	3258	4.6
Doubleview Central		                         	11	0.95	 	3	0.26	 	96	8.28	 	4	0.34	 	460	39.66	 	524	45.17	 	0	0	 	56	4.83	 	4	0.34	 	1	0.09	 	1	0.09	 	1160	97.56	 	29	2.44	 	1189	1.68
Doubleview North		                           	11	0.76	 	5	0.34	 	104	7.15	 	2	0.14	 	624	42.92	 	637	43.81	 	1	0.07	 	60	4.13	 	9	0.62	 	0	0	 	1	0.07	 	1454	97.85	 	32	2.15	 	1486	2.1
Innaloo		                                    	14	0.86	 	6	0.37	 	79	4.86	 	3	0.18	 	702	43.15	 	752	46.22	 	0	0	 	67	4.12	 	4	0.25	 	0	0	 	0	0	 	1627	96.9	 	52	3.1	 	1679	2.37
Innaloo North		                              	5	0.3	 	7	0.42	 	90	5.43	 	3	0.18	 	856	51.69	 	593	35.81	 	0	0	 	75	4.53	 	23	1.39	 	1	0.06	 	3	0.18	 	1656	96.22	 	65	3.78	 	1721	2.43
Karrinyup		                                  	21	0.71	 	9	0.3	 	151	5.09	 	7	0.24	 	741	24.97	 	1907	64.27	 	2	0.07	 	119	4.01	 	7	0.24	 	1	0.03	 	2	0.07	 	2967	98.34	 	50	1.66	 	3017	4.26
Lake Gwelup		                                	3	0.39	 	2	0.26	 	56	7.29	 	1	0.13	 	263	34.24	 	410	53.39	 	0	0	 	28	3.65	 	5	0.65	 	0	0	 	0	0	 	768	96.97	 	24	3.03	 	792	1.12
Mirrabooka		                                 	19	0.86	 	3	0.14	 	91	4.12	 	4	0.18	 	1187	53.71	 	827	37.42	 	2	0.09	 	69	3.12	 	5	0.23	 	2	0.09	 	1	0.05	 	2210	96.55	 	79	3.45	 	2289	3.23
Mirrabooka Central		                         	11	0.67	 	4	0.24	 	52	3.18	 	4	0.24	 	1011	61.83	 	472	28.87	 	3	0.18	 	70	4.28	 	7	0.43	 	0	0	 	1	0.06	 	1635	96.92	 	52	3.08	 	1687	2.38
Mirrabooka East		                            	10	0.71	 	7	0.5	 	47	3.36	 	2	0.14	 	889	63.55	 	401	28.66	 	4	0.29	 	34	2.43	 	5	0.36	 	0	0	 	0	0	 	1399	97.09	 	42	2.91	 	1441	2.03
Nollamara		                                  	27	1.23	 	4	0.18	 	105	4.8	 	4	0.18	 	1119	51.12	 	824	37.64	 	3	0.14	 	90	4.11	 	10	0.46	 	3	0.14	 	0	0	 	2189	95.55	 	102	4.45	 	2291	3.23
Nollamara North		                            	3	0.85	 	0	0	 	16	4.56	 	1	0.28	 	224	63.82	 	98	27.92	 	0	0	 	7	1.99	 	0	0	 	0	0	 	2	0.57	 	351	96.96	 	11	3.04	 	362	0.51
Osborne		                                    	20	1.39	 	0	0	 	59	4.1	 	7	0.49	 	687	47.77	 	608	42.28	 	0	0	 	55	3.82	 	0	0	 	0	0	 	2	0.14	 	1438	95.8	 	63	4.2	 	1501	2.12
Osborne East		                               	11	1.32	 	0	0	 	25	2.99	 	1	0.12	 	371	44.38	 	388	46.41	 	0	0	 	31	3.71	 	6	0.72	 	1	0.12	 	2	0.24	 	836	95.22	 	42	4.78	 	878	1.24
Osborne Park		                               	8	1.2	 	3	0.45	 	37	5.57	 	2	0.3	 	252	37.95	 	339	51.05	 	2	0.3	 	19	2.86	 	2	0.3	 	0	0	 	0	0	 	664	96.79	 	22	3.21	 	686	0.97
Perth (Stirling)		                           	0	0	 	1	0.77	 	13	10	 	0	0	 	59	45.38	 	50	38.46	 	0	0	 	6	4.62	 	0	0	 	0	0	 	1	0.77	 	130	97.74	 	3	2.26	 	133	0.19
Scarborough		                                	2	0.14	 	3	0.21	 	115	8.11	 	1	0.07	 	501	35.33	 	709	50	 	0	0	 	83	5.85	 	2	0.14	 	1	0.07	 	1	0.07	 	1418	97.79	 	32	2.21	 	1450	2.05
Scarborough Central		                        	8	0.74	 	5	0.46	 	101	9.3	 	0	0	 	374	34.44	 	538	49.54	 	3	0.28	 	44	4.05	 	10	0.92	 	2	0.18	 	1	0.09	 	1086	98.64	 	15	1.36	 	1101	1.55
Trigg		                                      	14	1.09	 	14	1.09	 	87	6.75	 	3	0.23	 	318	24.69	 	778	60.4	 	0	0	 	60	4.66	 	11	0.85	 	0	0	 	3	0.23	 	1288	98.77	 	16	1.23	 	1304	1.84
Tuart Hill		                                 	11	0.82	 	7	0.52	 	63	4.69	 	2	0.15	 	666	49.59	 	530	39.46	 	1	0.07	 	60	4.47	 	2	0.15	 	0	0	 	1	0.07	 	1343	96.07	 	55	3.93	 	1398	1.97
Wembley Downs		                              	19	0.67	 	6	0.21	 	208	7.33	 	2	0.07	 	663	23.36	 	1792	63.14	 	1	0.04	 	125	4.4	 	19	0.67	 	1	0.04	 	2	0.07	 	2838	98.54	 	42	1.46	 	2880	4.07
Woodlands		                                  	8	0.38	 	8	0.38	 	102	4.89	 	5	0.24	 	469	22.46	 	1406	67.34	 	0	0	 	70	3.35	 	16	0.77	 	1	0.05	 	3	0.14	 	2088	98.54	 	31	1.46	 	2119	2.99
Woodlands North		                            	8	0.56	 	3	0.21	 	81	5.7	 	2	0.14	 	336	23.63	 	895	62.94	 	0	0	 	89	6.26	 	6	0.42	 	0	0	 	2	0.14	 	1422	98.2	 	26	1.8	 	1448	2.04
Yokine		                                     	7	0.45	 	2	0.13	 	66	4.27	 	1	0.06	 	601	38.9	 	789	51.07	 	0	0	 	67	4.34	 	5	0.32	 	5	0.32	 	2	0.13	 	1545	96.8	 	51	3.2	 	1596	2.25
Yokine North		                               	22	1.12	 	8	0.41	 	77	3.93	 	4	0.2	 	801	40.85	 	952	48.55	 	1	0.05	 	89	4.54	 	5	0.25	 	1	0.05	 	1	0.05	 	1961	96.41	 	73	3.59	 	2034	2.87
Yokine West		                                	6	0.42	 	3	0.21	 	75	5.31	 	4	0.28	 	574	40.65	 	701	49.65	 	1	0.07	 	42	2.97	 	5	0.35	 	1	0.07	 	0	0	 	1412	97.58	 	35	2.42	 	1447	2.04
Special Hospitals		                          	1	0.19	 	0	0	 	2	0.39	 	1	0.19	 	123	23.88	 	377	73.2	 	1	0.19	 	5	0.97	 	4	0.78	 	1	0.19	 	0	0	 	515	98.28	 	9	1.72	 	524	0.74
Total Ordinary		                             	448	0.75	 	174	0.29	 	3016	5.08	 	112	0.19	 	24415	41.1	 	28533	48.04	 	43	0.07	 	2295	3.86	 	265	0.45	 	44	0.07	 	53	0.09	 	59398	96.93	 	1883	3.07	 	61281	86.52
ABSENT		                                     	74	1.39	 	21	0.39	 	437	8.19	 	8	0.15	 	2037	38.18	 	2487	46.62	 	7	0.13	 	216	4.05	 	36	0.67	 	7	0.13	 	5	0.09	 	5335	98.25	 	95	1.75	 	5430	7.67
POSTAL		                                     	8	0.49	 	6	0.37	 	60	3.68	 	2	0.12	 	693	42.52	 	776	47.61	 	2	0.12	 	57	3.5	 	18	1.1	 	1	0.06	 	7	0.43	 	1630	98.91	 	18	1.09	 	1648	2.33
PRE_POLL		                                   	17	0.84	 	8	0.4	 	141	6.97	 	5	0.25	 	676	33.42	 	1074	53.09	 	2	0.1	 	75	3.71	 	19	0.94	 	1	0.05	 	5	0.25	 	2023	99.07	 	19	0.93	 	2042	2.88
PROVISIONAL		                                	7	1.69	 	2	0.48	 	32	7.73	 	0	0	 	213	51.45	 	150	36.23	 	0	0	 	10	2.42	 	0	0	 	0	0	 	0	0	 	414	96.06	 	17	3.94	 	431	0.61
ADJUSTMENT		                                 	3		       	1		       	4		       	0		       	8		       	10		       	1		       	1		       	0		       	1		       	0		       	29		       	-29		       	0	
Division Summary		                           	557	0.81	 	212	0.31	 	3690	5.36	 	127	0.18	 	28042	40.74	 	33030	47.99	 	55	0.08	 	2654	3.86	 	338	0.49	 	54	0.08	 	70	0.1	 	68829	97.17	 	2003	2.83	 	70832	96.63
 																																											


Swan (72928)																																											

	   		Group Total CTA			Group Total NLP			Group Total GWA			Group Total RPA			Group Total ALP			Group Total LP			Group Total CEG			Group Total DEM			Group Total NP			Group Total - Unendorsed Group J			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Beckenham Central		                          	25	1.45	 	5	0.29	 	89	5.17	 	4	0.23	 	855	49.71	 	672	39.07	 	1	0.06	 	52	3.02	 	9	0.52	 	4	0.23	 	4	0.23	 	1720	97.95	 	36	2.05	 	1756	2.51
Belmont		                                    	9	0.82	 	2	0.18	 	38	3.46	 	2	0.18	 	511	46.54	 	494	44.99	 	1	0.09	 	35	3.19	 	3	0.27	 	2	0.18	 	1	0.09	 	1098	97.17	 	32	2.83	 	1130	1.62
