House of Representatives - 1996 Election 							
Swing to ALP 							
By Division by Polling Place							

New South Wales							

Banks							

Polling Place	Formal	MELHAM		SPARKES		Swing	Exh
Cutheringa	1058	495	46.92	560	53.08	-9.35	3
Deeragun	947	383	40.57	561	59.43	-15.52	3
Douglas	450	200	44.54	249	55.46	-6.37	1
Garbutt	1527	893	58.67	629	41.33	-9.09	5
Heatley	3575	1480	41.48	2088	58.52	-9.17	7
Hermit Park	1776	832	47.01	938	52.99	-9.19	6
Hermit Park South	1573	694	44.37	870	55.63	-8.08	9
Kelso	1841	800	43.57	1036	56.43	-13.12	5
Kirwan	2078	848	40.89	1226	59.11	-9.37	4
Kirwan South	3461	1392	40.3	2062	59.7	-9.54	7
Lavarack Barracks	537	146	27.24	390	72.76	-7.83	1
Mount Louisa	1312	501	38.22	810	61.78	-14.12	1
Mundingburra	3370	1395	41.6	1958	58.4	-10.34	17
Mundingburra South	1155	481	41.75	671	58.25	-5.85	3
Nelly Bay	479	174	36.4	304	63.6	-6.04	1
North Ward	2407	928	38.65	1473	61.35	-5.57	6
Oonoonba	957	554	57.95	402	42.05	-14.94	1
Pallarenda	557	211	38.02	344	61.98	-4.48	2
Palm Island	697	496	71.57	197	28.43	-22.88	4
Picnic Bay	219	99	45.41	119	54.59	-13.07	1
Pimlico	2256	1000	44.4	1252	55.6	-7.39	4
Prison Mobile Team 1	6	4	66.67	2	33.33	-	0
Railway Estate	1496	827	55.43	665	44.57	-7.73	4
Rasmussen	2214	959	43.39	1251	56.61	-12.62	4
Special Hospital Team 1	161	54	33.54	107	66.46	-	0
Special Hospital Team 2	208	84	40.38	124	59.62	-	0
Stuart	586	262	44.71	324	55.29	-11.57	0
The Weir	2291	920	40.24	1366	59.76	-10.6	5
Townsville City	651	295	45.45	354	54.55	-8.87	2
Townsville Hospital	594	280	47.38	311	52.62	-13.17	3
Townsville South	899	449	50.06	448	49.94	-12.94	2
Townsville West	802	369	46.42	426	53.58	-14.34	7
Vincent	1648	739	44.92	906	55.08	-7.69	3
Willows	685	249	36.46	434	63.54	-13.68	2
Woodstock	322	90	28.12	230	71.87	-7.54	2
Wulguru	2946	1381	47.17	1547	52.83	-10.43	18
ABSENT	3448	1452	42.2	1989	57.8	-	7
POSTAL	2372	1113	46.94	1258	53.06	-	1
PRE POLL	3319	1333	40.28	1976	59.72	-	10
PROVISIONAL	463	225	48.7	237	51.3	-	1
Division Total	75886	32852	43.41	42826	56.59	-9.9	208


Hinkler							

Polling Place	Formal	COURTICE		NEVILLE		Swing	Exh
	Votes	(ALP)	%	(NP)	%	%	
Abercorn	60	5	8.33	55	91.67	-3.33	0
Agnes Water	463	136	29.44	326	70.56	-15.96	1
Alloway	391	84	21.48	307	78.52	-3.59	0
Ambrose	209	80	38.28	129	61.72	-9.98	0
Apple Tree Creek	325	111	34.26	213	65.74	-15.25	1
Avoca	2737	980	35.87	1752	64.13	-9.6	5
Avondale	245	77	32.08	163	67.92	-11.59	5
Bancroft	141	19	13.48	122	86.52	-4.06	0
Bargara	2366	869	36.88	1487	63.12	-7.86	10
Benaraby	434	150	34.72	282	65.28	-18.83	2
Biloela	3197	1100	34.47	2091	65.53	-9.4	6
Booyal	119	36	30.25	83	69.75	2.54	0
Bororen	292	84	28.77	208	71.23	-8.57	0
Boyne Island	1889	903	47.93	981	52.07	-10.28	5
Bracewell	68	17	25	51	75	-16.56	0
Branyan	647	234	36.34	410	63.66	-3.16	3
Brisbane City (Hinkler)	105	39	37.14	66	62.86	-16.76	0
Builyan	77	19	24.68	58	75.32	-17.26	0
Bullyard	301	62	20.67	238	79.33	-9.08	1
Bundaberg	1858	785	42.27	1072	57.73	-11.19	1
Bundaberg Base Hospital	401	161	40.35	238	59.65	-12.06	2
Bundaberg Central	725	341	47.03	384	52.97	5.35	0
Bundaberg East	1657	688	41.55	968	58.45	-8.15	1
Bundaberg North	1276	583	45.73	692	54.27	-14.38	1
Bundaberg North West	1343	584	43.65	754	56.35	-10.99	5
Bundaberg South	1962	846	43.19	1113	56.81	-10.14	3
Bundaberg West	2207	944	42.83	1260	57.17	-11.2	3
Burnett Heads	1079	462	42.94	614	57.06	-13.17	3
Calliope	1390	570	41.04	819	58.96	-7.92	1
Childers	1476	581	39.55	888	60.45	-9.1	7
Clinton	2919	1527	52.44	1385	47.56	17.29	7
Cordalba	345	134	38.95	210	61.05	-6.83	1
Cracow	66	15	22.73	51	77.27	-21.48	0
Eidsvold	389	102	26.22	287	73.78	-9.96	0
Elliott Heads	551	206	37.39	345	62.61	-9	0
Gin Gin	1386	398	28.78	985	71.22	-6.6	3
Givelda	181	43	24.02	136	75.98	-7.98	2
Gladstone	1878	913	48.85	956	51.15	-11.98	9
Gladstone South	2264	1239	54.87	1019	45.13	-12.68	6
Gladstone Valley	839	431	51.68	403	48.32	-11.82	5
Gladstone West	1695	833	49.26	858	50.74	-13.16	4
Gooburrum	396	101	25.51	295	74.49	-9.79	0
Goodwood	174	75	43.1	99	56.9	-13.79	0
Goovigen	105	19	18.1	86	81.9	-2.34	0
Isis North	115	24	20.87	91	79.13	-6.18	0
Jambin	179	24	13.41	155	86.59	-6.12	0
Kalkie	719	206	28.65	513	71.35	-5.89	0
Kepnock	1401	524	37.43	876	62.57	-15.98	1
Kin Kora	2032	1048	51.65	981	48.35	-11.56	3
Lawgi	121	9	7.5	111	92.5	-4.09	1
Lowmead	102	28	27.45	74	72.55	-12.11	0
Millbank	1316	561	42.63	755	57.37	-10	0
Miriam Vale	462	113	24.46	349	75.54	-9.98	0
Monto	1124	208	18.52	915	81.48	-9.58	1
Moonford	111	7	6.31	104	93.69	0.69	0
Mount Larcom	273	106	38.83	167	61.17	-9.13	0
Mount Perry	238	69	28.99	169	71.01	-4.52	0
Mulgildie	245	17	6.94	228	93.06	-7.85	0
Norville	2226	955	42.92	1270	57.08	-11.75	1
Oakwood	624	151	24.35	469	75.65	-8.92	4
Rosedale	381	118	30.97	263	69.03	-9.23	0
Sharon	572	155	27.1	417	72.9	-8.68	0
South Kolan	561	176	31.43	384	68.57	-9.17	1
Special Hospital Team 1	355	143	40.28	212	59.72	-	0
Special Hospital Team 2	48	26	54.17	22	45.83	-	0
Special Hospital Team 3	35	11	31.43	24	68.57	-	0
Special Hospital Team 4	37	14	37.84	23	62.16	-	0
Tannum Sands	1187	502	42.33	684	57.67	-14.2	1
Thabeban	1962	767	39.19	1190	60.81	-9	5
Thangool	439	110	25.17	327	74.83	-3.83	2
Toolooa	430	226	52.56	204	47.44	-15.67	0
Ubobo	123	28	22.76	95	77.24	-12.89	0
Walkervale	2490	1104	44.34	1386	55.66	-11.08	0
Wallaville	293	73	25	219	75	-14.41	1
Wartburg	192	63	33.33	126	66.67	-6.78	3
Welcome Creek	787	263	33.5	522	66.5	-8.93	2
Woodgate	405	129	31.85	276	68.15	-6.19	0
Woongarra	754	213	28.32	539	71.68	-8.53	2
Yandaran	377	115	30.59	261	69.41	-11	1
Yarroon	1264	595	47.18	666	52.82	-12.06	3
Yarwun	315	96	30.57	218	69.43	-12.42	1
ABSENT	4454	1763	39.71	2677	60.29	-	14
POSTAL	3374	1188	35.24	2183	64.76	-	3
PRE POLL	3341	1359	40.79	1973	59.21	-	9
PROVISIONAL	328	150	46.01	176	53.99	-	2
Division Total	78420	31023	39.64	47233	60.36	-10.39	164


Kennedy							

Polling Place	Formal	DONOVAN		KATTER		Swing	Exh
	Votes	(ALP)	%	(NP)	%	%	
Abergowrie	232	34	14.66	198	85.34	-6.65	0
Aramac	260	111	42.69	149	57.31	-3.97	0
Atherton	2084	640	30.77	1440	69.23	-11.94	4
Atherton Hospital	1248	358	28.71	889	71.29	-11.94	1
Bambaroo	223	59	26.46	164	73.54	-10.98	0
Barcaldine	871	466	53.62	403	46.38	-5.52	2
Biboohra	177	35	19.77	142	80.23	-18.1	0
Blackall	904	439	48.56	465	51.44	-11.66	0
Boulia	146	57	39.04	89	60.96	-3.63	0
Brisbane City (Kennedy)	61	16	26.23	45	73.77	-14.28	0
Burketown	82	36	43.9	46	56.1	-10.23	0
Butchers Creek	148	34	22.97	114	77.03	-9.42	0
Camooweal	111	49	44.55	61	55.45	-1.07	1
Cardwell	753	211	28.1	540	71.9	-15.06	2
Charters Towers	914	287	31.4	627	68.6	-13.15	0
Charters Towers Central	1023	368	35.97	655	64.03	-11.49	0
Charters Towers Hospital	603	188	31.18	415	68.82	-13.35	0
Chillagoe	174	47	27.01	127	72.99	-14.55	0
Cloncurry	1069	461	43.12	608	56.88	-7.81	0
Croydon	117	22	18.8	95	81.2	-11.84	0
Dajarra	80	37	46.25	43	53.75	-13.75	0
Dimbulah	604	190	31.46	414	68.54	-17.57	0
Doomadgee (Kennedy)	339	193	57.1	145	42.9	-31.4	1
East Palmerston	205	46	22.44	159	77.56	-3.16	0
Einasleigh	64	7	10.94	57	89.06	-7.58	0
El Arish	430	141	32.79	289	67.21	-7.35	0
Euramo	109	14	12.84	95	87.16	-32.7	0
Evelyn Central	80	19	23.75	61	76.25	-13.58	0
Eventide	253	81	32.14	171	67.86	-17.62	1
Feluga	213	50	23.47	163	76.53	-13.13	0
Flying Fish Point	325	113	34.77	212	65.23	-14.48	0
Forrest Beach	538	198	36.87	339	63.13	-11.55	1
Forsayth	67	17	25.37	50	74.63	2.52	0
Garradunga	195	35	17.95	160	82.05	-6.07	0
Georgetown	152	40	26.32	112	73.68	-4	0
Goondi	927	327	35.35	598	64.65	-11.99	2
Goondi Hill	606	290	47.85	316	52.15	-11.59	0
Halifax	619	285	46.04	334	53.96	-8.58	0
Happy Valley	959	491	51.25	467	48.75	-9.52	1
Hawkins Creek	172	34	19.77	138	80.23	-6.02	0
Healy	1322	607	45.98	713	54.02	-15.41	2
Herberton	566	190	33.75	373	66.25	-11.76	3
Homestead	88	37	42.05	51	57.95	0.58	0
Hughenden	833	346	41.59	486	58.41	-12.78	1
Ilfracombe	124	28	22.58	96	77.42	-2.24	0
Ingham	2258	900	39.93	1354	60.07	-7.78	4
Ingham Hospital	1179	410	34.83	767	65.17	-6.27	2
Innisfail	1860	742	39.94	1116	60.06	-12.64	2
Innisfail East	1255	514	41.12	736	58.88	-12.76	5
Innisfail Hospital	506	174	34.52	330	65.48	-17.75	2
Innot Hot Springs	173	43	24.86	130	75.14	-16.57	0
Irvinebank	86	47	54.65	39	45.35	-6.89	0
Julia Creek	297	69	23.31	227	76.69	-16.03	1
Kairi	417	77	18.47	340	81.53	-13.86	0
Kalkadoon	683	349	51.25	332	48.75	-10.95	2
Karumba	194	61	31.61	132	68.39	-21.59	1
Kennedy	195	49	25.13	146	74.87	-8.57	0
Kurrimine Beach	376	95	25.33	280	74.67	-6.92	1
Long Pocket	149	24	16.33	123	83.67	-5.81	2
Longreach	1230	489	39.79	740	60.21	-10.75	1
Longreach East	484	182	37.6	302	62.4	-8.96	0
Lower Tully	299	67	22.41	232	77.59	-20.85	0
Lucinda	347	116	33.43	231	66.57	-10	0
Macknade	306	112	36.6	194	63.4	-4.7	0
Malanda	1596	433	27.15	1162	72.85	-8.53	1
Mareeba (Kennedy)	2655	886	33.47	1761	66.53	-11.58	8
Mareeba Hospital	666	216	32.53	448	67.47	-20.18	2
Mareeba West	1167	471	40.39	695	59.61	-13.63	1
Mckinlay	32	1	3.12	31	96.87	-25.45	0
Mena Creek	373	100	27.03	270	72.97	-9.39	3
Millaa Millaa	429	99	23.13	329	76.87	-9.5	1
Mingela	48	13	27.08	35	72.92	-14.96	0
Mission Beach	492	175	35.64	316	64.36	-9.66	1
Moresby	256	59	23.05	197	76.95	-7.37	0
Mornington Island	414	303	73.9	107	26.1	-0.13	4
Mount Garnet	279	131	47.29	146	52.71	-10.15	2
Mount Isa	2055	925	45.14	1124	54.86	-10.28	6
Mount Isa Hospital	298	145	48.66	153	51.34	-15.36	0
Mount Isa West	463	218	47.08	245	52.92	-14.89	0
Mount Surprise	53	14	26.42	39	73.58	-30.21	0
Mourilyan	728	250	34.39	477	65.61	-8.77	1
Murray Upper	246	95	38.78	150	61.22	-2.17	1
Mutchilba	237	36	15.19	201	84.81	-15.61	0
Muttaburra	107	35	32.71	72	67.29	-4.5	0
Normanton	520	216	41.54	304	58.46	-20.26	0
Pentland	167	40	23.95	127	76.05	-6.48	0
Prairie	69	11	15.94	58	84.06	-18.63	0
Prison Mobile Team 1	0	0	0	0	0	-	0
Queenton	1159	455	39.26	704	60.74	-11.36	0
Ravenshoe	1012	285	28.16	727	71.84	-11.2	0
Ravenswood	134	44	33.08	89	66.92	-12.71	1
Richmond	467	169	36.19	298	63.81	-10.54	0
Richmond Hill	975	320	32.82	655	67.18	-12.21	0
Rollingstone	536	205	38.46	328	61.54	-9.09	3
Silkwood	425	130	30.59	295	69.41	-6.96	0
Soldiers Hill	1058	539	50.95	519	49.05	-9.61	0
South Johnstone	421	165	39.19	256	60.81	-13.55	0
South Mission Beach	501	144	28.86	355	71.14	-8.25	2
Special Hospital Team 1	0	0	0	0	0	-	0
Special Hospital Team 10	24	11	45.83	13	54.17	-	0
Special Hospital Team 11	49	7	14.29	42	85.71	-	0
Special Hospital Team 12	62	13	20.97	49	79.03	-	0
Special Hospital Team 13	0	0	0	0	0	-	0
Special Hospital Team 14	5	2	40	3	60	-	0
Special Hospital Team 15	10	4	40	6	60	-	0
Special Hospital Team 16	44	27	61.36	17	38.64	-	0
Special Hospital Team 17	20	11	55	9	45	-	0
Special Hospital Team 18	28	15	53.57	13	46.43	-	0
Special Hospital Team 19	27	9	33.33	18	66.67	-	0
Special Hospital Team 2	0	0	0	0	0	-	0
Special Hospital Team 20	49	21	43.75	27	56.25	-	1
Special Hospital Team 3	39	26	66.67	13	33.33	-	0
Special Hospital Team 4	5	2	40	3	60	-	0
Special Hospital Team 5	27	12	44.44	15	55.56	-	0
Special Hospital Team 6	9	3	33.33	6	66.67	-	0
Special Hospital Team 7	14	6	42.86	8	57.14	-	0
Special Hospital Team 8	0	0	0	0	0	-	0
Special Hospital Team 9	12	10	83.33	2	16.67	-	0
Sunset	1537	703	45.89	829	54.11	-13.47	5
Tarzali	148	27	18.24	121	81.76	-12.88	0
Tolga	1079	288	26.77	788	73.23	-8.99	3
Toobanna	412	97	23.6	314	76.4	-13	1
Townview	997	456	45.74	541	54.26	-17.06	0
Trebonne	439	78	17.77	361	82.23	-8.7	0
Tully	1430	486	34.01	943	65.99	-10.55	1
Tully Hospital	547	193	35.28	354	64.72	-10.2	0
Upper Barron	134	23	17.29	110	82.71	2.33	1
Upper Stone	88	4	4.55	84	95.45	-5.98	0
Victoria Estate	538	109	20.34	427	79.66	-5.19	2
Walkamin	256	31	12.11	225	87.89	-18.45	0
Wangan	508	139	27.36	369	72.64	-13.6	0
Winton	680	248	36.52	431	63.48	-10.22	1
Wondecla	246	93	38.11	151	61.89	-10.34	2
Yungaburra	960	308	32.25	647	67.75	-4.57	5
ABSENT	5096	1938	38.1	3149	61.9	-	9
POSTAL	4112	793	19.29	3319	80.71	-	0
PRE POLL	1635	625	38.34	1005	61.66	-	5
PROVISIONAL	567	273	48.49	290	51.51	-	4
Division Total	75235	26673	35.51	48440	64.49	-11.95	122


Leichhardt							

Polling Place	Formal	DODD		ENTSCH		Swing	Exh
	Votes	(ALP)	%	(LP)	%	%	
Alexandra Bay	227	89	39.38	137	60.62	-15.84	1
Aloomba	239	67	28.03	172	71.97	-11.39	0
Aurukun	512	453	88.48	59	11.52	-4.28	0
Babinda	874	443	50.69	431	49.31	-9.02	0
Balaclava	2416	1084	44.94	1328	55.06	-6.62	4
Bamaga	336	284	84.52	52	15.48	6.84	0
Bayview Heights	4353	1613	37.11	2734	62.89	-7.67	6
Bellenden Ker	136	31	22.79	105	77.21	-14.98	0
Bloomfield	274	206	76.01	65	23.99	17.14	3
Bramston Beach	99	32	32.32	67	67.68	4.9	0
Brisbane City (Leichhardt)	62	25	40.98	36	59.02	-2.23	1
Cairns	701	308	44.13	390	55.87	-7.11	3
Cairns Base Hospital	769	390	50.78	378	49.22	-7.02	1
Cairns North	1618	718	44.62	891	55.38	-3.2	9
Cairns South	1030	449	43.68	579	56.32	-7.96	2
Cairns West	2888	1478	51.32	1402	48.68	-8.5	8
Caravonica	2338	877	37.57	1457	62.43	-9.26	4
Clifton Beach	1180	364	31.01	810	68.99	-9.19	6
Coen	127	83	65.35	44	34.65	-6.19	0
Cooktown	871	337	38.74	533	61.26	-12.29	1
Daintree	160	50	31.25	110	68.75	-12.73	0
Earlville	2890	1105	38.29	1781	61.71	-5.46	4
Edge Hill	3820	1513	39.68	2300	60.32	-5.57	7
Edmonton	2357	911	38.72	1442	61.28	-7.64	4
Emerald Creek	233	50	21.55	182	78.45	-10.67	1
Freshwater	1583	566	35.94	1009	64.06	-5.86	8
Gordonvale	2660	1138	42.86	1517	57.14	-7.66	5
Hambledon	2432	1055	43.43	1374	56.57	-7.33	3
Holloways Beach	995	404	40.68	589	59.32	-3.3	2
Hope Vale	336	270	80.36	66	19.64	4.47	0
Horn Island	175	124	71.26	50	28.74	7.1	1
Injinoo	280	266	95	14	5	12.84	0
Julatten	336	139	41.74	194	58.26	-5.38	3
Kowanyama	436	398	91.49	37	8.51	19.6	1
Kuranda	1549	791	51.5	745	48.5	-3.22	13
Laura	54	28	51.85	26	48.15	-16.67	0
Lockhart River	243	200	82.99	41	17.01	2.48	2
Machans Beach	553	338	61.12	215	38.88	-2.07	0
Mareeba (Leichhardt)	373	102	27.35	271	72.65	-14.39	0
Mcdonnell Creek	199	55	27.64	144	72.36	-10.73	0
Miallo	329	108	33.13	218	66.87	-13.03	3
Miriwinni	510	129	25.34	380	74.66	-2.23	1
Mossman	1703	708	41.67	991	58.33	-6.98	4
Mount Molloy	168	62	37.13	105	62.87	-18.36	1
Napranum	384	356	92.95	27	7.05	11.1	1
New Mapoon	156	143	91.67	13	8.33	13.52	0
Parramatta	2858	1435	50.47	1408	49.53	-7.65	15
Pormpuraaw	281	248	88.26	33	11.74	6.18	0
Port Douglas	1299	457	35.26	839	64.74	-4.79	3
Redlynch	1025	341	33.3	683	66.7	-9.38	1
Remote Mobile Team 1	885	802	90.62	83	9.38	-	0
Remote Mobile Team 2	732	681	93.03	51	6.97	-	0
Remote Mobile Team 3	46	42	93.33	3	6.67	-	1
Rocky Point	244	89	36.48	155	63.52	-6.22	0
Special Hospital Team 1	274	131	47.99	142	52.01	-	1
Stratford	988	367	37.33	616	62.67	-6.09	5
Tamwoy	328	284	86.59	44	13.41	4.25	0
Thursday Island	749	520	69.52	228	30.48	-9.08	1
Trinity Beach	2824	1146	40.67	1672	59.33	-6.87	6
Weipa North	1078	535	49.77	540	50.23	-18.94	3
White Rock	1600	686	43.09	906	56.91	-7.93	8
Whitfield	2157	781	36.29	1371	63.71	-5.65	5
Yarrabah	767	695	90.73	71	9.27	5.37	1
Yorkeys Knob	1159	459	39.64	699	60.36	-4.34	1
ABSENT	3462	1520	44.05	1931	55.95	-	11
POSTAL	2149	923	43.05	1221	56.95	-	5
PRE POLL	3086	1269	41.17	1813	58.83	-	4
PROVISIONAL	663	351	52.94	312	47.06	-	0
Division Total	74618	34102	45.82	40332	54.18	-5.51	184


Lilley							

Polling Place	Formal	SWAN		GRACE		Swing	Exh
	Votes	(ALP)	%	(LP)	%	%	
Albion	1224	548	44.88	673	55.12	-6.73	3
Ascot	2683	478	17.84	2201	82.16	-3.13	4
Aspley (Lilley)	1149	455	39.63	693	60.37	-10.59	1
Aspley East	2269	879	38.79	1387	61.21	-4.65	3
Banyo	1703	1072	63.02	629	36.98	-7.15	2
Banyo East	1824	1086	59.74	732	40.26	-5.76	6
Boondall	3437	1716	50.06	1712	49.94	-5.33	9
Boondall North	526	289	55.36	233	44.64	-11.3	4
Brighton	1916	1167	61.13	742	38.87	-7.18	7
Brighton South	1700	1045	61.69	649	38.31	-8.4	6
Brisbane City (Lilley)	416	238	57.21	178	42.79	-4.23	0
Chermside (Lilley)	170	83	49.11	86	50.89	-3.94	1
Chermside East	959	594	61.94	365	38.06	-5.72	0
Clayfield	1379	459	33.41	915	66.59	-4.18	5
Clayfield West	1886	575	30.57	1306	69.43	-6.86	5
Deagon	1297	762	59.02	529	40.98	-8.31	6
Eventide Home	822	439	53.8	377	46.2	-11.93	6
Freemasons Homes	368	125	33.97	243	66.03	2.37	0
Geebung	2667	1332	50.08	1328	49.92	-6.6	7
Gordon Park	1599	792	49.69	802	50.31	-8.56	5
Hamilton	2135	736	34.54	1395	65.46	-7.64	4
Hendra	1571	622	39.69	945	60.31	-7.18	4
Hendra East	906	436	48.23	468	51.77	-14.39	2
Kalinga	1432	631	44.13	799	55.87	-6.18	2
Kedron	1805	981	54.5	819	45.5	-4.58	5
Kedron Heights	1513	763	50.5	748	49.5	-6.76	2
Lutwyche East (Lilley)	668	373	55.92	294	44.08	-0.11	1
Nashville	1284	672	52.54	607	47.46	-7.66	5
Northgate	478	277	57.95	201	42.05	-5.17	0
Northgate South	1086	646	59.76	435	40.24	-6.46	5
Nudgee	823	482	58.71	339	41.29	-5.38	2
Nudgee Beach	160	103	65.19	55	34.81	-10.55	2
Nundah	3264	1728	53.1	1526	46.9	-8.26	10
Nundah North	912	409	44.9	502	55.1	-7.06	1
Nundah West	1065	423	39.79	640	60.21	-9.23	2
Pinkenba	240	137	57.08	103	42.92	-9.07	0
Sandgate	1853	1115	60.37	732	39.63	-9.4	6
Shorncliffe	1323	740	56.1	579	43.9	-6.93	4
Somerset Hills (Lilley)	304	163	53.8	140	46.2	-4.23	1
Special Hospital Team 1	223	79	35.43	144	64.57	-	0
Special Hospital Team 2	150	59	39.33	91	60.67	-	0
Stafford (Lilley)	1026	575	56.32	446	43.68	-3.75	5
Taigum	950	454	47.84	495	52.16	-11.52	1
Virginia	1826	984	54.07	836	45.93	-4.31	6
Wavell Heights	1977	879	44.57	1093	55.43	-7.16	5
Wavell Heights West	1693	925	54.83	762	45.17	-6.69	6
Whinstanes	570	299	52.46	271	47.54	-5.14	0
Wooloowin	992	518	52.43	470	47.57	-6.88	4
Zillmere	1847	1017	55.18	826	44.82	-10.15	4
Zillmere East	2075	1355	65.36	718	34.64	-7.69	2
ABSENT	5227	2439	46.85	2767	53.15	-	21
POSTAL	3874	2019	52.12	1855	47.88	-	0
PRE POLL	2706	1119	41.41	1583	58.59	-	4
PROVISIONAL	238	137	57.81	100	42.19	-	1
Division Total	78190	38429	49.27	39564	50.73	-6.91	197


Longman							

Polling Place	Formal	BONNICE		BROUGH		Swing	Exh
	Votes	(ALP)	%	(LP)	%	%	
Amberley (Longman)	459	162	35.45	295	64.55	-12.02	2
Banksia Beach	1694	624	36.9	1067	63.1	-9.93	3
Beachmere	1599	657	41.14	940	58.86	-11.24	2
Bellara	2386	1024	42.97	1359	57.03	-7.4	3
Blenheim	246	61	24.8	185	75.2	-8.83	0
Bongaree	2196	899	40.99	1294	59.01	-8.78	3
Brisbane City (Longman)	86	31	36.47	54	63.53	-7.86	1
Burpengary	5005	2071	41.53	2916	58.47	-8.89	18
Burpengary East	982	363	37	618	63	-13.37	1
Burpengary South	999	363	36.63	628	63.37	-13.81	8
Caboolture	4102	1792	43.98	2283	56.02	-9.65	27
Caboolture East	1998	914	45.88	1078	54.12	-8.9	6
Caboolture West	2947	1134	38.65	1800	61.35	-9.28	13
Coominya	676	241	36.02	428	63.98	-4.83	7
Dayboro	1256	350	27.98	901	72.02	-9.92	5
Deception Bay North (Longman)	1004	503	50.35	496	49.65	-0.03	5
Donnybrook	370	172	46.49	198	53.51	-10.51	0
Elimbah	881	321	36.48	559	63.52	-9.32	1
Esk	937	328	35.16	605	64.84	-2.78	4
Fernvale	995	335	33.84	655	66.16	-9.49	5
Forest Hill	582	144	24.74	438	75.26	-10.7	0
Glamorgan Vale	337	117	34.72	220	65.28	-3.36	0
Glenore Grove	1129	428	37.94	700	62.06	-12.74	1
Grandchester	257	88	34.24	169	65.76	-13.19	0
Haigslea	257	63	24.51	194	75.49	1.68	0
Hatton Vale	849	329	38.8	519	61.2	-8.51	1
Karana Downs	2438	727	29.87	1707	70.13	-12.55	4
Kentville	197	83	42.35	113	57.65	-17.17	1
Laidley	2054	656	32.06	1390	67.94	-15.94	8
Lake Clarendon	231	52	22.51	179	77.49	-8.22	0
Lowood	1332	451	33.91	879	66.09	-9.94	2
Marburg	526	168	32.12	355	67.88	-5.05	3
Minden	490	182	37.45	304	62.55	-4.55	4
Morayfield	4695	2044	43.8	2623	56.2	-3.77	28
Morayfield East	1730	718	41.77	1001	58.23	-5.8	11
Mount Tarampa	254	89	35.6	161	64.4	-1.16	4
Mutdapilly	270	48	17.78	222	82.22	-12.53	0
Narangba	3011	1088	36.21	1917	63.79	-6.99	6
Ningi	1762	742	42.16	1018	57.84	-7.25	2
Petrie (Longman)	574	189	32.98	384	67.02	-12.37	1
Pine Mountain	286	84	29.37	202	70.63	-10.7	0
Rosevale	149	7	4.7	142	95.3	-9.48	0
Rosewood	2053	788	38.46	1261	61.54	-9	4
Special Hospital Team 1	275	111	40.36	164	59.64	-	0
Special Hospital Team 2	201	48	23.88	153	76.12	-	0
Special Hospital Team 3	97	23	23.96	73	76.04	-	1
Tarampa	360	108	30.08	251	69.92	-6.1	1
Thornton	180	23	12.78	157	87.22	-3.31	0
Toorbul	445	182	40.9	263	59.1	-6.69	0
Upper Caboolture	891	331	37.32	556	62.68	-8.08	4
Walloon	1347	533	39.63	812	60.37	-12.93	2
Wamuran	951	277	29.41	665	70.59	-14.87	9
Warrill View	109	12	11.01	97	88.99	-10.64	0
Woorim	1026	455	44.39	570	55.61	-6.39	1
ABSENT	4776	2000	42.03	2758	57.97	-	18
POSTAL	2216	770	34.81	1442	65.19	-	4
PRE POLL	2066	741	35.9	1323	64.1	-	2
PROVISIONAL	284	130	45.94	153	54.06	-	1
Division Total	71505	27374	38.41	43894	61.59	-8.13	237


McPherson							

Polling Place	Formal	ANDREWS		BRADFORD		Swing	Exh
	Votes	(ALP)	%	(LP)	%	%	
Bonogin	1099	219	19.98	877	80.02	-13.9	3
Brisbane City (McPherson)	61	23	37.7	38	62.29	0.2	0
Broadbeach (McPherson)	1284	394	30.81	885	69.19	-6.8	5
Burleigh Heads	3716	1287	34.74	2418	65.26	-8.35	11
Burleigh North	471	187	39.87	282	60.13	-9.56	2
Burleigh Waters	3596	1301	36.22	2291	63.78	-7.54	4
Burleigh West	1066	339	31.86	725	68.14	-11.35	2
Coolangatta	666	272	40.84	394	59.16	-11.24	0
Coolangatta South	527	180	34.22	346	65.78	-14.21	1
Currumbin	2824	1097	38.98	1717	61.02	-11.08	10
Currumbin Valley	250	72	29.03	176	70.97	-4.3	2
Currumbin Waters	1205	413	34.36	789	65.64	-12.01	3
Elanora	2995	1050	35.09	1942	64.91	-8.96	3
Elanora High	1939	745	38.5	1190	61.5	-1.94	4
Kirra	1052	497	47.42	551	52.58	-8.68	4
Mermaid Beach	1182	356	30.14	825	69.86	-12.86	1
Mermaid Waters (McPherson)	2955	860	29.15	2090	70.85	-5.21	5
Merrimac (McPherson)	1070	273	25.54	796	74.46	-8.57	1
Merrimac High	1311	314	23.99	995	76.01	-	2
Miami	1962	759	38.84	1195	61.16	-12.62	8
Miami West	3022	897	29.68	2125	70.32	-	0
Moana Park (McPherson)	539	118	21.97	419	78.03	-12.34	2
Mudgeeraba	1398	375	26.86	1021	73.14	-5.39	2
Palm Beach	1773	626	35.41	1142	64.59	-10.25	5
Palm Beach North	3476	1240	35.76	2228	64.24	-7.61	8
Palm Beach South	2274	879	38.69	1393	61.31	-10.78	2
Robina	2869	713	24.87	2154	75.13	-3.81	2
Robina North	2110	370	17.55	1738	82.45	-11.14	2
Special Hospital Team 1	191	82	43.16	108	56.84	-	1
Special Hospital Team 2	125	30	24	95	76	-	0
