House of Representatives -1996 Election 				
National List of Candidates				

Candidate	Party		Division	State
"KRASON, Colleen"	DEM		Mitchell	NSW
"KRAUS, Heather"	CTA		Macquarie	NSW
"KRUMINS, Peter John"	AFI		Parramatta	NSW
"KUNA, Nicolle"	DEM		Higgins	VIC
"KYME, Jock"	IND		McEwen	VIC

"LACEY, Dennis"	DEM		Murray	VIC
"LANE, Max"			Lowe	NSW
"LANG, Emanuela"	DEM		Werriwa	NSW
"LANGMORE, John"	ALP		Fraser	ACT
"LARSEN, Terry"	IND		New England	NSW
"LARTER, Bruce"	LP		Watson	NSW
"LATHAM, Mark"	ALP		Werriwa	NSW
"LAVARCH, Michael Hugh"	ALP		Dickson	QLD
"LAVIS, Michael"	AFI		Blaxland	NSW
"LAWRENCE, Carmen"	ALP		Fremantle	WA
"LAWRENCE, Eric"	IND		Blaxland	NSW
"LAWRENCE, Fay"	DEM		Capricornia	QLD
"LAWRENCE, Maggie"	NLP		Deakin	VIC
"LAWSON KERR, Andrew"	NLP		Mallee	VIC
"LAZARENKO, Margaret"	AFI		Fisher	QLD
"LEACH, Bob"	IND		Brisbane	QLD
"LEE, Michael"	ALP		Dobell	NSW
"LESCHEN, Zuvele Elena"	ALP		Indi	VIC
"LESLIE, John"	AIP		Griffith	QLD
"LETTERS, Frances Eugenie"	NLP		New England	NSW
"LEUNG, Valiant"	IND		Robertson	NSW
"LEVISTON, Margaret"	NLP		Leichhardt	QLD
"LEWIS, Erica"	ALP		Mitchell	NSW
"LIEBERMAN, Lou"	LP		Indi	VIC
"LIGHT, Anja"	GRN		McPherson	QLD
"LIGHT, Inge"	GRN		Moncrieff	QLD
"LINDOP, Maggie"	DEM		Wannon	VIC
"LINDSAY, Eamon John"	ALP		Herbert	QLD
"LINDSAY, Peter"	LP		Herbert	QLD
"LIPPMANN, Michael"	NLP		Sydney	NSW
"LIVESAY, Robert"	DEM		Calwell	VIC
"LLOYD, Jim"	LP		Robertson	NSW
"LLOYD, Rick"	AFI		McEwen	VIC
"LOGUE, Wallace"	DEM		Warringah	NSW
"LORENZON, Heather"	NLP		Hindmarsh	SA
"LORENZON, Vladimir"	NLP		Sturt	SA
"LOTHIAN, Kathy"	AGV		Deakin	VIC
"LOUCA, Peter"	ALP		Mayo	SA
"LOWRY, Noel"	ALP		Macarthur	NSW
"LOYDELL, Robyn"	IND		Eden-Monaro	NSW
"LUSHER, Bruce"	NLP		Indi	VIC

"MACASKILL, Pat"	DEM		Hindmarsh	SA
"MACGREGOR, Chris"	LP		Lalor	VIC
"MACKECHNIE, Matthew"	CTA		Moncrieff	QLD
"MACKENZIE, Andrew"	IND		Jagajaga	VIC
"MACKLIN, Jenny"	ALP		Jagajaga	VIC
"MADDEN, Terence Collins"	IND		Longman	QLD
"MADDOCK, Glen"	DEM		Casey	VIC
"MADIGAN, Paul"	AFI		Holt	VIC
"MAGEE, Martin"	NLP		McEwen	VIC
"MAHON, Wendy"	ALP		Bennelong	NSW
