House of Representatives - 2001 Election: Western Australia							
Swing to ALP							
By Division by Polling Place							
							
Brand							
							
Polling Place	Formal	BEAZLEY		THOMAS		Swing	
	Votes	(ALP)	%	(LP)	%	%	
Remote Mobile Team 1	476	417	87.61	59	12.39	-1.38
Remote Mobile Team 10	57	52	91.23	5	8.77	-6.03
Remote Mobile Team 11	685	556	81.17	129	18.83	-12.46
Remote Mobile Team 12	217	196	90.32	21	9.68	16.25
Remote Mobile Team 13	40	36	90.00	4	10.00	-10.00
Remote Mobile Team 14	0	0	0.00	0	0.00	-
Remote Mobile Team 2	221	205	92.76	16	7.24	4.36
Remote Mobile Team 3	16	15	93.75	1	6.25	27.08
Remote Mobile Team 4	120	92	76.67	28	23.33	-14.24
Remote Mobile Team 5	155	149	96.13	6	3.87	1.35
Remote Mobile Team 6	28	22	78.57	6	21.43	-12.44
Remote Mobile Team 7	60	49	81.67	11	18.33	-16.92
Remote Mobile Team 8	136	117	86.03	19	13.97	-1.16
Remote Mobile Team 9	107	86	80.37	21	19.63	-11.63
Roebourne	339	235	69.32	104	30.68	-3.88
Rottnest (Kalgoorlie)	9	2	22.22	7	77.78	-7.78
Salmon Gums	125	17	13.60	108	86.40	-16.57
Sandstone	37	18	48.65	19	51.35	-24.43
Scaddan	75	8	10.67	67	89.33	3.65
South Hedland	1231	701	56.95	530	43.05	-4.93
South Hedland Baler	1511	861	56.98	650	43.02	-1.33
Southern Cross	460	153	33.26	307	66.74	-3.20
Special Hospital Team 1	22	10	45.45	12	54.55	-21.21
Special Hospital Team 2	13	8	61.54	5	38.46	12.76
Special Hospital Team 3	70	35	50.00	35	50.00	-7.32
Special Hospital Team 4	7	5	71.43	2	28.57	-4.76
